product,index_code,weight_date,stock_code,stock_name,weight_pct
IF,000300,2026-07-31,600027,华电国际,0.073
IF,000300,2026-07-31,600028,中国石化,0.294
IF,000300,2026-07-31,600029,南方航空,0.109
IF,000300,2026-07-31,600030,中信证券,1.065
IF,000300,2026-07-31,600031,三一重工,0.468
IF,000300,2026-07-31,600036,招商银行,1.882
IF,000300,2026-07-31,600039,四川路桥,0.09
IF,000300,2026-07-31,600048,保利发展,0.146
IF,000300,2026-07-31,600050,中国联通,0.268
IF,000300,2026-07-31,600061,国投资本,0.064
IF,000300,2026-07-31,600066,宇通客车,0.164
IF,000300,2026-07-31,600085,同仁堂,0.069
IF,000300,2026-07-31,600089,特变电工,0.406
IF,000300,2026-07-31,600104,上汽集团,0.2
IF,000300,2026-07-31,600111,北方稀土,0.386
IF,000300,2026-07-31,600115,中国东航,0.122
IF,000300,2026-07-31,600118,中国卫星,0.13
IF,000300,2026-07-31,600150,中国船舶,0.61
IF,000300,2026-07-31,600160,巨化股份,0.205
IF,000300,2026-07-31,600176,中国巨石,0.349
IF,000300,2026-07-31,600183,生益科技,0.591
IF,000300,2026-07-31,600188,兖矿能源,0.139
IF,000300,2026-07-31,600196,复星医药,0.113
IF,000300,2026-07-31,600219,南山铝业,0.125
IF,000300,2026-07-31,600221,海航控股,0.135
IF,000300,2026-07-31,600233,圆通速递,0.124
IF,000300,2026-07-31,600276,恒瑞医药,0.927
IF,000300,2026-07-31,600309,万华化学,0.537
IF,000300,2026-07-31,600346,恒力石化,0.135
IF,000300,2026-07-31,600362,江西铜业,0.172
IF,000300,2026-07-31,600372,中航机载,0.105
IF,000300,2026-07-31,600406,国电南瑞,0.375
IF,000300,2026-07-31,600415,小商品城,0.135
IF,000300,2026-07-31,600426,华鲁恒升,0.159
IF,000300,2026-07-31,600436,片仔癀,0.161
IF,000300,2026-07-31,600438,通威股份,0.121
IF,000300,2026-07-31,600460,士兰微,0.126
IF,000300,2026-07-31,600482,中国动力,0.116
IF,000300,2026-07-31,600489,中金黄金,0.257
IF,000300,2026-07-31,600515,海南机场,0.064
IF,000300,2026-07-31,600519,贵州茅台,3.239
IF,000300,2026-07-31,600522,中天科技,0.299
IF,000300,2026-07-31,600547,山东黄金,0.196
IF,000300,2026-07-31,600549,厦门钨业,0.201
IF,000300,2026-07-31,600570,恒生电子,0.133
IF,000300,2026-07-31,600584,长电科技,0.361
IF,000300,2026-07-31,600585,海螺水泥,0.171
IF,000300,2026-07-31,600588,用友网络,0.087
IF,000300,2026-07-31,600600,青岛啤酒,0.076
IF,000300,2026-07-31,600660,福耀玻璃,0.367
IF,000300,2026-07-31,600674,川投能源,0.118
IF,000300,2026-07-31,600690,海尔智家,0.334
IF,000300,2026-07-31,600741,华域汽车,0.102
IF,000300,2026-07-31,600760,中航沈飞,0.189
IF,000300,2026-07-31,600795,国电电力,0.174
IF,000300,2026-07-31,600803,新奥股份,0.063
IF,000300,2026-07-31,600809,山西汾酒,0.238
IF,000300,2026-07-31,600845,宝信软件,0.061
IF,000300,2026-07-31,600875,东方电气,0.147
IF,000300,2026-07-31,600886,国投电力,0.141
IF,000300,2026-07-31,600887,伊利股份,0.658
IF,000300,2026-07-31,600893,航发动力,0.178
IF,000300,2026-07-31,600900,长江电力,1.366
IF,000300,2026-07-31,600905,三峡能源,0.214
IF,000300,2026-07-31,600918,中泰证券,0.069
IF,000300,2026-07-31,600919,江苏银行,0.666
IF,000300,2026-07-31,600926,杭州银行,0.32
IF,000300,2026-07-31,600930,华电新能,0.054
IF,000300,2026-07-31,600938,中国海油,0.296
IF,000300,2026-07-31,600941,中国移动,0.337
IF,000300,2026-07-31,600958,东方证券,0.184
IF,000300,2026-07-31,600989,宝丰能源,0.197
IF,000300,2026-07-31,600999,招商证券,0.25
IF,000300,2026-07-31,601006,大秦铁路,0.227
IF,000300,2026-07-31,601009,南京银行,0.276
IF,000300,2026-07-31,601012,隆基绿能,0.302
IF,000300,2026-07-31,601018,宁波港,0.052
IF,000300,2026-07-31,601021,春秋航空,0.088
IF,000300,2026-07-31,601058,赛轮轮胎,0.143
IF,000300,2026-07-31,601059,信达证券,0.062
IF,000300,2026-07-31,601066,中信建投,0.128
IF,000300,2026-07-31,601077,渝农商行,0.138
IF,000300,2026-07-31,601088,中国神华,0.482
IF,000300,2026-07-31,601100,恒立液压,0.223
IF,000300,2026-07-31,601111,中国国航,0.112
IF,000300,2026-07-31,601117,中国化学,0.11
IF,000300,2026-07-31,601127,赛力斯,0.195
IF,000300,2026-07-31,601136,首创证券,0.031
IF,000300,2026-07-31,601138,工业富联,0.864
IF,000300,2026-07-31,601166,兴业银行,1.228
IF,000300,2026-07-31,601169,北京银行,0.296
IF,000300,2026-07-31,601186,中国铁建,0.113
IF,000300,2026-07-31,601211,国泰海通,0.796
IF,000300,2026-07-31,601225,陕西煤业,0.369
IF,000300,2026-07-31,601229,上海银行,0.361
IF,000300,2026-07-31,601238,广汽集团,0.047
IF,000300,2026-07-31,601288,农业银行,0.761
IF,000300,2026-07-31,601318,中国平安,2.246
IF,000300,2026-07-31,601319,中国人保,0.09
IF,000300,2026-07-31,601328,交通银行,0.735
IF,000300,2026-07-31,601336,新华保险,0.202
IF,000300,2026-07-31,601360,三六零,0.125
IF,000300,2026-07-31,601377,兴业证券,0.16
IF,000300,2026-07-31,601390,中国中铁,0.181
IF,000300,2026-07-31,601398,工商银行,0.992
IF,000300,2026-07-31,601456,国联民生,0.109
IF,000300,2026-07-31,601600,中国铝业,0.291
IF,000300,2026-07-31,601601,中国太保,0.425
IF,000300,2026-07-31,601607,上海医药,0.072
IF,000300,2026-07-31,601618,中国中冶,0.075
IF,000300,2026-07-31,601628,中国人寿,0.253
IF,000300,2026-07-31,601633,长城汽车,0.08
IF,000300,2026-07-31,601658,邮储银行,0.219
IF,000300,2026-07-31,601668,中国建筑,0.373
IF,000300,2026-07-31,601669,中国电建,0.162
IF,000300,2026-07-31,601688,华泰证券,0.44
IF,000300,2026-07-31,601689,拓普集团,0.156
IF,000300,2026-07-31,601698,中国卫通,0.123
IF,000300,2026-07-31,601727,上海电气,0.167
IF,000300,2026-07-31,601728,中国电信,0.375
IF,000300,2026-07-31,601766,中国中车,0.288
IF,000300,2026-07-31,601788,光大证券,0.111
IF,000300,2026-07-31,601800,中国交建,0.086
IF,000300,2026-07-31,601816,京沪高铁,0.578
IF,000300,2026-07-31,601818,光大银行,0.226
IF,000300,2026-07-31,601825,沪农商行,0.191
IF,000300,2026-07-31,601838,成都银行,0.181
IF,000300,2026-07-31,601857,中国石油,0.551
IF,000300,2026-07-31,601868,中国能建,0.14
IF,000300,2026-07-31,601872,招商轮船,0.208
IF,000300,2026-07-31,601877,正泰电器,0.104
IF,000300,2026-07-31,601878,浙商证券,0.101
IF,000300,2026-07-31,601881,中国银河,0.105
IF,000300,2026-07-31,601888,中国中免,0.217
IF,000300,2026-07-31,601898,中煤能源,0.097
IF,000300,2026-07-31,601899,紫金矿业,2.084
IF,000300,2026-07-31,601901,方正证券,0.112
IF,000300,2026-07-31,601916,浙商银行,0.175
IF,000300,2026-07-31,601919,中远海控,0.377
IF,000300,2026-07-31,601939,建设银行,0.353
IF,000300,2026-07-31,601985,中国核电,0.286
IF,000300,2026-07-31,601988,中国银行,0.333
IF,000300,2026-07-31,601995,中金公司,0.158
IF,000300,2026-07-31,601998,中信银行,0.159
IF,000300,2026-07-31,603019,中科曙光,0.469
IF,000300,2026-07-31,603259,药明康德,1.219
IF,000300,2026-07-31,603260,合盛硅业,0.046
IF,000300,2026-07-31,603288,海天味业,0.246
IF,000300,2026-07-31,603296,华勤技术,0.177
IF,000300,2026-07-31,603369,今世缘,0.082
IF,000300,2026-07-31,603392,万泰生物,0.045
IF,000300,2026-07-31,603501,豪威集团,0.288
IF,000300,2026-07-31,603799,华友钴业,0.232
IF,000300,2026-07-31,603893,瑞芯微,0.152
IF,000300,2026-07-31,603986,兆易创新,0.97
IF,000300,2026-07-31,603993,洛阳钼业,0.654
IF,000300,2026-07-31,605117,德业股份,0.16
IF,000300,2026-07-31,605499,东鹏饮料,0.141
IF,000300,2026-07-31,688008,澜起科技,0.901
IF,000300,2026-07-31,688009,中国通号,0.051
IF,000300,2026-07-31,688012,中微公司,0.989
IF,000300,2026-07-31,688036,传音控股,0.142
IF,000300,2026-07-31,688041,海光信息,0.988
IF,000300,2026-07-31,688047,龙芯中科,0.082
IF,000300,2026-07-31,688072,拓荆科技,0.505
IF,000300,2026-07-31,688082,盛美上海,0.151
IF,000300,2026-07-31,688111,金山办公,0.24
IF,000300,2026-07-31,688126,沪硅产业,0.149
IF,000300,2026-07-31,688183,生益电子,0.121
IF,000300,2026-07-31,688223,晶科能源,0.068
IF,000300,2026-07-31,688256,寒武纪,1.333
IF,000300,2026-07-31,688271,联影医疗,0.219
IF,000300,2026-07-31,688303,大全能源,0.045
IF,000300,2026-07-31,688396,华润微,0.111
IF,000300,2026-07-31,688472,阿特斯,0.059
IF,000300,2026-07-31,688506,百利天恒,0.094
IF,000300,2026-07-31,688521,芯原股份,0.312
IF,000300,2026-07-31,688981,中芯国际,0.969
