wind_code,i_weight
000012.SZ,0.125
000021.SZ,0.258
000027.SZ,0.142
000031.SZ,0.077
000039.SZ,0.2
000050.SZ,0.163
000060.SZ,0.201
000066.SZ,0.325
000089.SZ,0.107
000155.SZ,0.144
000156.SZ,0.124
000400.SZ,0.21
000401.SZ,0.124
000402.SZ,0.085
000415.SZ,0.124
000423.SZ,0.366
000513.SZ,0.199
000519.SZ,0.196
000537.SZ,0.098
000547.SZ,0.168
000553.SZ,0.052
000559.SZ,0.107
000563.SZ,0.096
000581.SZ,0.132
000591.SZ,0.254
000598.SZ,0.145
000623.SZ,0.245
000629.SZ,0.269
000630.SZ,0.364
000636.SZ,0.207
000683.SZ,0.276
000703.SZ,0.26
000709.SZ,0.144
000728.SZ,0.28
000729.SZ,0.225
000738.SZ,0.227
000739.SZ,0.159
000750.SZ,0.223
000778.SZ,0.148
000783.SZ,0.357
000785.SZ,0.113
000807.SZ,0.463
000825.SZ,0.139
000830.SZ,0.181
000831.SZ,0.259
000869.SZ,0.065
000878.SZ,0.215
000883.SZ,0.132
000887.SZ,0.147
000893.SZ,0.24
000898.SZ,0.102
000930.SZ,0.099
000932.SZ,0.378
000933.SZ,0.385
000937.SZ,0.1
000958.SZ,0.104
000959.SZ,0.089
000960.SZ,0.213
000967.SZ,0.097
000970.SZ,0.163
000975.SZ,0.371
000987.SZ,0.16
000988.SZ,0.487
000997.SZ,0.254
000998.SZ,0.244
001203.SZ,0.075
001227.SZ,0.131
001872.SZ,0.057
001914.SZ,0.101
002008.SZ,0.29
002010.SZ,0.111
002019.SZ,0.149
002025.SZ,0.255
002028.SZ,0.483
002030.SZ,0.142
002032.SZ,0.118
002056.SZ,0.206
002065.SZ,0.232
002078.SZ,0.296
002080.SZ,0.227
002081.SZ,0.113
002092.SZ,0.214
002110.SZ,0.09
002128.SZ,0.183
002131.SZ,0.261
002138.SZ,0.333
002152.SZ,0.24
002153.SZ,0.171
002155.SZ,0.151
002156.SZ,0.333
002183.SZ,0.126
002185.SZ,0.355
002192.SZ,0.165
002195.SZ,0.276
002203.SZ,0.211
002221.SZ,0.178
002223.SZ,0.314
002240.SZ,0.225
002244.SZ,0.201
002249.SZ,0.14
002250.SZ,0.098
002266.SZ,0.16
002268.SZ,0.228
002273.SZ,0.227
002281.SZ,0.169
002294.SZ,0.237
002299.SZ,0.224
002326.SZ,0.122
002340.SZ,0.495
002353.SZ,0.271
002368.SZ,0.248
002372.SZ,0.248
002373.SZ,0.217
002384.SZ,0.396
002385.SZ,0.331
002399.SZ,0.067
002407.SZ,0.271
002408.SZ,0.161
002409.SZ,0.299
002422.SZ,0.492
002423.SZ,0.109
002429.SZ,0.182
002430.SZ,0.232
002432.SZ,0.222
002439.SZ,0.3
002444.SZ,0.217
002463.SZ,0.434
002465.SZ,0.301
002468.SZ,0.117
002487.SZ,0.121
002497.SZ,0.278
002500.SZ,0.201
002505.SZ,0.101
002506.SZ,0.208
002507.SZ,0.198
002508.SZ,0.201
002511.SZ,0.127
002518.SZ,0.109
002531.SZ,0.181
002532.SZ,0.272
002557.SZ,0.155
002563.SZ,0.076
002568.SZ,0.26
002572.SZ,0.187
002595.SZ,0.211
002600.SZ,0.261
002608.SZ,0.081
002624.SZ,0.289
002625.SZ,0.346
002653.SZ,0.073
002670.SZ,0.188
002673.SZ,0.279
002683.SZ,0.162
002690.SZ,0.127
002705.SZ,0.09
002738.SZ,0.327
002739.SZ,0.271
002745.SZ,0.122
002761.SZ,0.091
002791.SZ,0.113
002797.SZ,0.312
002831.SZ,0.138
002850.SZ,0.241
002867.SZ,0.115
002901.SZ,0.027
002925.SZ,0.087
002926.SZ,0.207
002936.SZ,0.187
002939.SZ,0.218
002945.SZ,0.063
002958.SZ,0.165
002966.SZ,0.381
002985.SZ,0.117
003035.SZ,0.141
300001.SZ,0.212
300003.SZ,0.328
300009.SZ,0.172
300012.SZ,0.504
300017.SZ,0.259
300024.SZ,0.245
300026.SZ,0.144
300037.SZ,0.386
300058.SZ,0.342
300070.SZ,0.178
300073.SZ,0.277
300088.SZ,0.222
300115.SZ,0.132
300118.SZ,0.212
300136.SZ,0.258
300144.SZ,0.35
300146.SZ,0.304
300182.SZ,0.176
300212.SZ,0.186
300244.SZ,0.176
300251.SZ,0.169
300253.SZ,0.191
300257.SZ,0.085
300285.SZ,0.369
300296.SZ,0.196
300308.SZ,1.134
300357.SZ,0.155
300363.SZ,0.124
300373.SZ,0.149
300383.SZ,0.222
300390.SZ,0.244
300395.SZ,0.299
300418.SZ,0.466
300438.SZ,0.178
300442.SZ,0.075
300474.SZ,0.26
300482.SZ,0.119
300487.SZ,0.236
300529.SZ,0.16
300558.SZ,0.191
300568.SZ,0.277
300595.SZ,0.218
300604.SZ,0.245
300618.SZ,0.105
300676.SZ,0.206
300677.SZ,0.152
300682.SZ,0.22
300699.SZ,0.251
300724.SZ,0.38
300741.SZ,0.042
300748.SZ,0.182
300776.SZ,0.106
300832.SZ,0.294
300850.SZ,0.091
300861.SZ,0.129
300866.SZ,0.262
300888.SZ,0.155
301029.SZ,0.096
600008.SH,0.195
600021.SH,0.199
600022.SH,0.121
600027.SH,0.267
600032.SH,0.034
600038.SH,0.173
600056.SH,0.144
600060.SH,0.253
600062.SH,0.104
600066.SH,0.255
600079.SH,0.411
600095.SH,0.112
600096.SH,0.341
600109.SH,0.377
600118.SH,0.237
600126.SH,0.087
600131.SH,0.115
600141.SH,0.243
600143.SH,0.227
600153.SH,0.251
600155.SH,0.151
600157.SH,0.5
600160.SH,0.341
600161.SH,0.319
600166.SH,0.265
600167.SH,0.092
600170.SH,0.268
600171.SH,0.139
600177.SH,0.297
600195.SH,0.091
600208.SH,0.169
600258.SH,0.18
600259.SH,0.108
600271.SH,0.22
600282.SH,0.174
600297.SH,0.128
600298.SH,0.311
600299.SH,0.05
600315.SH,0.138
600316.SH,0.141
600325.SH,0.274
600329.SH,0.156
600339.SH,0.094
600348.SH,0.21
600350.SH,0.07
600352.SH,0.37
600369.SH,0.216
600372.SH,0.448
600373.SH,0.132
600377.SH,0.074
600378.SH,0.141
600380.SH,0.203
600390.SH,0.187
600392.SH,0.239
600398.SH,0.201
600399.SH,0.227
600409.SH,0.111
600415.SH,0.347
600416.SH,0.174
600418.SH,0.345
600435.SH,0.167
600481.SH,0.176
600482.SH,0.319
600486.SH,0.238
600487.SH,0.43
600489.SH,0.498
600497.SH,0.288
600498.SH,0.195
600499.SH,0.211
600500.SH,0.111
600507.SH,0.101
600511.SH,0.189
600516.SH,0.253
600517.SH,0.134
600521.SH,0.23
600528.SH,0.177
600529.SH,0.216
600535.SH,0.193
600536.SH,0.401
600546.SH,0.257
600549.SH,0.227
600556.SH,0.109
600563.SH,0.236
600566.SH,0.149
600580.SH,0.173
600582.SH,0.134
600597.SH,0.111
600598.SH,0.147
600623.SH,0.073
600637.SH,0.252
600642.SH,0.247
600655.SH,0.221
600663.SH,0.114
600667.SH,0.155
600673.SH,0.158
600699.SH,0.271
600704.SH,0.223
600705.SH,0.3
600707.SH,0.134
600718.SH,0.133
600737.SH,0.142
600739.SH,0.211
600755.SH,0.15
600764.SH,0.076
600765.SH,0.43
600782.SH,0.121
600801.SH,0.138
600808.SH,0.097
600820.SH,0.198
600827.SH,0.145
600839.SH,0.226
600848.SH,0.175
600859.SH,0.253
600862.SH,0.316
600863.SH,0.17
600867.SH,0.212
600871.SH,0.13
600873.SH,0.29
600879.SH,0.227
600885.SH,0.451
600895.SH,0.199
600901.SH,0.115
600906.SH,0.166
600909.SH,0.217
600927.SH,0.075
600928.SH,0.074
600956.SH,0.039
600959.SH,0.157
600967.SH,0.116
600968.SH,0.097
600970.SH,0.191
600985.SH,0.179
600988.SH,0.388
600995.SH,0.053
600998.SH,0.222
601000.SH,0.153
601005.SH,0.16
601016.SH,0.201
601058.SH,0.466
601077.SH,0.359
601098.SH,0.134
601106.SH,0.129
601108.SH,0.401
601118.SH,0.119
601128.SH,0.299
601136.SH,0.114
601139.SH,0.062
601156.SH,0.09
601158.SH,0.048
601162.SH,0.374
601168.SH,0.375
601179.SH,0.152
601187.SH,0.109
601198.SH,0.248
601228.SH,0.075
601231.SH,0.15
601233.SH,0.386
601298.SH,0.067
601456.SH,0.2
601555.SH,0.505
601568.SH,0.093
601577.SH,0.252
