wind_code,i_weight
000012.SZ,0.145
000021.SZ,0.157
000027.SZ,0.19
000031.SZ,0.076
000039.SZ,0.204
000050.SZ,0.167
000060.SZ,0.169
000062.SZ,0.06
000089.SZ,0.127
000155.SZ,0.207
000156.SZ,0.109
000400.SZ,0.221
000401.SZ,0.138
000402.SZ,0.099
000415.SZ,0.086
000513.SZ,0.191
000519.SZ,0.258
000537.SZ,0.116
000540.SZ,0.116
000547.SZ,0.189
000553.SZ,0.062
000559.SZ,0.101
000563.SZ,0.097
000581.SZ,0.14
000591.SZ,0.27
000598.SZ,0.138
000623.SZ,0.219
000629.SZ,0.32
000630.SZ,0.361
000636.SZ,0.189
000656.SZ,0.128
000683.SZ,0.312
000703.SZ,0.243
000709.SZ,0.147
000728.SZ,0.26
000729.SZ,0.235
000738.SZ,0.265
000739.SZ,0.199
000750.SZ,0.199
000778.SZ,0.137
000783.SZ,0.324
000785.SZ,0.126
000807.SZ,0.364
000825.SZ,0.156
000830.SZ,0.224
000831.SZ,0.304
000869.SZ,0.065
000878.SZ,0.222
000883.SZ,0.13
000887.SZ,0.18
000898.SZ,0.101
000930.SZ,0.147
000932.SZ,0.306
000937.SZ,0.106
000959.SZ,0.093
000960.SZ,0.222
000961.SZ,0.066
000967.SZ,0.091
000970.SZ,0.208
000975.SZ,0.289
000987.SZ,0.142
000988.SZ,0.259
000990.SZ,0.084
000997.SZ,0.169
000998.SZ,0.266
000999.SZ,0.291
001203.SZ,0.092
001227.SZ,0.037
001872.SZ,0.052
001914.SZ,0.103
002002.SZ,0.127
002010.SZ,0.118
002019.SZ,0.142
002025.SZ,0.283
002028.SZ,0.368
002030.SZ,0.24
002048.SZ,0.107
002056.SZ,0.24
002065.SZ,0.2
002078.SZ,0.292
002080.SZ,0.226
002081.SZ,0.121
002092.SZ,0.244
002110.SZ,0.091
002124.SZ,0.141
002127.SZ,0.148
002128.SZ,0.149
002131.SZ,0.188
002138.SZ,0.332
002146.SZ,0.074
002152.SZ,0.194
002153.SZ,0.148
002155.SZ,0.171
002156.SZ,0.235
002183.SZ,0.184
002185.SZ,0.334
002191.SZ,0.117
002192.SZ,0.32
002195.SZ,0.181
002203.SZ,0.21
002212.SZ,0.186
002221.SZ,0.113
002223.SZ,0.301
002242.SZ,0.079
002244.SZ,0.173
002249.SZ,0.134
002250.SZ,0.18
002266.SZ,0.132
002268.SZ,0.284
002273.SZ,0.258
002281.SZ,0.104
002294.SZ,0.288
002299.SZ,0.278
002326.SZ,0.21
002340.SZ,0.6
002353.SZ,0.225
002368.SZ,0.179
002372.SZ,0.214
002373.SZ,0.155
002384.SZ,0.532
002385.SZ,0.463
002396.SZ,0.14
002399.SZ,0.076
002407.SZ,0.401
002408.SZ,0.189
002409.SZ,0.226
002416.SZ,0.111
002422.SZ,0.474
002423.SZ,0.104
002429.SZ,0.124
002430.SZ,0.244
002434.SZ,0.1
002439.SZ,0.273
002444.SZ,0.215
002465.SZ,0.235
002468.SZ,0.124
002497.SZ,0.421
002500.SZ,0.179
002505.SZ,0.129
002506.SZ,0.187
002507.SZ,0.252
002508.SZ,0.207
002511.SZ,0.17
002531.SZ,0.214
002532.SZ,0.282
002557.SZ,0.239
002563.SZ,0.067
002568.SZ,0.308
002572.SZ,0.182
002595.SZ,0.146
002603.SZ,0.393
002624.SZ,0.271
002625.SZ,0.403
002653.SZ,0.075
002670.SZ,0.135
002673.SZ,0.257
002683.SZ,0.222
002690.SZ,0.133
002701.SZ,0.143
002705.SZ,0.087
002738.SZ,0.384
002739.SZ,0.24
002745.SZ,0.113
002797.SZ,0.297
002831.SZ,0.193
002850.SZ,0.261
002867.SZ,0.097
002901.SZ,0.031
002925.SZ,0.081
002926.SZ,0.186
002936.SZ,0.19
002939.SZ,0.157
002945.SZ,0.056
002948.SZ,0.093
002958.SZ,0.177
002966.SZ,0.448
002985.SZ,0.141
003035.SZ,0.101
300001.SZ,0.174
300003.SZ,0.475
300009.SZ,0.172
300012.SZ,0.589
300017.SZ,0.214
300024.SZ,0.175
300026.SZ,0.188
300037.SZ,0.355
300058.SZ,0.198
300070.SZ,0.189
300072.SZ,0.113
300073.SZ,0.359
300088.SZ,0.23
300115.SZ,0.136
300136.SZ,0.251
300144.SZ,0.36
300146.SZ,0.366
300168.SZ,0.157
300182.SZ,0.145
300212.SZ,0.128
300244.SZ,0.198
300251.SZ,0.16
300253.SZ,0.278
300257.SZ,0.094
300285.SZ,0.348
300296.SZ,0.18
300308.SZ,0.238
300357.SZ,0.317
300363.SZ,0.244
300373.SZ,0.212
300376.SZ,0.125
300383.SZ,0.184
300390.SZ,0.337
300418.SZ,0.214
300463.SZ,0.117
300474.SZ,0.194
300482.SZ,0.134
300558.SZ,0.193
300568.SZ,0.342
300604.SZ,0.254
300618.SZ,0.136
300630.SZ,0.101
300676.SZ,0.202
300677.SZ,0.153
300682.SZ,0.183
300699.SZ,0.353
300724.SZ,0.499
300741.SZ,0.046
300776.SZ,0.168
300832.SZ,0.248
300850.SZ,0.166
300861.SZ,0.148
300866.SZ,0.189
300869.SZ,0.082
300888.SZ,0.144
301029.SZ,0.099
600006.SH,0.07
600008.SH,0.196
600021.SH,0.177
600022.SH,0.127
600026.SH,0.263
600027.SH,0.301
600032.SH,0.038
