wind_code,i_weight
600030.SH,3.953
600031.SH,1.368
600036.SH,5.924
600048.SH,0.969
600050.SH,1.294
600089.SH,0.905
600104.SH,1.072
600150.SH,1.04
600276.SH,2.981
600309.SH,1.843
600406.SH,1.306
600436.SH,0.926
600438.SH,0.977
600519.SH,12.622
600690.SH,1.412
600809.SH,1.309
600887.SH,2.396
600900.SH,4.402
600941.SH,1.265
601012.SH,1.477
601088.SH,1.736
601166.SH,3.457
601225.SH,1.193
601288.SH,2.022
601318.SH,7.548
601328.SH,2.653
601390.SH,0.867
601398.SH,2.839
601601.SH,1.528
601628.SH,0.924
601633.SH,0.429
601658.SH,0.775
601668.SH,1.639
601669.SH,0.631
601728.SH,1.323
601857.SH,1.2
601888.SH,0.894
601899.SH,3.406
601919.SH,1.142
601985.SH,1.173
601988.SH,1.391
603259.SH,1.667
603288.SH,0.992
603501.SH,1.106
603986.SH,0.753
688012.SH,1.269
688041.SH,1.541
688111.SH,0.897
688981.SH,2.342
