wind_code,i_weight
600030.SH,3.288
600031.SH,1.437
600036.SH,6.806
600048.SH,0.754
600050.SH,1.123
600150.SH,0.866
600276.SH,2.791
600309.SH,1.608
600406.SH,1.117
600438.SH,0.656
600519.SH,12.454
600690.SH,1.303
600809.SH,1.328
600887.SH,2.271
600900.SH,4.322
600941.SH,1.231
601012.SH,1.221
601088.SH,1.607
601127.SH,1.207
601166.SH,3.99
601225.SH,0.976
601288.SH,2.101
601318.SH,7.058
601328.SH,2.229
601390.SH,0.722
601398.SH,3.067
601601.SH,1.398
601628.SH,0.796
601633.SH,0.413
601658.SH,0.735
601668.SH,1.39
601728.SH,1.548
601766.SH,1.091
601816.SH,2.085
601857.SH,1.183
601888.SH,0.746
601899.SH,3.791
601919.SH,1.179
601985.SH,0.962
601988.SH,1.499
603259.SH,2.139
603288.SH,0.86
603501.SH,1.435
603993.SH,0.682
688012.SH,1.02
688041.SH,1.669
688111.SH,0.879
688256.SH,1.652
688981.SH,2.256
