wind_code,i_weight
000009.SZ,0.447
000012.SZ,0.143
000021.SZ,0.327
000025.SZ,0.044
000027.SZ,0.135
000028.SZ,0.137
000031.SZ,0.133
000039.SZ,0.157
000046.SZ,0.12
000050.SZ,0.32
000060.SZ,0.189
000061.SZ,0.102
000062.SZ,0.093
000078.SZ,0.142
000089.SZ,0.16
000090.SZ,0.184
000156.SZ,0.127
000158.SZ,0.204
000301.SZ,0.137
000400.SZ,0.163
000401.SZ,0.308
000402.SZ,0.162
000415.SZ,0.15
000488.SZ,0.134
000501.SZ,0.147
000513.SZ,0.363
000519.SZ,0.134
000528.SZ,0.133
000537.SZ,0.083
000543.SZ,0.093
000547.SZ,0.358
000553.SZ,0.084
000559.SZ,0.136
000563.SZ,0.15
000564.SZ,0.22
000581.SZ,0.247
000598.SZ,0.168
000600.SZ,0.074
000623.SZ,0.298
000629.SZ,0.176
000630.SZ,0.29
000636.SZ,0.426
000681.SZ,0.159
000685.SZ,0.139
000686.SZ,0.242
000690.SZ,0.167
000712.SZ,0.114
000717.SZ,0.094
000718.SZ,0.096
000729.SZ,0.197
000732.SZ,0.103
000738.SZ,0.159
000739.SZ,0.28
000750.SZ,0.337
000758.SZ,0.117
000778.SZ,0.167
000785.SZ,0.049
000800.SZ,0.202
000807.SZ,0.139
000813.SZ,0.113
000825.SZ,0.154
000826.SZ,0.108
000830.SZ,0.156
000848.SZ,0.092
000869.SZ,0.095
000877.SZ,0.194
000878.SZ,0.22
000883.SZ,0.14
000887.SZ,0.117
000898.SZ,0.12
000930.SZ,0.156
000932.SZ,0.141
000937.SZ,0.065
000959.SZ,0.139
000960.SZ,0.175
000967.SZ,0.16
000970.SZ,0.17
000975.SZ,0.38
000983.SZ,0.157
000987.SZ,0.131
000988.SZ,0.4
000990.SZ,0.097
000997.SZ,0.24
000998.SZ,0.313
000999.SZ,0.233
001872.SZ,0.031
001914.SZ,0.266
002002.SZ,0.114
002004.SZ,0.174
002010.SZ,0.144
002013.SZ,0.29
002019.SZ,0.347
002028.SZ,0.254
002030.SZ,0.341
002038.SZ,0.161
002048.SZ,0.158
002051.SZ,0.073
002056.SZ,0.188
002064.SZ,0.144
002074.SZ,0.432
002075.SZ,0.45
002078.SZ,0.302
002080.SZ,0.212
002081.SZ,0.215
002085.SZ,0.173
002092.SZ,0.158
002093.SZ,0.091
002110.SZ,0.166
002118.SZ,0.07
002124.SZ,0.213
002127.SZ,0.741
002128.SZ,0.091
002131.SZ,0.531
002138.SZ,0.328
002152.SZ,0.318
002155.SZ,0.135
002156.SZ,0.353
002174.SZ,0.33
002183.SZ,0.162
002185.SZ,0.604
002191.SZ,0.16
002195.SZ,0.328
002203.SZ,0.174
002212.SZ,0.439
002217.SZ,0.2
002221.SZ,0.207
002223.SZ,0.446
002233.SZ,0.175
002242.SZ,0.233
002244.SZ,0.135
002249.SZ,0.104
002250.SZ,0.328
002266.SZ,0.127
002268.SZ,0.255
002273.SZ,0.425
002281.SZ,0.272
002285.SZ,0.07
002294.SZ,0.253
002302.SZ,0.099
002317.SZ,0.228
002340.SZ,0.388
002353.SZ,0.363
002368.SZ,0.22
002372.SZ,0.149
002373.SZ,0.364
002375.SZ,0.14
002382.SZ,0.296
