wind_code,i_weight
000010.SZ,0.072
000011.SZ,0.067
000014.SZ,0.037
000016.SZ,0.17
000018.SZ,0.126
000029.SZ,0.073
000034.SZ,0.173
000035.SZ,0.111
000036.SZ,0.178
000038.SZ,0.037
000040.SZ,0.134
000042.SZ,0.103
000048.SZ,0.157
000055.SZ,0.089
000058.SZ,0.088
000059.SZ,0.239
000065.SZ,0.099
000070.SZ,0.078
000088.SZ,0.155
000150.SZ,0.154
000151.SZ,0.057
000159.SZ,0.052
000404.SZ,0.078
000407.SZ,0.115
000409.SZ,0.055
000416.SZ,0.08
000419.SZ,0.048
000498.SZ,0.073
000506.SZ,0.125
000514.SZ,0.054
000516.SZ,0.186
000518.SZ,0.164
000520.SZ,0.106
000523.SZ,0.064
000525.SZ,0.121
000531.SZ,0.07
000532.SZ,0.058
000533.SZ,0.117
000537.SZ,0.196
000544.SZ,0.052
000545.SZ,0.087
000546.SZ,0.11
000548.SZ,0.055
000551.SZ,0.057
000553.SZ,0.107
000554.SZ,0.076
000561.SZ,0.061
000570.SZ,0.035
000571.SZ,0.092
000573.SZ,0.075
000576.SZ,0.11
000582.SZ,0.097
000584.SZ,0.151
000591.SZ,0.137
000601.SZ,0.136
000603.SZ,0.107
000607.SZ,0.067
000615.SZ,0.122
000626.SZ,0.056
000637.SZ,0.045
000639.SZ,0.063
000650.SZ,0.116
000657.SZ,0.077
000665.SZ,0.064
000666.SZ,0.154
000673.SZ,0.111
000676.SZ,0.081
000683.SZ,0.146
000687.SZ,0.124
000688.SZ,0.092
000700.SZ,0.071
000701.SZ,0.074
000719.SZ,0.07
000722.SZ,0.045
000731.SZ,0.112
000733.SZ,0.118
000735.SZ,0.149
000739.SZ,0.11
000751.SZ,0.14
000752.SZ,0.085
000757.SZ,0.054
000760.SZ,0.08
000767.SZ,0.09
000782.SZ,0.091
000789.SZ,0.111
000790.SZ,0.077
000795.SZ,0.086
000796.SZ,0.076
000797.SZ,0.143
000801.SZ,0.096
000802.SZ,0.095
000807.SZ,0.243
000811.SZ,0.08
000818.SZ,0.133
000819.SZ,0.059
000820.SZ,0.226
000821.SZ,0.091
000828.SZ,0.114
000836.SZ,0.15
000837.SZ,0.073
000838.SZ,0.086
000851.SZ,0.116
000863.SZ,0.078
000875.SZ,0.105
000881.SZ,0.101
000882.SZ,0.124
000885.SZ,0.064
000889.SZ,0.084
000892.SZ,0.069
000893.SZ,0.055
000899.SZ,0.043
000901.SZ,0.152
000902.SZ,0.155
000905.SZ,0.078
000909.SZ,0.043
000910.SZ,0.171
000915.SZ,0.142
000918.SZ,0.125
000920.SZ,0.064
000921.SZ,0.124
000925.SZ,0.071
000927.SZ,0.07
000928.SZ,0.098
000936.SZ,0.089
000948.SZ,0.045
000952.SZ,0.085
000957.SZ,0.11
000958.SZ,0.102
000965.SZ,0.072
000967.SZ,0.097
000971.SZ,0.084
000976.SZ,0.13
000989.SZ,0.16
000990.SZ,0.076
000996.SZ,0.125
001872.SZ,0.082
001896.SZ,0.048
001914.SZ,0.084
002009.SZ,0.11
002016.SZ,0.061
002017.SZ,0.046
002020.SZ,0.131
002023.SZ,0.15
002031.SZ,0.108
002033.SZ,0.074
002035.SZ,0.312
002036.SZ,0.205
002042.SZ,0.122
002043.SZ,0.138
002047.SZ,0.149
002053.SZ,0.056
002055.SZ,0.143
002059.SZ,0.059
002060.SZ,0.079
002067.SZ,0.161
002071.SZ,0.073
002079.SZ,0.098
002080.SZ,0.139
002086.SZ,0.124
002089.SZ,0.134
002091.SZ,0.14
002094.SZ,0.1
002095.SZ,0.125
002097.SZ,0.113
002099.SZ,0.121
002100.SZ,0.097
002102.SZ,0.235
002103.SZ,0.064
002104.SZ,0.126
002108.SZ,0.224
002110.SZ,0.09
002111.SZ,0.073
002114.SZ,0.057
002115.SZ,0.069
002117.SZ,0.129
002121.SZ,0.127
002124.SZ,0.066
002126.SZ,0.13
002130.SZ,0.133
002135.SZ,0.075
002137.SZ,0.04
002138.SZ,0.245
002139.SZ,0.131
002141.SZ,0.119
002145.SZ,0.182
002148.SZ,0.11
002151.SZ,0.15
002154.SZ,0.084
002156.SZ,0.156
002157.SZ,0.138
002162.SZ,0.055
002166.SZ,0.089
002167.SZ,0.125
002170.SZ,0.096
002171.SZ,0.075
002172.SZ,0.045
002177.SZ,0.075
002178.SZ,0.17
002182.SZ,0.088
002185.SZ,0.345
002188.SZ,0.101
002192.SZ,0.17
002196.SZ,0.065
002197.SZ,0.077
002198.SZ,0.122
002203.SZ,0.096
002204.SZ,0.077
002206.SZ,0.091
002210.SZ,0.155
002212.SZ,0.188
002215.SZ,0.093
002218.SZ,0.091
002222.SZ,0.167
002224.SZ,0.104
002226.SZ,0.067
002227.SZ,0.038
002229.SZ,0.085
002231.SZ,0.056
002232.SZ,0.054
002234.SZ,0.056
002235.SZ,0.054
002239.SZ,0.09
002245.SZ,0.152
002246.SZ,0.078
002247.SZ,0.116
002253.SZ,0.097
002255.SZ,0.089
002256.SZ,0.082
002259.SZ,0.072
002260.SZ,0.066
002262.SZ,0.172
002263.SZ,0.092
002270.SZ,0.061
002274.SZ,0.057
002279.SZ,0.072
002283.SZ,0.11
002284.SZ,0.1
002287.SZ,0.04
002288.SZ,0.079
002296.SZ,0.064
002298.SZ,0.048
002301.SZ,0.072
002302.SZ,0.135
002303.SZ,0.117
002307.SZ,0.101
002313.SZ,0.204
002314.SZ,0.082
002318.SZ,0.115
002320.SZ,0.074
002321.SZ,0.118
002322.SZ,0.079
002323.SZ,0.047
002324.SZ,0.082
002326.SZ,0.133
002328.SZ,0.053
002329.SZ,0.073
002331.SZ,0.092
002335.SZ,0.064
002339.SZ,0.073
002341.SZ,0.172
002343.SZ,0.205
002346.SZ,0.052
002348.SZ,0.088
002349.SZ,0.066
002351.SZ,0.055
002355.SZ,0.093
002356.SZ,0.061
002359.SZ,0.241
002362.SZ,0.093
002363.SZ,0.056
002364.SZ,0.098
002367.SZ,0.087
002369.SZ,0.11
002372.SZ,0.129
002376.SZ,0.123
002378.SZ,0.067
002383.SZ,0.27
002387.SZ,0.124
002388.SZ,0.042
002389.SZ,0.187
002393.SZ,0.074
002401.SZ,0.048
002402.SZ,0.172
002406.SZ,0.069
002413.SZ,0.107
002418.SZ,0.134
002419.SZ,0.109
002421.SZ,0.173
002425.SZ,0.066
002427.SZ,0.166
002429.SZ,0.173
002432.SZ,0.052
002433.SZ,0.1
002434.SZ,0.152
002436.SZ,0.148
002441.SZ,0.056
002443.SZ,0.104
002445.SZ,0.129
002446.SZ,0.093
002447.SZ,0.133
002448.SZ,0.105
002449.SZ,0.15
002451.SZ,0.139
002452.SZ,0.056
002453.SZ,0.087
002457.SZ,0.079
002458.SZ,0.079
002461.SZ,0.045
002462.SZ,0.147
002464.SZ,0.098
002467.SZ,0.122
002471.SZ,0.092
002472.SZ,0.082
002474.SZ,0.096
002476.SZ,0.072
002481.SZ,0.114
002483.SZ,0.046
002484.SZ,0.094
002488.SZ,0.087
002494.SZ,0.055
002496.SZ,0.121
002497.SZ,0.297
002499.SZ,0.062
002501.SZ,0.174
002502.SZ,0.091
002509.SZ,0.398
002510.SZ,0.118
002511.SZ,0.139
002515.SZ,0.105
002516.SZ,0.079
002518.SZ,0.093
002519.SZ,0.054
002521.SZ,0.088
002522.SZ,0.124
002524.SZ,0.051
002527.SZ,0.084
002528.SZ,0.041
002531.SZ,0.12
002535.SZ,0.057
002537.SZ,0.088
002538.SZ,0.111
002539.SZ,0.061
002540.SZ,0.09
002542.SZ,0.104
002543.SZ,0.09
002545.SZ,0.042
002546.SZ,0.043
002547.SZ,0.112
002550.SZ,0.121
002554.SZ,0.088
002556.SZ,0.097
002559.SZ,0.067
002564.SZ,0.119
002567.SZ,0.055
002570.SZ,0.098
002574.SZ,0.05
002575.SZ,0.079
002577.SZ,0.048
002579.SZ,0.047
002584.SZ,0.099
002585.SZ,0.097
002586.SZ,0.098
002590.SZ,0.082
002592.SZ,0.062
002596.SZ,0.167
002597.SZ,0.175
002600.SZ,0.281
002604.SZ,0.103
002605.SZ,0.048
002606.SZ,0.146
002609.SZ,0.099
002610.SZ,0.21
002611.SZ,0.109
002612.SZ,0.059
002614.SZ,0.117
002616.SZ,0.072
002617.SZ,0.085
002618.SZ,0.132
002619.SZ,0.098
002622.SZ,0.26
002625.SZ,0.223
002626.SZ,0.118
002630.SZ,0.159
002631.SZ,0.083
002636.SZ,0.11
002638.SZ,0.096
002643.SZ,0.126
002644.SZ,0.048
002647.SZ,0.179
002648.SZ,0.085
002649.SZ,0.118
002650.SZ,0.112
002651.SZ,0.037
002655.SZ,0.071
002658.SZ,0.078
002660.SZ,0.042
002662.SZ,0.08
002664.SZ,0.141
002667.SZ,0.037
002668.SZ,0.177
002675.SZ,0.098
002677.SZ,0.079
002678.SZ,0.057
002684.SZ,0.1
002695.SZ,0.088
002697.SZ,0.113
002703.SZ,0.052
002711.SZ,0.124
002712.SZ,0.078
002716.SZ,0.159
002717.SZ,0.101
002721.SZ,0.125
002724.SZ,0.028
002726.SZ,0.061
002733.SZ,0.063
002737.SZ,0.091
002741.SZ,0.058
002746.SZ,0.042
002747.SZ,0.067
002751.SZ,0.084
002752.SZ,0.043
002756.SZ,0.124
002759.SZ,0.093
002762.SZ,0.034
002766.SZ,0.076
002769.SZ,0.053
002771.SZ,0.041
002772.SZ,0.054
002777.SZ,0.055
002781.SZ,0.052
002782.SZ,0.047
002783.SZ,0.049
002786.SZ,0.029
002788.SZ,0.05
002790.SZ,0.034
002791.SZ,0.046
002792.SZ,0.083
002801.SZ,0.031
002802.SZ,0.024
002812.SZ,0.103
002821.SZ,0.065
002822.SZ,0.045
300004.SZ,0.075
300005.SZ,0.064
300006.SZ,0.076
300007.SZ,0.071
300008.SZ,0.084
300009.SZ,0.226
300011.SZ,0.092
300012.SZ,0.141
300014.SZ,0.245
300016.SZ,0.073
300018.SZ,0.056
300020.SZ,0.174
300021.SZ,0.069
300028.SZ,0.032
300030.SZ,0.047
300031.SZ,0.1
300034.SZ,0.1
300036.SZ,0.12
300037.SZ,0.111
300038.SZ,0.139
300044.SZ,0.101
300045.SZ,0.105
300047.SZ,0.067
300048.SZ,0.079
300050.SZ,0.063
300051.SZ,0.051
300052.SZ,0.054
300053.SZ,0.152
300054.SZ,0.159
300056.SZ,0.048
300063.SZ,0.052
300064.SZ,0.121
300065.SZ,0.111
300066.SZ,0.074
300068.SZ,0.166
300071.SZ,0.065
300073.SZ,0.159
300074.SZ,0.076
300075.SZ,0.105
300076.SZ,0.046
300077.SZ,0.216
300078.SZ,0.132
300079.SZ,0.158
300083.SZ,0.165
300084.SZ,0.046
300085.SZ,0.112
300086.SZ,0.093
300090.SZ,0.239
300096.SZ,0.111
300097.SZ,0.117
300098.SZ,0.137
300100.SZ,0.05
300101.SZ,0.154
300102.SZ,0.125
300109.SZ,0.078
300110.SZ,0.169
300111.SZ,0.101
300118.SZ,0.137
300128.SZ,0.175
300130.SZ,0.087
300131.SZ,0.089
300135.SZ,0.062
300137.SZ,0.175
300140.SZ,0.073
300142.SZ,0.532
300145.SZ,0.245
300148.SZ,0.084
300149.SZ,0.127
300152.SZ,0.094
300157.SZ,0.114
300160.SZ,0.065
300162.SZ,0.027
300165.SZ,0.046
300170.SZ,0.158
300171.SZ,0.059
300172.SZ,0.072
300173.SZ,0.052
300175.SZ,0.047
300177.SZ,0.086
300178.SZ,0.101
300180.SZ,0.11
300181.SZ,0.054
300183.SZ,0.114
300185.SZ,0.131
300187.SZ,0.071
300188.SZ,0.138
300191.SZ,0.069
300193.SZ,0.078
300194.SZ,0.05
300195.SZ,0.059
300197.SZ,0.264
300198.SZ,0.087
300203.SZ,0.249
300204.SZ,0.067
300205.SZ,0.061
300206.SZ,0.06
300207.SZ,0.216
300208.SZ,0.163
300209.SZ,0.058
300212.SZ,0.113
300213.SZ,0.06
300215.SZ,0.086
300216.SZ,0.107
300217.SZ,0.065
300219.SZ,0.106
300221.SZ,0.095
300222.SZ,0.114
300223.SZ,0.092
300224.SZ,0.073
300226.SZ,0.099
300227.SZ,0.051
300228.SZ,0.104
300229.SZ,0.064
300231.SZ,0.07
300232.SZ,0.082
300236.SZ,0.079
300237.SZ,0.112
300238.SZ,0.12
300242.SZ,0.063
300245.SZ,0.064
300246.SZ,0.058
300248.SZ,0.056
300252.SZ,0.075
300256.SZ,0.097
300262.SZ,0.073
300263.SZ,0.073
300269.SZ,0.131
300271.SZ,0.176
300276.SZ,0.051
300278.SZ,0.114
300284.SZ,0.14
300285.SZ,0.27
300288.SZ,0.105
300292.SZ,0.087
300294.SZ,0.121
300295.SZ,0.062
300299.SZ,0.066
300300.SZ,0.091
300302.SZ,0.062
300303.SZ,0.096
300304.SZ,0.079
300307.SZ,0.068
300309.SZ,0.13
300310.SZ,0.126
