wind_code,i_weight
000019.SZ,0.031
000025.SZ,0.046
000028.SZ,0.069
000029.SZ,0.07
000030.SZ,0.042
000035.SZ,0.105
000048.SZ,0.058
000049.SZ,0.073
000058.SZ,0.033
000059.SZ,0.07
000061.SZ,0.061
000065.SZ,0.082
000088.SZ,0.049
000089.SZ,0.101
000090.SZ,0.065
000099.SZ,0.168
000156.SZ,0.106
000420.SZ,0.111
000422.SZ,0.164
000498.SZ,0.051
000503.SZ,0.116
000517.SZ,0.025
000544.SZ,0.034
000550.SZ,0.061
000552.SZ,0.074
000555.SZ,0.105
000557.SZ,0.065
000567.SZ,0.053
000581.SZ,0.155
000589.SZ,0.078
000597.SZ,0.062
000600.SZ,0.072
000603.SZ,0.087
000612.SZ,0.111
000620.SZ,0.053
000628.SZ,0.112
000650.SZ,0.092
000657.SZ,0.204
000672.SZ,0.059
000676.SZ,0.125
000680.SZ,0.125
000681.SZ,0.147
000682.SZ,0.115
000685.SZ,0.096
000686.SZ,0.161
000688.SZ,0.065
000690.SZ,0.141
000712.SZ,0.108
000718.SZ,0.046
000719.SZ,0.055
000727.SZ,0.09
000735.SZ,0.081
000737.SZ,0.141
000756.SZ,0.07
000758.SZ,0.114
000761.SZ,0.039
000762.SZ,0.126
000766.SZ,0.311
000767.SZ,0.064
000791.SZ,0.059
000795.SZ,0.105
000801.SZ,0.14
000810.SZ,0.091
000811.SZ,0.123
000813.SZ,0.073
000821.SZ,0.08
000828.SZ,0.064
000829.SZ,0.116
000837.SZ,0.103
000848.SZ,0.077
000860.SZ,0.114
000875.SZ,0.156
000881.SZ,0.062
000885.SZ,0.037
000899.SZ,0.037
000901.SZ,0.102
000902.SZ,0.124
000913.SZ,0.071
000915.SZ,0.086
000917.SZ,0.152
000923.SZ,0.088
000927.SZ,0.09
000928.SZ,0.076
000930.SZ,0.076
000935.SZ,0.083
000950.SZ,0.064
000966.SZ,0.066
000968.SZ,0.047
000969.SZ,0.136
000970.SZ,0.179
000990.SZ,0.066
001203.SZ,0.072
001227.SZ,0.137
001236.SZ,0.038
001258.SZ,0.028
001287.SZ,0.086
001301.SZ,0.11
001308.SZ,0.029
001309.SZ,0.135
001311.SZ,0.03
001323.SZ,0.035
001337.SZ,0.054
001339.SZ,0.054
001356.SZ,0.036
001376.SZ,0.039
001914.SZ,0.073
002003.SZ,0.104
002004.SZ,0.097
002006.SZ,0.083
002010.SZ,0.119
002011.SZ,0.102
002015.SZ,0.165
002019.SZ,0.149
002020.SZ,0.138
002023.SZ,0.091
002034.SZ,0.051
002036.SZ,0.157
002038.SZ,0.084
002041.SZ,0.049
002043.SZ,0.069
002045.SZ,0.096
002048.SZ,0.136
002051.SZ,0.058
002053.SZ,0.041
002060.SZ,0.058
002061.SZ,0.075
002063.SZ,0.116
002068.SZ,0.067
002073.SZ,0.122
002075.SZ,0.145
002077.SZ,0.068
002079.SZ,0.089
002081.SZ,0.08
002091.SZ,0.099
002093.SZ,0.085
002096.SZ,0.097
002097.SZ,0.139
002099.SZ,0.098
002100.SZ,0.097
002101.SZ,0.056
002123.SZ,0.161
002125.SZ,0.07
002126.SZ,0.337
002127.SZ,0.088
002139.SZ,0.24
002145.SZ,0.155
002149.SZ,0.101
002151.SZ,0.182
002154.SZ,0.062
002158.SZ,0.051
002163.SZ,0.084
002171.SZ,0.149
002174.SZ,0.189
002176.SZ,0.18
002182.SZ,0.118
002183.SZ,0.113
002192.SZ,0.1
002194.SZ,0.076
002204.SZ,0.083
002212.SZ,0.132
002215.SZ,0.111
002216.SZ,0.054
002219.SZ,0.063
002221.SZ,0.135
002222.SZ,0.205
002226.SZ,0.09
002233.SZ,0.08
002237.SZ,0.093
002239.SZ,0.106
002242.SZ,0.043
002243.SZ,0.068
002245.SZ,0.232
002249.SZ,0.156
002254.SZ,0.089
002258.SZ,0.085
002265.SZ,0.169
002267.SZ,0.048
002268.SZ,0.15
002270.SZ,0.132
002274.SZ,0.054
002275.SZ,0.037
002276.SZ,0.161
002292.SZ,0.119
002302.SZ,0.045
002314.SZ,0.043
002315.SZ,0.142
002317.SZ,0.19
002320.SZ,0.076
002324.SZ,0.111
002326.SZ,0.117
002327.SZ,0.042
002332.SZ,0.119
002335.SZ,0.212
002338.SZ,0.095
002351.SZ,0.081
002354.SZ,0.151
002368.SZ,0.151
002378.SZ,0.077
002389.SZ,0.246
002390.SZ,0.061
002396.SZ,0.174
002399.SZ,0.07
002400.SZ,0.191
002402.SZ,0.313
002405.SZ,0.277
002408.SZ,0.1
002416.SZ,0.13
002421.SZ,0.098
002428.SZ,0.163
002434.SZ,0.069
002456.SZ,0.522
002458.SZ,0.082
002468.SZ,0.13
002484.SZ,0.17
002487.SZ,0.17
002488.SZ,0.128
002489.SZ,0.057
002497.SZ,0.223
002498.SZ,0.064
002506.SZ,0.167
002511.SZ,0.068
002516.SZ,0.052
002518.SZ,0.075
002531.SZ,0.081
002534.SZ,0.039
002537.SZ,0.128
002539.SZ,0.124
002541.SZ,0.103
002544.SZ,0.131
002545.SZ,0.085
002550.SZ,0.119
002557.SZ,0.097
002567.SZ,0.097
002581.SZ,0.033
002583.SZ,0.178
002588.SZ,0.071
002597.SZ,0.107
002605.SZ,0.076
002611.SZ,0.167
002612.SZ,0.054
002617.SZ,0.16
002626.SZ,0.084
002635.SZ,0.062
002643.SZ,0.098
002649.SZ,0.118
002651.SZ,0.053
002654.SZ,0.109
002668.SZ,0.076
002675.SZ,0.155
002681.SZ,0.131
002690.SZ,0.083
002697.SZ,0.058
002698.SZ,0.138
002701.SZ,0.134
002705.SZ,0.067
002706.SZ,0.121
002716.SZ,0.123
002726.SZ,0.049
002727.SZ,0.073
002737.SZ,0.067
002745.SZ,0.122
002747.SZ,0.152
002755.SZ,0.106
002761.SZ,0.087
002777.SZ,0.076
002779.SZ,0.104
002791.SZ,0.044
002807.SZ,0.16
002815.SZ,0.1
002832.SZ,0.077
002833.SZ,0.048
002839.SZ,0.122
002840.SZ,0.047
002847.SZ,0.103
002859.SZ,0.076
002867.SZ,0.079
002881.SZ,0.081
002891.SZ,0.119
002892.SZ,0.074
002895.SZ,0.121
002897.SZ,0.063
002901.SZ,0.051
002906.SZ,0.108
002911.SZ,0.026
002913.SZ,0.053
002925.SZ,0.078
002928.SZ,0.089
002929.SZ,0.087
002936.SZ,0.144
002941.SZ,0.054
002946.SZ,0.039
002947.SZ,0.084
002948.SZ,0.14
002959.SZ,0.042
002960.SZ,0.063
002967.SZ,0.07
002978.SZ,0.029
002979.SZ,0.115
002985.SZ,0.07
002987.SZ,0.1
002991.SZ,0.029
002993.SZ,0.076
003006.SZ,0.061
003009.SZ,0.04
003012.SZ,0.048
003021.SZ,0.15
003039.SZ,0.024
300008.SZ,0.133
300009.SZ,0.197
300026.SZ,0.125
300027.SZ,0.107
300031.SZ,0.113
300034.SZ,0.116
300035.SZ,0.155
300036.SZ,0.112
300039.SZ,0.059
300045.SZ,0.155
300049.SZ,0.166
300068.SZ,0.183
300075.SZ,0.121
300077.SZ,0.204
300079.SZ,0.114
300080.SZ,0.046
300083.SZ,0.193
300085.SZ,0.243
300087.SZ,0.084
300088.SZ,0.21
300100.SZ,0.208
300101.SZ,0.136
300102.SZ,0.106
300113.SZ,0.13
300119.SZ,0.082
300129.SZ,0.066
300130.SZ,0.165
300133.SZ,0.142
300134.SZ,0.065
300151.SZ,0.061
300166.SZ,0.129
300170.SZ,0.259
300171.SZ,0.082
300180.SZ,0.149
300181.SZ,0.183
300182.SZ,0.213
300183.SZ,0.055
300184.SZ,0.155
300185.SZ,0.121
300188.SZ,0.121
300224.SZ,0.111
300226.SZ,0.094
300229.SZ,0.21
300232.SZ,0.086
300236.SZ,0.127
300244.SZ,0.112
300253.SZ,0.268
300257.SZ,0.075
300260.SZ,0.091
300261.SZ,0.083
300276.SZ,0.119
300284.SZ,0.101
300294.SZ,0.114
300296.SZ,0.183
300298.SZ,0.098
300303.SZ,0.122
300315.SZ,0.209
300319.SZ,0.112
300323.SZ,0.084
300327.SZ,0.121
300337.SZ,0.072
300348.SZ,0.192
300352.SZ,0.108
300357.SZ,0.111
300360.SZ,0.079
300363.SZ,0.108
300393.SZ,0.074
300398.SZ,0.124
300401.SZ,0.085
300406.SZ,0.06
300409.SZ,0.186
300415.SZ,0.094
300416.SZ,0.081
300428.SZ,0.064
300432.SZ,0.179
300438.SZ,0.126
300443.SZ,0.066
300446.SZ,0.082
300451.SZ,0.1
300455.SZ,0.071
300456.SZ,0.133
300457.SZ,0.112
300459.SZ,0.277
300463.SZ,0.076
300468.SZ,0.236
300470.SZ,0.086
300475.SZ,0.153
300482.SZ,0.096
300492.SZ,0.073
300493.SZ,0.115
300525.SZ,0.113
300527.SZ,0.086
300548.SZ,0.245
300568.SZ,0.218
300570.SZ,0.252
300576.SZ,0.094
300579.SZ,0.069
300580.SZ,0.086
300593.SZ,0.104
300596.SZ,0.07
300598.SZ,0.104
300602.SZ,0.095
300613.SZ,0.077
300618.SZ,0.11
300620.SZ,0.095
300624.SZ,0.174
300633.SZ,0.097
300634.SZ,0.107
300638.SZ,0.168
300641.SZ,0.088
300655.SZ,0.124
300657.SZ,0.161
300660.SZ,0.115
