wind_code,i_weight
600016.SH,3.17
600019.SH,1.34
600028.SH,1.528
600029.SH,0.526
600030.SH,3.085
600036.SH,6.467
600048.SH,1.973
600050.SH,1.061
600104.SH,2.001
600196.SH,0.501
600276.SH,2.8
600309.SH,1.151
600340.SH,1.055
600519.SH,7.437
600547.SH,0.489
600585.SH,1.394
600606.SH,0.502
600690.SH,1.256
600703.SH,0.515
600887.SH,3.155
601006.SH,1.091
601088.SH,0.842
601138.SH,0.292
601166.SH,4.388
601169.SH,1.896
601186.SH,0.997
601211.SH,1.623
601229.SH,1.35
601288.SH,3.059
601318.SH,14.644
601328.SH,3.686
601336.SH,0.754
601360.SH,0.171
601390.SH,1.07
601398.SH,2.62
601601.SH,2.079
601628.SH,0.814
601668.SH,2.758
601688.SH,1.342
601766.SH,1.784
601800.SH,0.536
601818.SH,1.398
601857.SH,1.272
601888.SH,1.142
601939.SH,1.019
601988.SH,1.665
601989.SH,0.845
603259.SH,0.17
603993.SH,0.582
