wind_code,i_weight
000021.SZ,0.23
000027.SZ,0.164
000031.SZ,0.054
000032.SZ,0.11
000039.SZ,0.249
000050.SZ,0.15
000060.SZ,0.187
000066.SZ,0.286
000155.SZ,0.127
000156.SZ,0.1
000400.SZ,0.371
000401.SZ,0.082
000423.SZ,0.376
000513.SZ,0.231
000519.SZ,0.193
000537.SZ,0.093
000539.SZ,0.072
000559.SZ,0.104
000563.SZ,0.154
000591.SZ,0.208
000598.SZ,0.204
000623.SZ,0.22
000629.SZ,0.192
000630.SZ,0.412
000636.SZ,0.23
000683.SZ,0.302
000703.SZ,0.242
000709.SZ,0.137
000723.SZ,0.195
000728.SZ,0.297
000729.SZ,0.227
000738.SZ,0.294
000739.SZ,0.143
000750.SZ,0.206
000778.SZ,0.147
000783.SZ,0.293
000785.SZ,0.11
000818.SZ,0.186
000825.SZ,0.14
000830.SZ,0.222
000831.SZ,0.257
000878.SZ,0.272
000883.SZ,0.172
000887.SZ,0.163
000893.SZ,0.172
000898.SZ,0.089
000921.SZ,0.235
000932.SZ,0.329
000933.SZ,0.442
000937.SZ,0.102
000958.SZ,0.104
000959.SZ,0.074
000960.SZ,0.237
000967.SZ,0.094
000987.SZ,0.137
000988.SZ,0.497
000997.SZ,0.188
000998.SZ,0.179
001203.SZ,0.066
001227.SZ,0.112
001286.SZ,0.132
001872.SZ,0.08
002008.SZ,0.316
002019.SZ,0.15
002025.SZ,0.224
002028.SZ,0.698
002044.SZ,0.196
002056.SZ,0.169
002064.SZ,0.262
002065.SZ,0.177
002078.SZ,0.391
002080.SZ,0.131
002120.SZ,0.182
002128.SZ,0.362
002138.SZ,0.364
002152.SZ,0.213
002153.SZ,0.078
002155.SZ,0.245
002156.SZ,0.411
002185.SZ,0.378
002195.SZ,0.237
002202.SZ,0.377
002203.SZ,0.159
002223.SZ,0.381
002240.SZ,0.143
002244.SZ,0.173
002261.SZ,0.184
002262.SZ,0.265
002266.SZ,0.129
002268.SZ,0.137
002273.SZ,0.432
