wind_code,i_weight
600030.SH,3.004
600031.SH,1.344
600036.SH,5.586
600050.SH,0.856
600104.SH,0.75
600111.SH,1.251
600150.SH,1.61
600276.SH,2.851
600309.SH,1.544
600406.SH,0.968
600519.SH,9.243
600690.SH,1.049
600760.SH,0.512
600809.SH,0.898
600887.SH,1.939
600900.SH,3.566
600930.SH,0.197
601012.SH,1.183
601088.SH,1.432
601127.SH,1.059
601166.SH,3.822
601211.SH,2.489
601225.SH,0.886
601288.SH,2.365
601318.SH,7.816
601328.SH,2.073
601398.SH,2.75
601601.SH,1.538
601628.SH,0.813
601658.SH,0.644
601668.SH,1.136
601728.SH,1.049
601816.SH,1.621
601857.SH,1.265
601888.SH,0.99
601899.SH,6.086
601919.SH,1.026
601985.SH,0.763
601988.SH,0.879
603019.SH,1.343
603259.SH,2.403
603501.SH,1.143
603993.SH,1.872
688008.SH,1.446
688012.SH,1.281
688041.SH,2.237
688111.SH,0.762
688256.SH,3.064
688981.SH,2.633
