wind_code,i_weight
000002.SZ,0.758
000063.SZ,0.48
000066.SZ,0.12
000069.SZ,0.143
000100.SZ,0.502
000157.SZ,0.183
000166.SZ,0.197
000333.SZ,1.646
000338.SZ,0.397
000425.SZ,0.14
000538.SZ,0.277
000568.SZ,0.808
000596.SZ,0.129
000625.SZ,0.279
000651.SZ,1.173
000656.SZ,0.087
000661.SZ,0.513
000703.SZ,0.123
000708.SZ,0.098
000725.SZ,0.988
000728.SZ,0.114
000768.SZ,0.17
000776.SZ,0.21
000783.SZ,0.133
000786.SZ,0.186
000800.SZ,0.047
000858.SZ,2.704
000860.SZ,0.102
000876.SZ,0.155
000895.SZ,0.206
000938.SZ,0.146
000963.SZ,0.188
000977.SZ,0.134
001979.SZ,0.162
002001.SZ,0.208
002007.SZ,0.188
002008.SZ,0.161
002024.SZ,0.097
002027.SZ,0.452
002032.SZ,0.049
002044.SZ,0.117
002049.SZ,0.306
002050.SZ,0.201
002120.SZ,0.073
002129.SZ,0.383
002142.SZ,0.657
002153.SZ,0.049
002157.SZ,0.088
002179.SZ,0.203
002202.SZ,0.157
002230.SZ,0.562
002236.SZ,0.177
002241.SZ,0.478
002252.SZ,0.118
002271.SZ,0.457
002304.SZ,0.584
002311.SZ,0.317
002352.SZ,0.577
002371.SZ,0.322
002384.SZ,0.133
002410.SZ,0.303
002414.SZ,0.121
002415.SZ,1.409
002456.SZ,0.09
002460.SZ,0.456
002463.SZ,0.087
002475.SZ,1.052
002493.SZ,0.245
002508.SZ,0.103
002555.SZ,0.149
002558.SZ,0.076
002594.SZ,1.064
002600.SZ,0.121
002601.SZ,0.217
002602.SZ,0.112
002607.SZ,0.181
002624.SZ,0.13
002673.SZ,0.069
002714.SZ,0.749
002736.SZ,0.145
002739.SZ,0.066
002773.SZ,0.04
002812.SZ,0.583
002821.SZ,0.254
002841.SZ,0.194
002916.SZ,0.102
002938.SZ,0.116
002939.SZ,0.048
002945.SZ,0.017
003816.SZ,0.147
300003.SZ,0.19
300014.SZ,0.551
300015.SZ,0.897
300033.SZ,0.113
300059.SZ,1.268
300122.SZ,0.699
300124.SZ,0.538
300136.SZ,0.14
300142.SZ,0.452
300144.SZ,0.123
300274.SZ,0.549
300347.SZ,0.474
300408.SZ,0.216
300413.SZ,0.228
300433.SZ,0.205
300450.SZ,0.264
300498.SZ,0.3
300529.SZ,0.163
300558.SZ,0.125
300595.SZ,0.247
300601.SZ,0.287
300628.SZ,0.106
300676.SZ,0.115
300677.SZ,0.127
600000.SH,0.549
600009.SH,0.217
600010.SH,0.165
600011.SH,0.087
600015.SH,0.178
600016.SH,0.439
600018.SH,0.078
600019.SH,0.318
600025.SH,0.049
600028.SH,0.273
600029.SH,0.178
600030.SH,0.994
600031.SH,0.808
600036.SH,3.137
600048.SH,0.404
600050.SH,0.376
600061.SH,0.102
600079.SH,0.13
600085.SH,0.131
600104.SH,0.36
600109.SH,0.144
600111.SH,0.211
600115.SH,0.106
600118.SH,0.081
600132.SH,0.224
600143.SH,0.176
600150.SH,0.138
600161.SH,0.11
600176.SH,0.174
600183.SH,0.125
600196.SH,0.407
600233.SH,0.059
600276.SH,1.424
600299.SH,0.023
600309.SH,0.799
600332.SH,0.111
600340.SH,0.048
600346.SH,0.259
600352.SH,0.167
600362.SH,0.109
600383.SH,0.108
600406.SH,0.301
600426.SH,0.214
600436.SH,0.633
600438.SH,0.547
600482.SH,0.053
600489.SH,0.078
600519.SH,6.042
600521.SH,0.085
600522.SH,0.115
600547.SH,0.162
600570.SH,0.364
600584.SH,0.22
600585.SH,0.461
600588.SH,0.254
600600.SH,0.192
600606.SH,0.093
600655.SH,0.084
600660.SH,0.366
600690.SH,0.459
600703.SH,0.403
600705.SH,0.097
600741.SH,0.194
600745.SH,0.282
600760.SH,0.166
600763.SH,0.431
600795.SH,0.134
600809.SH,0.73
600837.SH,0.519
600845.SH,0.106
600848.SH,0.08
600872.SH,0.11
600886.SH,0.125
600887.SH,1.048
600893.SH,0.265
600900.SH,1.098
600918.SH,0.039
600919.SH,0.392
600926.SH,0.205
600958.SH,0.195
600989.SH,0.141
600999.SH,0.33
601006.SH,0.183
601009.SH,0.246
601012.SH,1.799
601021.SH,0.098
601066.SH,0.143
601077.SH,0.116
601088.SH,0.301
601100.SH,0.21
601108.SH,0.123
601111.SH,0.109
601138.SH,0.173
601155.SH,0.176
601162.SH,0.098
601166.SH,1.398
601169.SH,0.337
601186.SH,0.16
601211.SH,0.362
