wind_code,i_weight
000008.SZ,0.141
000009.SZ,0.387
000012.SZ,0.143
000021.SZ,0.341
000025.SZ,0.048
000027.SZ,0.149
000028.SZ,0.141
000031.SZ,0.158
000039.SZ,0.181
000050.SZ,0.332
000060.SZ,0.199
000061.SZ,0.12
000062.SZ,0.09
000066.SZ,0.475
000078.SZ,0.158
000089.SZ,0.193
000090.SZ,0.191
000156.SZ,0.125
000158.SZ,0.197
000301.SZ,0.138
000400.SZ,0.195
000401.SZ,0.436
000402.SZ,0.19
000426.SZ,0.086
000488.SZ,0.15
000501.SZ,0.117
000513.SZ,0.335
000519.SZ,0.133
000528.SZ,0.162
000536.SZ,0.049
000537.SZ,0.085
000543.SZ,0.1
000547.SZ,0.394
000553.SZ,0.1
000559.SZ,0.156
000563.SZ,0.163
000564.SZ,0.108
000581.SZ,0.27
000598.SZ,0.198
000600.SZ,0.078
000623.SZ,0.328
000636.SZ,0.331
000681.SZ,0.14
000685.SZ,0.158
000686.SZ,0.261
000690.SZ,0.206
000712.SZ,0.126
000717.SZ,0.104
000718.SZ,0.115
000727.SZ,0.083
000729.SZ,0.192
000732.SZ,0.1
000738.SZ,0.17
000750.SZ,0.379
000758.SZ,0.126
000761.SZ,0.11
000766.SZ,0.072
000778.SZ,0.221
000807.SZ,0.144
000813.SZ,0.111
000825.SZ,0.171
000826.SZ,0.132
000830.SZ,0.184
000848.SZ,0.09
000869.SZ,0.075
000877.SZ,0.173
000878.SZ,0.187
000883.SZ,0.166
000887.SZ,0.129
000930.SZ,0.188
000932.SZ,0.168
000937.SZ,0.073
000959.SZ,0.105
000960.SZ,0.193
000967.SZ,0.134
000970.SZ,0.175
000975.SZ,0.372
000980.SZ,0.057
000983.SZ,0.17
000987.SZ,0.128
000988.SZ,0.384
000990.SZ,0.068
000997.SZ,0.276
000998.SZ,0.342
000999.SZ,0.26
001872.SZ,0.034
002002.SZ,0.132
002004.SZ,0.194
002013.SZ,0.341
002019.SZ,0.315
002028.SZ,0.275
002030.SZ,0.288
002038.SZ,0.157
002048.SZ,0.204
002049.SZ,0.598
002051.SZ,0.084
002056.SZ,0.193
002064.SZ,0.166
002065.SZ,0.581
002074.SZ,0.415
002075.SZ,0.544
002078.SZ,0.297
002085.SZ,0.192
002092.SZ,0.184
002093.SZ,0.101
002110.SZ,0.204
002118.SZ,0.08
002127.SZ,0.536
002128.SZ,0.104
002129.SZ,0.656
002131.SZ,0.404
002152.SZ,0.36
002155.SZ,0.146
002174.SZ,0.227
002176.SZ,0.046
002180.SZ,0.365
002183.SZ,0.144
002191.SZ,0.181
002195.SZ,0.314
002203.SZ,0.124
002212.SZ,0.335
002217.SZ,0.233
002221.SZ,0.251
002223.SZ,0.477
002233.SZ,0.218
002242.SZ,0.22
002244.SZ,0.125
002249.SZ,0.117
002250.SZ,0.285
002266.SZ,0.135
002268.SZ,0.303
002273.SZ,0.406
002280.SZ,0.072
002281.SZ,0.276
002285.SZ,0.079
002302.SZ,0.112
002317.SZ,0.175
002340.SZ,0.44
002353.SZ,0.273
002358.SZ,0.071
002366.SZ,0.052
002368.SZ,0.222
002371.SZ,0.853
002372.SZ,0.175
002373.SZ,0.396
002375.SZ,0.159
002382.SZ,0.142
002384.SZ,0.682
002385.SZ,0.521
002387.SZ,0.228
002390.SZ,0.122
002399.SZ,0.189
002407.SZ,0.164
002408.SZ,0.119
002414.SZ,0.35
002416.SZ,0.09
002419.SZ,0.1
002423.SZ,0.036
002424.SZ,0.08
002426.SZ,0.119
002434.SZ,0.11
002437.SZ,0.074
002439.SZ,0.591
002440.SZ,0.147
002444.SZ,0.12
002463.SZ,0.741
002465.SZ,0.51
002470.SZ,0.101
002482.SZ,0.06
002491.SZ,0.094
002500.SZ,0.275
002503.SZ,0.11
002505.SZ,0.158
002507.SZ,0.42
002544.SZ,0.109
002572.SZ,0.275
002573.SZ,0.083
002583.SZ,0.138
002589.SZ,0.142
002603.SZ,0.317
002625.SZ,0.078
002635.SZ,0.151
002640.SZ,0.1
002653.SZ,0.074
002665.SZ,0.126
002670.SZ,0.193
002672.SZ,0.092
002681.SZ,0.051
002690.SZ,0.26
002701.SZ,0.131
002709.SZ,0.172
002745.SZ,0.101
002797.SZ,0.334
002807.SZ,0.206
002812.SZ,0.504
002815.SZ,0.143
