date,600005,002018,002070,600832,600270,600401,600432,600485,600614,600634,600680,600687,600701,600747,600074,600146,000024,000038,000418,000511,000562,000670,000693
2006-01-04,2.72,6.92,,12.53,,2.54,10.49,5.06,,4.82,6.8,4.88,,,2.92,,12.2,5.63,,3.72,4.02,2.23,4.71
2006-01-05,2.74,6.98,,12.8,,2.55,10.52,5.46,,4.84,6.79,4.92,,,2.96,,12.34,5.74,,3.86,4.03,2.26,4.89
2006-01-06,2.79,6.98,,12.81,,2.61,10.5,5.5,,4.9,6.88,4.95,,,2.97,,,5.84,,3.86,4.11,2.32,4.86
2006-01-09,2.8,7.16,,12.88,,2.6,10.79,5.46,,5.02,6.89,5.02,,,2.97,,,5.93,,3.93,4.18,2.38,4.93
2006-01-10,2.77,7.1,,12.78,,2.62,10.93,5.49,,5.02,7.09,5.0,,,2.97,,,5.92,,4.03,4.18,2.36,4.87
2006-01-11,2.77,6.94,,13.4,,2.54,11.48,5.29,,5.2,6.85,4.92,,,2.92,,,5.81,,3.96,4.17,2.34,4.74
2006-01-12,2.78,7.11,,13.4,,2.59,11.57,5.41,,5.21,7.03,5.07,,,3.03,,,5.92,,4.08,4.26,2.38,5.21
2006-01-13,2.75,7.11,,13.22,,2.62,11.67,5.55,,5.17,6.95,5.07,,,3.06,,,6.07,,4.06,4.33,2.37,5.05
2006-01-16,2.7,7.2,,12.69,,2.59,11.77,5.59,,5.05,6.67,5.05,,,2.98,,,5.87,,3.92,4.14,2.32,5.03
2006-01-17,2.72,7.29,,12.52,,2.55,11.39,6.05,,5.07,6.7,4.98,,,2.97,,,5.79,,3.9,4.13,2.36,5.11
2006-01-18,2.73,7.43,,12.77,,2.61,11.85,6.1,,5.22,6.87,5.11,,,3.05,,,5.94,,3.93,4.25,2.49,5.32
2006-01-19,2.83,7.3,,12.61,,2.58,12.58,6.3,,5.39,7.09,5.13,,,3.07,,,5.92,,3.91,4.27,2.47,5.31
2006-01-20,2.79,7.31,,12.6,,2.6,13.54,6.85,,5.74,7.18,5.08,,,3.05,,,5.79,,3.9,4.26,2.52,5.27
2006-01-23,2.82,7.17,,12.63,,2.56,,7.02,,5.69,7.9,5.07,,,3.06,,,5.62,,4.0,4.26,2.64,5.05
2006-01-24,2.8,7.13,,12.92,,2.52,,7.11,,5.54,8.46,5.2,,,3.13,,,5.65,,4.04,4.32,2.56,4.95
2006-01-25,2.81,6.89,,13.12,,2.55,,6.95,,5.32,8.41,5.1,,,,,,5.65,,4.02,4.28,2.45,4.65
2006-02-06,2.89,7.1,,13.12,,2.6,,6.98,,5.46,8.41,5.23,,,3.29,,,5.72,,4.17,4.38,2.48,4.73
2006-02-07,2.85,7.06,,13.54,,2.59,,7.07,,5.25,8.15,5.2,,,3.37,,,5.75,,4.08,4.61,2.57,4.91
