date,000562,000693
2001-01-02,,22.43
2001-01-03,,23.11
2001-01-04,,23.01
2001-01-05,,24.52
2001-01-08,,23.84
2001-01-09,,23.58
2001-01-10,,23.75
2001-01-11,,23.08
2001-01-12,,23.0
2001-01-15,,22.42
2001-01-16,,22.57
2001-01-17,,22.66
2001-01-18,,22.78
2001-01-19,,22.97
2001-02-05,,22.4
2001-02-06,,21.74
2001-02-07,,21.74
2001-02-08,,20.35
2001-02-09,,20.89
2001-02-12,,20.41
2001-02-13,,20.35
2001-02-14,,20.3
2001-02-16,,20.24
2001-02-19,,20.32
2001-02-20,,20.0
2001-02-21,,19.67
2001-02-22,,19.49
2001-02-23,,19.39
2001-02-26,,19.69
2001-02-27,,19.4
2001-02-28,,19.89
2001-03-01,,19.99
2001-03-02,,20.2
2001-03-05,,19.9
2001-03-06,,19.91
2001-03-07,,19.88
2001-03-08,,20.27
2001-03-09,,20.99
2001-03-12,,20.68
2001-03-13,,20.18
2001-03-14,,20.3
2001-03-15,,20.11
2001-03-16,,20.21
2001-03-19,,19.99
2001-03-20,,20.32
2001-03-21,,20.59
2001-03-22,,20.85
2001-03-23,,20.31
2001-03-26,,20.59
2001-03-27,,20.96
2001-03-28,,20.97
2001-03-29,,20.68
2001-04-02,,21.0
2001-04-03,,21.3
2001-04-04,,20.67
2001-04-05,,20.92
2001-04-06,,20.97
2001-04-09,,20.95
2001-04-10,,21.32
2001-04-11,,21.87
2001-04-12,,23.05
2001-04-13,,23.48
2001-04-16,,25.07
2001-04-17,,25.69
2001-04-18,,24.81
2001-04-19,,25.88
2001-04-20,,24.48
2001-04-23,,24.81
2001-04-24,,24.56
2001-04-25,,23.17
2001-04-26,,23.49
2001-04-27,,23.58
2001-04-30,,23.72
2001-05-08,,23.74
2001-05-09,,22.94
2001-05-10,,22.97
2001-05-11,,23.29
2001-05-14,,24.08
2001-05-15,,24.16
2001-05-16,,24.61
2001-05-17,,24.44
2001-05-18,,24.19
2001-05-21,,23.69
2001-05-22,,24.0
2001-05-23,,23.43
2001-05-24,,23.79
2001-05-25,,23.88
2001-05-28,,23.69
2001-05-30,,24.37
2001-05-31,,24.29
2001-06-01,,23.79
2001-06-04,,23.32
2001-06-05,,23.46
2001-06-06,,23.22
2001-06-07,,23.07
2001-06-08,,23.44
2001-06-11,,23.3
2001-06-12,,23.42
2001-06-13,,24.08
2001-06-14,14.55,23.63
2001-06-15,14.5,23.46
2001-06-18,14.46,23.08
2001-06-19,14.55,23.14
2001-06-20,14.48,23.03
2001-06-21,14.45,23.44
2001-06-22,14.55,24.28
2001-06-25,14.73,24.3
2001-06-26,,24.15
2001-06-27,14.81,23.75
2001-06-28,14.82,23.75
2001-06-29,14.76,
2001-07-02,14.57,23.89
2001-07-03,14.58,24.09
2001-07-04,14.6,24.85
2001-07-05,14.66,24.76
2001-07-06,14.51,24.31
2001-07-09,14.44,24.22
2001-07-10,14.57,24.38
2001-07-11,14.68,23.84
2001-07-12,14.46,24.45
2001-07-13,14.81,25.19
2001-07-16,14.84,25.44
2001-07-17,15.07,26.2
2001-07-18,15.46,25.87
2001-07-19,15.62,25.36
2001-07-20,15.63,25.95
2001-07-23,15.88,25.81
2001-07-24,15.37,23.85
2001-07-25,15.39,23.6
2001-07-26,15.1,23.4
2001-07-27,14.95,22.02
2001-07-30,14.12,20.8
2001-07-31,13.86,21.11
2001-08-01,14.33,21.8
2001-08-02,14.06,21.0
2001-08-03,14.11,21.0
2001-08-06,13.5,20.0
2001-08-07,13.81,20.63
2001-08-08,13.75,20.54
2001-08-09,13.98,20.78
2001-08-10,13.91,21.3
2001-08-13,13.77,21.21
2001-08-14,13.68,20.76
2001-08-15,13.77,20.9
2001-08-16,13.55,20.49
2001-08-17,13.54,20.66
2001-08-20,13.52,21.17
2001-08-21,13.62,21.25
2001-08-22,13.17,20.54
2001-08-23,12.91,20.63
2001-08-24,12.67,20.28
2001-08-27,11.85,19.9
2001-08-28,12.03,20.43
2001-08-29,12.0,20.83
2001-08-30,11.93,20.42
2001-08-31,11.91,20.5
2001-09-03,11.73,20.81
2001-09-04,12.06,21.72
2001-09-05,11.99,21.52
2001-09-06,11.98,21.4
2001-09-07,11.4,20.45
2001-09-10,11.77,21.47
2001-09-11,11.94,21.38
2001-09-12,11.79,20.86
2001-09-13,11.88,20.86
2001-09-14,11.66,20.61
2001-09-17,11.42,20.43
2001-09-18,11.57,20.73
2001-09-19,12.25,21.18
2001-09-20,11.99,20.65
2001-09-21,11.92,20.47
2001-09-24,11.66,20.51
2001-09-25,11.71,20.33
2001-09-26,11.57,20.16
2001-09-27,11.46,19.53
2001-09-28,11.61,19.68
2001-10-08,11.16,19.37
2001-10-09,11.4,19.46
2001-10-10,10.59,18.07
2001-10-11,10.23,17.5
2001-10-12,10.69,18.0
2001-10-15,10.7,17.77
2001-10-16,10.29,17.66
2001-10-17,10.3,17.42
2001-10-18,10.3,16.85
2001-10-19,9.88,15.46
2001-10-22,9.49,15.19
2001-10-23,10.44,16.71
2001-10-24,10.73,17.79
2001-10-25,10.17,17.4
2001-10-26,10.33,17.08
2001-10-29,10.52,17.24
2001-10-30,10.27,16.88
2001-10-31,10.42,16.94
2001-11-01,10.5,17.63
2001-11-02,10.15,18.27
2001-11-05,10.05,18.39
2001-11-06,10.07,18.46
2001-11-07,9.58,17.22
2001-11-08,9.62,18.49
2001-11-09,9.81,19.19
2001-11-12,9.68,18.75
2001-11-13,9.59,18.5
2001-11-14,9.59,18.5
2001-11-15,9.5,18.59
2001-11-16,9.99,18.67
2001-11-19,10.12,19.23
2001-11-20,10.38,19.38
2001-11-21,10.75,19.76
2001-11-22,10.8,19.63
2001-11-23,10.7,19.4
2001-11-26,10.57,19.63
2001-11-27,10.68,19.92
2001-11-28,11.16,20.02
2001-11-29,11.1,19.9
2001-11-30,11.25,19.75
2001-12-03,11.29,19.79
2001-12-04,11.34,19.76
2001-12-05,10.96,19.05
2001-12-06,11.04,19.2
2001-12-07,11.01,19.11
2001-12-10,11.09,19.09
2001-12-11,10.89,19.0
2001-12-12,10.88,18.58
2001-12-13,10.55,18.1
2001-12-14,10.53,18.16
2001-12-17,10.31,17.89
2001-12-18,,18.47
2001-12-19,10.5,18.49
2001-12-20,10.28,18.0
2001-12-21,10.3,18.42
2001-12-24,9.95,18.48
2001-12-25,10.03,18.82
2001-12-26,10.14,18.89
2001-12-27,10.06,18.77
2001-12-28,10.07,18.72
2001-12-31,10.31,18.5
