date,000693
1999-01-04,15.39
1999-01-05,15.23
1999-01-06,15.36
1999-01-07,15.01
1999-01-08,15.12
1999-01-11,15.25
1999-01-12,15.5
1999-01-13,15.83
1999-01-14,15.75
1999-01-15,15.75
1999-01-18,15.32
1999-01-19,15.3
1999-01-20,15.1
1999-01-21,15.0
1999-01-22,14.8
1999-01-25,14.3
1999-01-26,14.97
1999-01-27,14.65
1999-01-28,14.78
1999-01-29,14.3
1999-02-01,14.26
1999-02-02,14.38
1999-02-03,13.9
1999-02-04,13.53
1999-02-05,13.5
1999-02-08,12.9
1999-02-09,13.3
1999-03-01,13.15
1999-03-02,13.11
1999-03-03,14.0
1999-03-04,13.75
1999-03-05,14.1
1999-03-08,14.35
1999-03-09,14.78
1999-03-10,15.1
1999-03-11,15.08
1999-03-12,15.24
1999-03-15,15.24
1999-03-16,14.9
1999-03-17,14.84
1999-03-18,14.65
1999-03-19,14.32
1999-03-22,14.21
1999-03-23,14.68
1999-03-24,14.4
1999-03-25,14.0
1999-03-26,13.46
1999-03-29,14.0
1999-03-30,14.6
1999-03-31,14.32
1999-04-01,13.5
1999-04-02,13.3
1999-04-05,12.53
1999-04-06,13.71
1999-04-07,13.82
1999-04-08,14.75
1999-04-09,15.6
1999-04-12,15.97
1999-04-13,16.85
1999-04-14,16.8
1999-04-15,16.48
1999-04-16,16.89
1999-04-19,17.75
1999-04-20,17.92
1999-04-21,17.09
1999-04-22,16.74
1999-04-23,17.4
1999-04-26,16.97
1999-04-27,16.23
1999-04-28,16.35
1999-04-29,16.58
1999-04-30,16.3
1999-05-04,16.13
1999-05-05,16.17
1999-05-06,16.18
1999-05-07,16.3
1999-05-10,15.51
1999-05-11,15.81
1999-05-12,15.82
1999-05-13,15.88
1999-05-14,16.24
1999-05-17,15.96
1999-05-18,15.91
1999-05-19,16.94
1999-05-20,17.38
1999-05-21,17.36
1999-05-24,19.1
1999-05-25,21.01
1999-05-26,23.11
1999-05-27,25.42
1999-05-28,25.42
1999-05-31,24.61
1999-06-01,24.3
1999-06-02,26.73
1999-06-03,28.61
1999-06-04,29.54
1999-06-07,28.42
1999-06-08,28.21
1999-06-09,30.86
1999-06-10,29.18
1999-06-11,27.69
1999-06-14,26.79
1999-06-15,26.64
1999-06-16,26.52
1999-06-17,26.94
1999-06-18,27.86
1999-06-21,26.97
1999-06-22,25.39
1999-06-23,26.35
1999-06-24,25.91
1999-06-25,25.4
1999-06-28,26.72
1999-06-29,27.3
1999-06-30,24.57
1999-07-01,22.11
1999-07-02,20.06
1999-07-05,18.44
1999-07-06,18.99
1999-07-07,19.83
1999-07-08,19.19
1999-07-09,18.5
1999-07-12,17.31
1999-07-13,17.79
1999-07-14,19.57
1999-07-15,20.25
1999-07-16,19.01
1999-07-19,20.91
1999-07-20,22.14
1999-07-21,22.6
1999-07-22,21.83
1999-07-23,21.72
1999-07-26,22.92
1999-07-27,22.24
1999-07-28,22.23
1999-07-29,21.36
1999-07-30,20.9
1999-08-02,20.94
1999-08-03,20.8
1999-08-04,22.76
1999-08-05,22.02
1999-08-06,22.43
1999-08-09,21.56
1999-08-10,20.8
1999-08-11,20.86
1999-08-12,20.87
1999-08-13,20.85
1999-08-16,19.85
1999-08-17,20.07
1999-08-18,20.09
1999-08-19,21.4
1999-08-20,21.32
1999-08-23,20.93
1999-08-24,21.12
1999-08-25,20.86
1999-08-26,20.86
1999-08-27,21.12
1999-08-30,20.77
1999-08-31,20.89
1999-09-01,20.24
1999-09-02,20.4
1999-09-03,20.08
1999-09-06,19.68
1999-09-07,19.6
1999-09-08,19.8
1999-09-09,21.78
1999-09-10,21.58
1999-09-13,21.49
1999-09-14,21.24
1999-09-15,21.24
1999-09-16,20.8
1999-09-17,21.01
1999-09-20,20.6
1999-09-21,20.75
1999-09-22,20.82
1999-09-23,20.62
1999-09-24,20.7
1999-09-27,20.7
1999-09-28,20.39
1999-09-29,20.34
1999-09-30,19.97
1999-10-08,19.66
1999-10-11,19.75
1999-10-12,19.85
1999-10-13,19.38
1999-10-14,19.16
1999-10-15,19.69
1999-10-18,18.8
1999-10-19,18.1
1999-10-20,18.2
1999-10-21,17.83
1999-10-22,18.93
1999-10-25,18.13
1999-10-26,18.71
1999-10-27,19.4
1999-10-28,19.1
1999-10-29,18.73
1999-11-01,18.29
1999-11-02,18.25
1999-11-03,18.64
1999-11-04,18.22
1999-11-05,18.1
1999-11-08,17.96
1999-11-09,17.88
1999-11-10,17.64
1999-11-11,17.36
1999-11-12,17.41
1999-11-15,17.48
1999-11-16,16.99
1999-11-17,17.51
1999-11-18,17.9
1999-11-19,17.43
1999-11-22,17.57
1999-11-23,17.8
1999-11-24,17.41
1999-11-25,17.3
1999-11-26,17.19
1999-11-29,17.28
1999-11-30,17.33
1999-12-01,17.61
1999-12-02,17.28
1999-12-03,17.35
1999-12-06,17.51
1999-12-07,18.25
1999-12-08,17.89
1999-12-09,18.23
1999-12-10,18.69
1999-12-13,18.26
1999-12-14,18.11
1999-12-15,18.64
1999-12-16,18.51
1999-12-17,17.9
1999-12-21,17.54
1999-12-22,17.6
1999-12-23,17.48
1999-12-24,17.15
1999-12-27,17.22
1999-12-28,17.29
1999-12-29,17.45
1999-12-30,17.41
