date,600005,002018,600832,600401,600432,600485,600634,600680,600687,600074,000024,000038,000511,000562,000670,000693
2005-01-04,3.87,,15.24,6.99,10.33,9.2,4.53,,,4.65,7.62,8.59,4.62,4.68,3.81,10.24
2005-01-05,3.96,,15.79,7.02,10.22,9.42,4.98,,,4.72,7.9,8.82,4.72,4.78,3.89,10.54
2005-01-06,3.85,,15.81,7.0,9.86,9.16,4.95,,,4.73,8.04,8.72,4.73,4.83,3.83,10.53
2005-01-07,3.71,,15.62,7.0,9.89,9.13,5.13,,,4.8,8.26,8.75,4.81,4.95,3.89,10.52
2005-01-10,3.78,,15.84,7.0,10.0,9.1,5.18,,,4.83,8.24,8.8,4.87,5.02,3.86,10.63
2005-01-11,3.84,,15.62,7.03,10.05,9.02,5.14,,,4.8,8.25,8.8,4.84,4.93,3.85,10.53
2005-01-12,3.89,,15.49,6.99,10.1,8.96,5.04,,,4.78,8.15,8.68,4.82,4.85,3.83,10.4
2005-01-13,3.87,,15.42,6.94,10.0,9.11,5.54,,,4.76,8.15,9.05,4.87,4.91,3.82,10.53
2005-01-14,3.89,,15.24,6.9,9.77,9.06,5.68,,,4.67,8.06,8.98,4.77,4.73,3.76,10.29
2005-01-17,3.84,,14.92,6.7,9.35,8.65,6.25,,,4.53,8.06,9.24,4.68,4.34,3.62,10.12
2005-01-18,3.93,,15.35,6.59,9.58,8.75,6.19,,,4.56,8.08,9.3,4.76,4.41,3.69,10.35
2005-01-19,3.92,,15.16,6.57,9.45,8.58,5.82,,,4.59,7.99,9.06,4.75,4.34,3.63,10.15
2005-01-20,3.93,,14.81,6.58,9.28,8.11,5.93,,,4.5,8.0,8.69,4.68,4.22,3.66,10.16
2005-01-21,4.13,,14.88,6.61,9.61,8.38,5.56,,,4.6,8.32,8.67,4.82,4.47,3.74,9.82
2005-01-24,4.16,,15.08,6.82,9.84,8.65,5.69,,,4.72,8.53,8.95,4.92,4.65,3.9,10.11
2005-01-25,4.14,,15.24,6.8,9.98,8.44,5.93,,,4.69,8.51,8.89,4.9,4.58,3.8,9.81
2005-01-26,4.12,,14.79,6.81,9.94,8.51,5.68,,,4.7,8.53,8.7,4.97,4.52,3.8,9.56
2005-01-27,4.1,,14.19,6.72,9.73,8.43,5.35,,,4.66,8.4,8.31,5.06,4.39,3.63,9.18
2005-01-28,4.12,,14.15,6.8,9.88,8.44,4.99,,,4.42,8.39,8.29,4.92,4.22,3.58,9.06
2005-01-31,4.2,,13.7,6.72,9.57,8.25,5.08,,,4.32,8.32,7.46,4.93,3.8,3.22,8.15
2005-02-01,4.32,,13.68,6.76,9.45,8.39,5.14,,,4.24,8.3,6.71,4.72,3.65,2.92,7.34
2005-02-02,4.6,,14.6,7.0,10.39,8.78,5.45,,,4.54,8.6,7.14,5.04,3.88,3.06,7.68
2005-02-03,4.46,,14.05,7.08,10.28,8.58,5.22,,,4.38,8.7,6.77,5.12,3.8,2.93,6.91
2005-02-04,4.68,,14.38,7.19,10.44,8.6,5.29,,,4.58,9.01,6.86,5.17,3.88,2.93,6.71
2005-02-16,4.8,,14.36,7.25,10.44,8.72,5.39,,,4.67,9.08,7.06,5.12,3.91,3.12,7.12
2005-02-17,4.77,,14.59,7.26,10.4,8.67,5.48,,,4.58,8.97,7.25,5.19,3.93,3.12,7.37
2005-02-18,4.54,,14.3,7.21,10.25,8.48,5.29,,,4.48,8.73,7.15,5.04,3.92,3.17,7.17
2005-02-21,4.72,,14.5,7.46,10.65,8.77,5.33,,,4.65,9.23,7.24,5.12,3.97,3.23,7.31
2005-02-22,4.75,,14.93,7.6,10.89,9.15,5.71,,,4.79,9.21,7.69,5.23,4.06,3.33,8.04
2005-02-23,4.58,,14.96,7.56,10.9,9.41,5.98,,,4.75,9.22,7.84,5.2,4.07,3.31,8.57
2005-02-24,4.56,,15.1,7.8,11.03,9.38,5.88,,,4.85,9.05,7.73,5.2,4.14,3.31,8.66
2005-02-25,4.56,,15.03,7.64,11.01,9.4,5.87,,,4.78,9.04,7.74,5.17,4.08,3.29,8.86
2005-02-28,4.48,,14.97,7.47,11.23,9.45,5.96,,,4.68,8.75,7.65,5.13,4.01,3.28,8.76
2005-03-01,4.5,,14.98,7.66,11.01,9.55,5.71,,,4.7,8.7,7.71,5.15,4.02,3.35,8.64
2005-03-02,4.24,,14.76,7.4,10.68,9.8,5.5,,,4.65,8.64,7.53,5.0,4.12,3.27,8.41
2005-03-03,4.37,,14.93,7.41,10.73,9.18,5.56,,,4.51,8.8,7.58,5.04,4.16,3.25,8.53
2005-03-04,4.36,,15.02,7.3,10.74,8.58,5.48,,,4.51,8.76,7.43,5.11,4.05,3.19,8.31
2005-03-07,4.44,,15.25,7.45,11.1,8.18,5.36,,,4.53,8.78,7.44,5.13,4.05,3.21,8.3
2005-03-08,4.56,,15.38,7.67,11.39,8.2,5.52,,,4.65,8.96,7.6,5.23,4.11,3.19,8.7
2005-03-09,4.54,,15.44,7.5,11.39,8.42,5.74,,,4.65,8.76,7.78,5.14,4.1,3.32,8.8
2005-03-10,4.35,,14.97,7.26,10.95,8.3,5.55,,,4.53,8.45,7.47,4.97,3.9,3.2,8.47
2005-03-11,4.26,,15.01,7.35,11.68,8.35,5.5,,,4.53,8.35,7.48,4.93,3.86,3.16,8.48
2005-03-14,4.3,,14.98,7.39,11.99,8.16,5.48,,,4.28,8.43,7.38,,3.78,3.04,8.26
2005-03-15,4.3,,14.97,7.21,11.77,7.41,5.65,,,4.16,8.18,7.22,4.73,3.84,3.13,8.0
2005-03-16,4.11,,15.37,7.25,11.67,7.01,5.57,,,4.09,8.09,7.19,4.77,3.75,3.08,8.12
2005-03-17,4.02,,15.36,7.18,11.5,7.38,5.01,,,4.11,7.88,7.02,4.34,3.81,3.08,8.1
2005-03-18,4.06,,14.48,7.1,11.1,7.09,4.72,,,4.07,7.98,6.71,4.28,3.72,3.04,7.4
2005-03-21,4.11,,14.21,6.99,11.27,6.92,4.57,,,4.09,8.03,6.78,4.26,3.5,2.97,7.47
2005-03-22,4.05,,14.08,6.8,11.0,6.57,4.31,,,3.76,7.94,6.42,4.04,3.32,2.67,7.03
2005-03-23,3.95,,14.13,6.87,11.32,6.69,4.42,,,3.77,7.95,6.5,4.07,3.3,2.7,7.18
2005-03-24,4.05,,14.19,6.91,11.57,6.85,4.61,,,3.84,8.04,6.62,4.16,3.35,2.78,7.75
2005-03-25,4.09,,13.98,6.91,11.4,6.64,4.51,,,3.8,7.97,6.59,4.07,3.28,2.73,7.6
2005-03-28,4.07,,13.6,6.9,11.37,6.57,4.42,,,3.7,7.88,6.37,3.97,3.19,2.71,7.58
