date,open,high,low,close
2014-12-01,6477.995,6477.995,6360.929,6392.464
2014-12-02,6385.949,6466.689,6382.65,6457.556
2014-12-03,6465.46,6514.307,6393.726,6513.957
2014-12-04,6517.677,6608.226,6515.225,6605.322
2014-12-05,6612.186,6612.186,6294.194,6462.089
2014-12-08,6445.512,6494.321,6390.902,6457.511
2014-12-09,6435.574,6435.675,6153.779,6161.367
2014-12-10,6137.272,6367.07,6111.762,6366.81
2014-12-11,6361.339,6463.716,6335.855,6463.316
2014-12-12,6469.268,6549.42,6455.974,6545.19
2014-12-15,6528.867,6664.252,6510.357,6658.145
2014-12-16,6663.473,6678.409,6590.841,6635.255
2014-12-17,6613.966,6613.966,6494.305,6551.119
2014-12-18,6538.885,6581.062,6529.341,6540.881
2014-12-19,6524.554,6524.759,6346.303,6438.042
2014-12-22,6406.507,6406.552,6097.914,6120.582
2014-12-23,6087.268,6153.647,6012.568,6023.366
2014-12-24,6045.09,6155.291,6045.09,6154.878
2014-12-25,6166.467,6222.655,6159.037,6222.506
2014-12-26,6218.913,6233.964,6196.217,6233.936
2014-12-29,6222.939,6222.939,6068.545,6098.979
2014-12-30,6083.956,6088.871,5967.82,5982.636
2014-12-31,5981.124,6027.52,5945.722,6027.52
2015-01-05,6025.747,6052.442,5948.272,6049.787
2015-01-06,6021.449,6172.644,5986.401,6172.392
2015-01-07,6161.482,6171.146,6118.14,6166.769
2015-01-08,6161.553,6211.46,6126.966,6164.111
2015-01-09,6148.109,6214.288,6128.012,6128.012
2015-01-12,6098.815,6102.437,6033.711,6062.283
2015-01-13,6059.381,6167.353,6058.596,6167.117
2015-01-14,6167.746,6170.906,6114.237,6139.29
2015-01-15,6136.556,6177.052,6136.1,6168.658
2015-01-16,6172.959,6252.143,6169.052,6252.075
2015-01-19,6133.545,6296.612,6033.878,6109.285
2015-01-20,6135.607,6336.711,6135.607,6336.631
2015-01-21,6358.017,6465.832,6357.682,6465.733
2015-01-22,6472.166,6569.902,6466.646,6568.636
2015-01-23,6576.98,6577.377,6481.212,6502.067
2015-01-26,6508.733,6642.719,6508.087,6642.612
2015-01-27,6652.205,6694.818,6582.438,6693.806
2015-01-28,6680.081,6725.665,6649.187,6666.264
2015-01-29,6620.23,6661.728,6594.445,6625.005
2015-01-30,6629.278,6655.605,6546.138,6546.597
2015-02-02,6485.155,6567.402,6449.567,6535.903
2015-02-03,6547.753,6661.892,6547.621,6654.549
2015-02-04,6665.879,6692.315,6645.191,6653.338
2015-02-05,6685.76,6729.51,6649.217,6654.082
2015-02-06,6637.537,6658.952,6503.594,6526.949
2015-02-09,6508.376,6541.719,6458.177,6474.817
2015-02-10,6468.519,6556.067,6458.43,6555.818
2015-02-11,6563.873,6645.978,6563.734,6645.51
2015-02-12,6652.564,6707.653,6652.473,6703.815
2015-02-13,6732.302,6824.594,6731.719,6815.848
2015-02-16,6831.259,6965.463,6831.085,6965.301
2015-02-17,6987.392,7020.201,6948.218,7020.053
2015-02-25,7037.96,7060.066,6984.165,7004.665
2015-02-26,7001.178,7045.527,6967.939,7045.268
2015-02-27,7045.792,7142.26,7042.144,7141.888
2015-03-02,7187.527,7317.873,7172.745,7317.677
2015-03-03,7306.437,7386.821,7272.462,7282.108
2015-03-04,7277.542,7411.267,7277.542,7411.034
2015-03-05,7417.531,7451.24,7375.111,7450.906
2015-03-06,7454.922,7467.427,7330.45,7338.404
2015-03-09,7314.931,7450.816,7284.734,7450.816
2015-03-10,7460.611,7577.374,7458.682,7566.481
2015-03-11,7573.262,7573.745,7538.486,7566.312
2015-03-12,7566.489,7592.534,7455.081,7514.445
2015-03-13,7530.209,7649.757,7530.209,7649.345
2015-03-16,7707.401,7903.623,7706.947,7903.363
2015-03-17,7946.126,8031.466,7896.748,7993.243
2015-03-18,7992.921,8150.963,7968.122,8150.951
2015-03-19,8149.478,8217.376,8103.787,8216.624
2015-03-20,8216.303,8336.827,8213.724,8318.829
2015-03-23,8360.92,8560.765,8360.92,8560.441
2015-03-24,8593.783,8665.249,8319.356,8655.38
