date,open,high,low,close
2014-12-01,2825.611,2855.332,2808.653,2819.812
2014-12-02,2807.338,2944.506,2804.293,2923.94
2014-12-03,2936.124,3028.225,2912.246,2967.549
2014-12-04,2975.403,3104.89,2968.876,3104.351
2014-12-05,3143.968,3195.798,3011.936,3124.885
2014-12-08,3108.272,3270.881,3075.7,3252.881
2014-12-09,3233.097,3387.827,3074.516,3106.913
2014-12-10,3120.212,3229.047,3058.191,3221.546
2014-12-11,3185.161,3254.424,3158.443,3183.012
2014-12-12,3182.923,3239.447,3167.928,3193.227
2014-12-15,3176.829,3226.221,3143.297,3217.228
2014-12-16,3221.358,3303.402,3207.688,3303.402
2014-12-17,3325.82,3368.194,3275.736,3360.598
2014-12-18,3359.09,3393.711,3322.229,3345.927
2014-12-19,3345.629,3397.183,3280.916,3383.167
2014-12-22,3396.251,3455.207,3357.661,3394.481
2014-12-23,3358.798,3431.779,3316.913,3324.924
2014-12-24,3332.146,3340.357,3188.495,3230.385
2014-12-25,3254.48,3335.779,3226.322,3335.419
2014-12-26,3343.64,3453.338,3335.012,3445.839
2014-12-29,3502.183,3524.28,3405.836,3455.455
2014-12-30,3450.814,3491.826,3422.174,3457.554
2014-12-31,3462.389,3542.34,3452.498,3533.705
2015-01-05,3566.089,3669.042,3551.51,3641.541
2015-01-06,3608.428,3683.226,3587.231,3641.059
2015-01-07,3620.924,3671.19,3601.698,3643.79
2015-01-08,3650.073,3659.945,3552.1,3559.259
2015-01-09,3547.574,3689.753,3536.395,3546.723
2015-01-12,3531.515,3560.527,3461.322,3513.576
2015-01-13,3506.451,3550.158,3494.768,3514.04
2015-01-14,3522.907,3547.242,3471.56,3502.423
2015-01-15,3501.719,3604.121,3482.27,3604.121
2015-01-16,3616.248,3662.158,3601.258,3635.146
2015-01-19,3414.013,3497.252,3330.981,3355.155
2015-01-20,3336.793,3419.204,3325.681,3396.222
2015-01-21,3420.491,3557.794,3409.43,3548.885
2015-01-22,3551.052,3576.756,3520.053,3567.613
2015-01-23,3582.088,3627.806,3548.626,3571.732
2015-01-26,3580.118,3611.617,3559.376,3607.985
2015-01-27,3614.038,3616.258,3510.017,3574.931
2015-01-28,3547.239,3583.312,3512.393,3525.323
2015-01-29,3474.915,3505.582,3453.901,3481.798
2015-01-30,3496.885,3514.217,3431.936,3434.39
2015-02-02,3360.193,3407.256,3347.085,3353.96
2015-02-03,3388.602,3441.709,3360.717,3437.445
2015-02-04,3446.144,3476.817,3399.565,3401.768
2015-02-05,3487.951,3487.951,3366.862,3366.946
2015-02-06,3352.33,3374.051,3285.935,3312.42
2015-02-09,3305.734,3376.526,3298.597,3345.921
2015-02-10,3345.077,3407.18,3339.548,3406.943
2015-02-11,3415.977,3445.655,3412.136,3434.124
2015-02-12,3435.361,3453.582,3405.627,3442.874
2015-02-13,3458.827,3509.505,3452.079,3469.828
2015-02-16,3473.289,3504.475,3466.607,3499.483
2015-02-17,3511.544,3536.82,3511.093,3522.322
2015-02-25,3529.55,3529.55,3463.955,3478.729
2015-02-26,3473.713,3569.33,3456.871,3566.295
2015-02-27,3565.233,3594.813,3560.455,3572.843
2015-03-02,3603.452,3608.691,3566.527,3601.265
2015-03-03,3579.315,3579.315,3504.201,3507.9
2015-03-04,3514.667,3540.912,3497.172,3530.822
2015-03-05,3513.249,3517.083,3467.676,3496.344
2015-03-06,3501.184,3516.243,3472.392,3478.52
2015-03-09,3449.696,3546.705,3417.486,3537.75
2015-03-10,3523.64,3551.205,3511.985,3520.611
2015-03-11,3524.575,3568.916,3512.218,3524.653
2015-03-12,3557.686,3603.341,3536.534,3592.844
2015-03-13,3604.671,3641.392,3594.742,3617.657
2015-03-16,3641.773,3705.739,3621.119,3705.671
2015-03-17,3733.961,3762.575,3716.809,3757.122
2015-03-18,3769.086,3846.055,3763.848,3846.055
2015-03-19,3851.249,3859.126,3809.706,3839.739
2015-03-20,3852.492,3916.863,3832.416,3892.574
2015-03-23,3923.083,3972.296,3922.21,3972.061
2015-03-24,3980.066,3989.858,3883.782,3973.046
2015-03-25,3961.578,3980.716,3913.988,3940.412
2015-03-26,3921.745,3991.997,3892.878,3949.999
2015-03-27,3957.542,3993.032,3932.87,3971.697
2015-03-30,3999.024,4101.651,3999.024,4088.178
2015-03-31,4138.885,4166.018,4037.771,4051.204
2015-04-01,4057.501,4139.499,4046.939,4123.895
2015-04-02,4149.946,4156.842,4068.649,4124.776
2015-04-03,4104.672,4170.558,4092.383,4170.538
2015-04-07,4213.894,4260.471,4197.019,4260.044
2015-04-08,4277.45,4304.78,4204.826,4295.803
2015-04-09,4316.958,4332.166,4212.611,4262.138
2015-04-10,4249.383,4351.687,4231.196,4344.416
2015-04-13,4394.047,4432.024,4361.589,4421.073
2015-04-14,4432.126,4474.353,4385.908,4438.184
2015-04-15,4439.314,4475.997,4379.609,4380.513
2015-04-16,4355.491,4513.765,4335.63,4513.546
2015-04-17,4578.679,4630.27,4553.904,4596.136
2015-04-20,4615.034,4671.168,4492.6,4521.919
2015-04-21,4520.461,4620.058,4504.558,4619.164
2015-04-22,4637.055,4740.933,4632.589,4739.814
2015-04-23,4764.481,4782.044,4693.967,4740.892
2015-04-24,4682.626,4730.43,4618.318,4702.641
2015-04-27,4753.871,4810.485,4735.31,4807.592
2015-04-28,4811.319,4839.078,4703.567,4741.861
2015-04-29,4722.903,4797.927,4695.793,4774.326
2015-04-30,4788.412,4818.725,4749.485,4749.886
2015-05-04,4757.637,4795.915,4699.398,4787.741
2015-05-05,4785.192,4785.192,4572.983,4596.837
2015-05-06,4626.231,4700.909,4511.761,4553.327
2015-05-07,4520.818,4546.338,4467.459,4470.089
2015-05-08,4515.554,4559.058,4445.592,4558.404
2015-05-11,4582.091,4690.954,4535.149,4690.532
2015-05-12,4692.122,4748.004,4660.016,4747.421
2015-05-13,4746.713,4758.002,4678.845,4718.436
2015-05-14,4717.955,4735.284,4670.168,4700.778
2015-05-15,4690.755,4690.755,4592.05,4617.47
2015-05-18,4582.058,4623.383,4565.061,4575.14
2015-05-19,4577.637,4740.005,4577.637,4731.222
2015-05-20,4751.572,4843.1,4745.21,4754.919
2015-05-21,4768.689,4841.615,4746.029,4840.976
2015-05-22,4895.925,4951.991,4870.598,4951.335
2015-05-25,4949.11,5099.839,4949.11,5099.495
2015-05-26,5140.798,5199.295,5063.146,5198.918
2015-05-27,5216.17,5226.844,5126.861,5181.434
2015-05-28,5174.101,5213.183,4831.329,4834.007
2015-05-29,4839.53,4924.303,4665.521,4840.829
2015-06-01,4862.756,5079.319,4835.774,5076.179
2015-06-02,5091.272,5162.556,5047.081,5161.87
2015-06-03,5176.597,5186.967,5059.495,5143.59
2015-06-04,5156.012,5194.233,4863.465,5181.416
2015-06-05,5254.905,5288.34,5104.178,5230.552
2015-06-08,5259.408,5370.609,5202.595,5353.751
2015-06-09,5379.47,5380.426,5251.208,5317.461
2015-06-10,5254.304,5374.83,5209.68,5309.112
2015-06-11,5305.141,5329.295,5248.163,5306.59
2015-06-12,5329.278,5351.648,5283.086,5335.115
2015-06-15,5354.014,5362.452,5207.308,5221.167
2015-06-16,5165.025,5204.303,5015.265,5064.821
2015-06-17,5072.306,5158.367,4949.293,5138.831
2015-06-18,5107.695,5121.218,4926.429,4930.549
2015-06-19,4847.057,4910.45,4634.691,4637.052
2015-06-23,4641.425,4786.955,4455.33,4786.091
2015-06-24,4811.595,4883.732,4744.306,4880.126
2015-06-25,4906.242,4919.263,4667.224,4706.516
2015-06-26,4573.872,4650.186,4278.675,4336.195
2015-06-29,4446.842,4451.166,4000.926,4191.549
2015-06-30,4161.067,4475.767,4016.013,4472.998
2015-07-01,4408.984,4526.127,4235.696,4253.021
2015-07-02,4287.734,4312.19,4000.061,4107.996
2015-07-03,4017.202,4164.629,3785.902,3885.917
2015-07-06,4218.266,4218.266,3832.468,3998.537
2015-07-07,3877.854,3960.636,3743.624,3928.003
2015-07-08,3651.06,3762.622,3612.254,3663.038
2015-07-09,3621.68,3930.264,3537.826,3897.626
2015-07-10,3916.272,4179.111,3887.551,4106.556
2015-07-13,4132.231,4278.161,4072.43,4211.812
2015-07-14,4178.63,4258.513,4062.5,4112.149
2015-07-15,4068.88,4114.243,3899.508,3966.759
2015-07-16,3949.639,4067.022,3856.321,3997.356
2015-07-17,4023.757,4190.186,4000.231,4151.496
2015-07-20,4157.06,4221.693,4106.389,4160.612
2015-07-21,4109.761,4201.482,4081.704,4166.006
2015-07-22,4148.56,4187.431,4094.712,4157.16
2015-07-23,4158.932,4262.062,4148.824,4250.805
2015-07-24,4255.198,4299.65,4154.617,4176.279
2015-07-27,4097.796,4156.313,3817.169,3818.731
2015-07-28,3690.974,3883.446,3627.421,3811.093
2015-07-29,3839.959,3934.003,3769.189,3930.379
2015-07-30,3915.78,3968.534,3802.882,3815.412
2015-07-31,3777.155,3863.624,3757.989,3816.699
2015-08-03,3766.072,3829.235,3742.578,3829.235
2015-08-04,3827.373,3948.449,3801.028,3948.155
2015-08-05,3937.623,3962.277,3858.66,3866.9
2015-08-06,3802.928,3888.693,3793.237,3831.852
2015-08-07,3866.43,3926.649,3857.908,3906.945
2015-08-10,3947.472,4101.731,3932.842,4084.365
2015-08-11,4083.589,4110.133,4042.004,4066.669
2015-08-12,4025.674,4078.03,4015.355,4016.126
2015-08-13,4010.013,4075.7,3967.821,4075.463
2015-08-14,4097.918,4113.159,4056.727,4073.54
2015-08-17,4058.113,4081.772,4009.99,4077.872
2015-08-18,4084.311,4103.054,3816.554,3825.412
2015-08-19,3748.266,3898.74,3668.192,3886.136
2015-08-20,3848.403,3880.824,3761.454,3761.454
2015-08-21,3714.289,3757.779,3578.175,3589.536
2015-08-24,3454.598,3468.149,3266.55,3275.534
2015-08-25,3070.007,3200.108,3019.556,3042.927
2015-08-26,3062.566,3192.932,2952.008,3025.692
2015-08-27,3092.812,3206.724,3028.398,3205.638
2015-08-28,3246.236,3353.244,3223.622,3342.286
2015-08-31,3307.396,3368.279,3205.537,3366.536
2015-09-01,3296.529,3370.504,3190.578,3362.083
2015-09-02,3220.851,3387.02,3213.637,3365.832
2015-09-07,3347.293,3422.225,3240.243,3250.485
2015-09-08,3221.789,3340.219,3170.807,3334.023
2015-09-09,3344.824,3426.651,3330.29,3399.305
2015-09-10,3349.281,3398.316,3337.311,3357.561
2015-09-11,3349.877,3383.134,3315.478,3347.188
2015-09-14,3367.642,3373.921,3187.566,3281.132
2015-09-15,3208.744,3240.079,3131.98,3152.232
2015-09-16,3149.158,3345.918,3131.37,3309.248
2015-09-17,3287.657,3354.905,3236.999,3236.999
2015-09-18,3254.443,3280.877,3227.834,3251.273
2015-09-21,3222.603,3312.55,3211.934,3308.247
2015-09-22,3312.366,3371.414,3303.184,3339.03
2015-09-23,3290.071,3315.935,3253.333,3263.028
2015-09-24,3278.896,3300.857,3255.902,3284.999
2015-09-25,3272.665,3290.858,3201.914,3231.951
2015-09-28,3226.607,3246.554,3186.507,3242.752
2015-09-29,3197.221,3208.417,3159.042,3178.854
2015-09-30,3195.901,3223.908,3186.767,3202.948
2015-10-08,3324.981,3337.331,3294.605,3296.482
2015-10-09,3302.36,3352.379,3293.965,3340.116
2015-10-12,3351.139,3486.631,3347.251,3447.693
2015-10-13,3422.477,3452.045,3413.967,3445.043
2015-10-14,3431.135,3458.702,3403.231,3406.112
2015-10-15,3403.389,3486.815,3402.316,3486.815
2015-10-16,3508.518,3537.539,3487.104,3534.065
2015-10-19,3548.953,3572.995,3502.505,3534.182
2015-10-20,3527.875,3577.798,3510.437,3577.703
2015-10-21,3580.838,3601.243,3417.412,3473.254
2015-10-22,3453.201,3530.766,3442.307,3524.534
2015-10-23,3536.843,3581.836,3515.822,3571.241
