报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2019-12-31,2020-04-22,,,,2,"10派2.00元(含税,扣税后1.80元)",0.00157480315,0.88,7.975795371667,6.041474844896,0.82877855375,88.878822922678,96000000,2020-04-22,2020-07-02,2020-07-03,实施分配,2020-06-29
2020-12-31,2021-04-22,,,,2,"10派2.00元(含税,扣税后1.80元)",0.001149425287,0.59,8.720803058958,6.397676636563,1.154206658125,-10.397964724149,96000000,2021-04-22,2021-05-26,2021-05-27,实施分配,2021-05-20
2021-12-31,2022-04-27,4.0,,4.0,5,"10转4.00派5.00元(含税,扣税后4.50元)",0.002943427327,0.53,10.260552441878,7.609516405452,1.427555215921,-9.424372413617,96438308,2022-04-22,2022-05-25,2022-05-26,实施分配,2022-05-20
2022-12-31,2023-04-20,,,,5,"10派5.00元(含税,扣税后4.50元)",0.004499640029,0.7,8.11881821905,5.599313575562,1.287040969175,85.823909256194,135672588,2023-04-20,2023-05-24,2023-05-25,实施分配,2023-05-19
2023-12-31,2024-04-23,,,,8,"10派8.00元(含税,扣税后7.20元)",0.007358351729,0.85,8.746667273445,5.881369930379,1.523677835592,21.107757149703,136579240,2024-04-23,2024-05-27,2024-05-28,实施分配,2024-05-21
2024-12-31,2025-04-25,,,,8,"10派8.00元(含税,扣税后7.20元)",0.00757002271,1.07,9.11675735114,5.99042180456,1.646710027853,27.015471706584,137395148,2025-04-25,2025-05-28,2025-05-29,实施分配,2025-05-23
2025-12-31,2026-04-22,,,,8,"10派8.00元(含税,扣税后7.20元)",0.009069266523,1.41,9.632977099661,5.906675051487,2.079587977574,32.283003636407,137748133,2026-04-22,2026-05-25,2026-05-26,实施分配,2026-05-20
