报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2007-12-31,2008-04-22,2.0,2.0,0.0,0.25,"10送2.00派0.25元(含税,扣税后0.025元)",0.000922509225,0.58,1.62,0.05627265775,0.497584727083,2.402497571279,160000000,2008-04-22,2008-06-11,2008-06-12,实施分配,2008-06-05
2008-12-31,2009-03-27,5.0,0.0,5.0,0.25,"10转5.00派0.25元(含税,扣税后0.225元)",0.000683994528,0.39,3.52,1.973694237604,0.465510918333,5.350016206554,192000000,2009-03-27,2009-05-04,2009-05-05,实施分配,2009-04-28
2009-12-31,2010-03-24,0.0,0.0,0.0,0.35,"10派0.35元(含税,扣税后0.315元)",0.001839201261,0.12,2.45,0.982462825069,0.396816376389,-54.353704001831,288000000,2010-03-24,2010-05-17,2010-05-18,实施分配,2010-05-11
2010-12-31,2011-03-25,5.0,0.0,5.0,0.5,"10转5.00派0.50元(含税,扣税后0.45元)",0.001984126984,0.33,2.74,0.982462825069,0.677318660174,188.734880318751,326500000,2011-03-25,2011-05-10,2011-05-11,实施分配,2011-05-04
2014-12-31,2015-04-21,,,,0.5,"10派0.50元(含税,扣税后0.45元)",0.002898550725,-0.01,2.865389995998,1.751495967065,0.080433564676,-240.97974192591,618171052,2015-04-21,2015-05-27,2015-05-28,实施分配,2015-05-20
2015-12-31,2016-04-23,,,,0.5,"10派0.50元(含税,扣税后0.45元)",0.004500450045,0.05,4.217949613047,3.128473560389,0.0643938898,677.63118989466,618171052,2016-04-23,2016-07-22,2016-07-25,实施分配,2016-07-18
2016-12-31,2017-03-21,10.0,0.0,10.0,0.5,"10转10.00派0.50元(含税,扣税后0.45元)",0.005040322581,0.21,4.373918599702,3.128473560389,0.222227574658,314.37507871421,618171052,2017-04-18,2017-07-05,2017-07-06,实施分配,2017-06-29
2017-12-31,2018-04-18,,,,0.3,"10派0.30元(含税,扣税后0.27元)",0.009900990099,0.13,2.288546123428,1.064236780195,0.213969773653,23.552987363821,1236342104,2018-04-18,2018-07-04,2018-07-05,实施分配,2018-06-27
2019-12-31,2020-04-23,,,,0.25,"10派0.25元(含税,扣税后0.225元)",0.006361323155,0.06,2.376554193644,1.064236780195,0.301525719357,-12.792365675291,1236342104,2020-04-23,2020-07-24,2020-07-27,实施分配,2020-07-18
2020-12-31,2021-10-26,,,,0.35,"10派0.35元(含税,扣税后0.315元)",0.004861111111,0.13,2.48015254269,1.064236780195,0.396631058882,134.328218101996,1413020549,2021-04-16,2021-12-16,2021-12-17,实施分配,2021-12-11
2021-12-31,2022-04-22,,,,0.35,"10派0.35元(含税,扣税后0.315元)",0.005785123967,0.138,2.975174919024,1.501729521161,0.444872665359,21.087453704122,1413020549,2022-04-22,2022-07-05,2022-07-06,实施分配,2022-06-29
2022-12-31,2023-04-22,,,,0.3,"10派0.30元(含税,扣税后0.27元)",0.006160164271,0.068,2.997314359828,1.501729521161,0.467196531082,-50.758729700566,1413020549,2023-04-22,2023-07-10,2023-07-11,实施分配,2023-07-05
2023-12-31,2024-04-25,,,,0.2,"10派0.20元(含税,扣税后0.18元)",0.007326007326,0.016,2.972621549759,1.501729521161,0.449130605885,-75.989048210115,1413020549,2024-04-25,2024-07-08,2024-07-09,实施分配,2024-07-03
2024-12-31,2025-04-23,,,,0.1,"10派0.10元(含税,扣税后0.09元)",0.002688172043,0.008,2.962289968799,1.501729521161,0.436058776368,-53.317859774628,1413020549,2025-04-23,2025-07-08,2025-07-09,实施分配,2025-07-03
