报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
1996-12-31,1997-07-15,2.0,0.0,2.0,1.0,"10转2.00派1.00元(含税,扣税后0.00元)",0.007942811755,,2.46,1.124633332675,0.067438061987,14.155460042431,354641500,,1997-07-22,1997-07-23,实施分配,1997-07-15
1997-12-31,1998-07-22,3.0,2.0,1.0,,10送2.00转1.00,,0.25,2.29,0.779906064975,0.224593223556,11.382275193638,425569800,,1998-07-27,1998-07-28,实施分配,1998-07-22
1998-12-31,1999-07-22,0.0,0.0,0.0,0.6,"10派0.60元(含税,扣税后0.53元)",0.006711409396,0.189,1.89,0.523004665365,0.069620835805,7.401500621184,553240740,,1999-07-27,1999-07-28,实施分配,1999-07-22
2000-12-31,2001-08-01,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.85元)",0.008156606852,0.213,2.21,0.524847318439,0.205116413914,0.142236326662,603240740,,2001-08-07,2001-08-08,实施分配,2001-08-01
2001-12-31,2002-07-27,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.80元)",0.009578544061,0.09,2.85,1.259347613028,0.122753423451,-53.281280985968,603240740,,2002-07-31,2002-08-01,实施分配,2002-07-27
2002-12-31,2003-09-13,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.80元)",0.012674271229,0.1011,2.86,1.267181143966,0.076544715796,12.38864871222,603240740,,2003-09-18,2003-09-19,实施分配,2003-09-13
2003-12-31,2004-04-17,0.0,0.0,0.0,0.6,"10派0.60元(含税,扣税后0.48元)",0.008955223881,0.065,2.93,1.278035493757,0.065243426696,-35.658800254783,603240740,,2004-07-16,2004-07-19,实施分配,2004-07-13
2004-12-31,2005-03-29,0.0,0.0,0.0,1.6,"10派1.60元(含税,扣税后1.44元)",0.022955523673,0.241,3.11,1.278504275093,0.064960479957,269.995716473225,603240740,,2005-07-04,2005-07-05,实施分配,2005-06-28
2005-12-31,2006-02-25,0.0,0.0,0.0,2.5,"10派2.50元(含税,扣税后2.25元)",0.030193236715,0.319,3.27,1.278990847004,0.05654258033,32.638215049776,603240740,,2006-05-12,2006-05-15,实施分配,2006-05-09
2006-12-31,2007-04-10,0.0,0.0,0.0,3.0,"10派3.00元(含税,扣税后2.70元)",0.01652892562,0.3607,3.38,1.27962978263,0.447061289329,12.968602705477,603240740,2007-04-10,2007-06-18,2007-06-19,实施分配,2007-06-13
2007-12-31,2008-04-10,0.0,0.0,0.0,3.5,"10派3.50元(含税,扣税后3.15元)",0.026861089793,0.4373,8.2446,6.006727556232,0.544348301144,21.214004811115,603240740,2008-04-10,2008-06-13,2008-06-16,实施分配,2008-06-10
2008-12-31,2009-04-10,0.0,0.0,0.0,3.5,"10派3.50元(含税,扣税后3.15元)",0.019830028329,0.4529,4.5606,2.219830041651,0.604924683966,3.568471694731,603240740,2009-04-10,2009-06-12,2009-06-15,实施分配,2009-06-09
2009-12-31,2010-04-10,0.0,0.0,0.0,3.6,"10派3.60元(含税,扣税后3.24元)",0.016620498615,0.4658,6.4857,4.029153258117,0.668473889877,2.851386229938,603240740,2010-04-10,2010-06-10,2010-06-11,实施分配,2010-06-07
2010-12-31,2011-03-29,0.0,0.0,0.0,3.8,"10派3.80元(含税,扣税后3.42元)",0.020936639118,0.6309,7.0844,4.231997053747,1.052906597389,16.264437683127,603240740,2011-03-29,2011-07-08,2011-07-11,实施分配,2011-07-05
2011-12-31,2012-03-29,0.0,0.0,0.0,3.6,"10派3.60元(含税,扣税后3.24元)",0.021647624775,0.5313,6.5464,3.542670951037,1.2041727969,-15.798978905283,603240740,2012-03-29,2012-06-15,2012-06-18,实施分配,2012-06-12
2012-12-31,2013-03-28,,,,3.7,"10派3.70元(含税,扣税后3.33元)",0.028244274809,0.612,7.039332131149,3.783685169258,1.456129246128,15.188289779612,603240740,2013-03-28,2013-06-14,2013-06-17,实施分配,2013-06-06
2013-12-31,2014-03-28,,,,3.8,"10派3.80元(含税,扣税后3.42元)",0.023427866831,0.6257,7.200498590397,3.689109242854,1.71187163178,2.252764440553,603240740,2014-03-28,2014-06-23,2014-06-24,实施分配,2014-06-18
2014-12-31,2015-03-28,,,,4.0,"10派4.00元(含税,扣税后3.60元)",0.013884068032,0.7857,10.812438167069,5.571160617229,1.545886840767,29.060318173497,804517740,2015-03-28,2015-08-03,2015-08-04,实施分配,2015-07-28
2015-12-31,2016-03-31,,,,4.8,"10派4.80元(含税,扣税后4.32元)",0.011398717644,0.7925,10.296602037576,5.571160617229,1.876214565188,30.880767264792,804517740,2016-03-31,2016-05-05,2016-05-06,实施分配,2016-04-30
2016-12-31,2017-03-30,,,,4.8,"10派4.80元(含税,扣税后4.32元)",0.018092725217,0.7998,13.363290002905,9.233247509365,1.854740525958,8.934918010393,957936440,2017-03-30,2017-06-05,2017-06-06,实施分配,2017-05-31
2017-12-31,2018-03-30,,,,5.6,"10派5.60元(含税,扣税后5.04元)",0.014885699096,0.9205,13.554451417768,9.093051404308,2.260267454937,26.948546857468,957936440,2018-03-30,2018-06-15,2018-06-19,实施分配,2018-06-12
2018-12-31,2019-03-30,,,,6.0,"10派6.00元(含税,扣税后5.40元)",0.025391451545,1.13,13.175780283408,8.396890607742,2.824235003045,22.761515298062,957936440,2019-03-30,2019-06-10,2019-06-11,实施分配,2019-06-04
2019-12-31,2020-03-28,,,,6.0,"10派6.00元(含税,扣税后5.40元)",0.020345879959,1.1405,13.837162320331,8.210490875157,3.912419235926,0.927424782849,957936440,2020-03-28,2020-06-11,2020-06-12,实施分配,2020-06-06
2020-12-31,2021-03-31,,,,0.58,"10派0.58元(含税,扣税后0.522元)",0.000970548862,0.1151,13.267601309164,8.210967746315,3.378746330696,-89.912036154597,1070044063,2021-03-31,2021-06-17,2021-06-18,实施分配,2021-06-10
2021-12-31,2022-03-29,,,,0.53,"10派0.53元(含税,扣税后0.477元)",0.000879814077,0.0966,15.524227416175,11.747969638826,2.115232042776,-8.701399730727,1070044063,2022-03-29,2022-07-07,2022-07-08,实施分配,2022-07-01
2022-12-31,2023-04-12,,,,0.6,"10派0.60元(含税,扣税后0.54元)",0.001275239107,0.1061,15.488244233443,11.684332014279,2.164273603002,18.671479146729,1070044063,2023-04-12,2023-06-20,2023-06-21,实施分配,2023-06-14
2023-12-31,2024-04-02,,,,5.0,"10派5.00元(含税,扣税后4.50元)",0.021626297578,0.9362,15.585372476918,11.073238613595,2.869071922826,691.137853730763,1070044063,2024-04-02,2024-07-11,2024-07-12,实施分配,2024-07-06
2024-06-30,2024-08-31,,,,1.2,"10派1.20元(含税,扣税后1.08元)",0.004459308807,0.7921,15.888007257679,11.074169679889,3.161161348166,59.151908819151,1070044063,2024-08-31,2024-09-26,2024-09-27,实施分配,2024-09-21
2024-12-31,2025-04-02,,,,3.8,"10派3.80元(含税,扣税后3.42元)",0.016821602479,0.8535,14.399928864238,9.781968599147,3.101364628982,-9.055788168112,1067418804,2025-04-02,2025-07-31,2025-08-01,实施分配,2025-07-25
2025-12-31,2026-03-28,,,,5.1,10派5.10元(含税),0.023589269195,0.87,15.009426657487,9.752876774703,3.599543744031,1.583930070417,1066298444,2026-03-28,2026-05-20,2026-05-21,实施分配,2026-05-15
2026-06-30,2026-03-28,,,,,分红金额不超过当期归属于上市公司股东净利润的50%,,,,,,,1066298444,2026-08-29,,,预披露,2026-03-28
