报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2007-12-31,2008-04-12,0.0,0.0,0.0,3.0,"10派3.00元(含税,扣税后2.70元)",0.014917951268,1.12,8.16,6.400519480519,0.642467532468,583.829365079365,7700000000,2008-04-12,2008-06-16,2008-06-17,实施分配,2008-06-11
2008-12-31,2009-04-11,0.0,0.0,0.0,3.0,"10派3.00元(含税,扣税后2.70元)",0.014836795252,0.17,6.33,4.700649350649,0.504545454545,-80.574495865371,7700000000,2009-04-11,2009-06-11,2009-06-12,实施分配,2009-06-08
2009-12-31,2010-04-19,0.0,0.0,0.0,3.0,"10派3.00元(含税,扣税后2.70元)",0.013186813187,0.95,8.8,6.748438052576,0.890251090416,186.33709614636,8600000000,2010-04-19,2010-07-01,2010-07-02,实施分配,2010-06-28
2010-12-31,2011-03-28,0.0,0.0,0.0,3.5,"10派3.50元(含税,扣税后3.15元)",0.016619183286,1.0,9.34,6.605813953488,1.537325581395,16.326808047852,8600000000,2011-03-28,2011-06-23,2011-06-24,实施分配,2011-06-20
2011-12-31,2012-03-26,0.0,0.0,0.0,3.5,"10派3.50元(含税,扣税后3.15元)",0.016173752311,0.97,8.93,5.584186046512,2.092209302326,-2.851466635503,8600000000,2012-03-26,2012-06-21,2012-06-25,实施分配,2012-06-18
2012-12-31,2013-03-25,,,,3.5,"10派3.50元(含税,扣税后3.15元)",0.021393643032,0.59,10.61,7.159126020746,2.162436548223,-38.926981835679,9062000000,2013-03-25,2013-07-19,2013-07-22,实施分配,2013-07-16
2013-12-31,2014-03-31,,,,4.0,"10派4.00元(含税,扣税后3.60元)",0.022284122563,1.02,10.92,6.796181858309,2.791216067093,82.410872562537,9062000000,2014-03-31,2014-07-17,2014-07-18,实施分配,2014-07-14
2014-12-31,2015-03-30,,,,5.0,"10派5.00元(含税,扣税后4.50元)",0.017205781142,1.22,12.93,7.365040829839,2.945707349371,19.306770327179,9062000000,2015-03-30,2015-07-16,2015-07-17,实施分配,2015-07-10
2015-12-31,2016-03-28,,,,10.0,"10派10.00元(含税,扣税后9.00元)",0.037009622502,1.96,14.71,7.365040829839,4.163319355551,60.448909403566,9062000000,2016-03-28,2016-08-10,2016-08-11,实施分配,2016-08-04
2016-12-31,2017-03-30,,,,7.0,"10派7.00元(含税,扣税后6.30元)",0.019558535904,1.33,14.54,7.365040829839,4.278525711763,-31.988944043321,9062000000,2017-03-30,2017-08-01,2017-08-02,实施分配,2017-07-25
2017-12-31,2018-03-30,,,,8.0,"10派8.00元(含税,扣税后7.20元)",0.023966446974,1.62,15.17,7.350805561686,5.045464577356,21.605706228747,9062000000,2018-03-30,2018-08-07,2018-08-08,实施分配,2018-07-31
2018-12-31,2019-03-25,,,,10.0,"10派10.00元(含税,扣税后9.00元)",0.026109660574,1.99,16.51,7.353233281836,6.026263517987,22.895921429546,9062000000,2019-03-25,2019-07-22,2019-07-23,实施分配,2019-07-16
2019-12-31,2020-03-23,,,,12.0,"10派12.00元(含税,扣税后10.80元)",0.040133779264,3.06,19.69,7.354888545575,7.790995365262,53.954159498307,9062000000,2020-03-23,2020-06-10,2020-06-11,实施分配,2020-06-03
2020-12-31,2021-03-29,,,,12.0,"10派12.00元(含税,扣税后10.80元)",0.039906883937,2.63,22.37,8.293970893971,8.475363825364,-11.380267474136,9620341455,2021-03-29,2021-06-29,2021-06-30,实施分配,2021-06-22
2021-12-31,2022-03-28,,,,10.0,"10派10.00元(含税,扣税后9.00元)",0.043706293706,2.79,23.57,8.280873180873,9.684927234927,9.152294175073,9620341455,2022-03-28,2022-07-08,2022-07-11,实施分配,2022-07-01
2022-12-31,2023-03-27,,,,10.2,"10派10.20元(含税,扣税后9.18元)",0.037735849057,2.56,23.75,8.281185031185,10.936070686071,-8.291719460386,9620341455,2023-03-27,2023-06-28,2023-06-29,实施分配,2023-06-20
2023-12-31,2024-03-29,,,,10.2,"10派10.20元(含税,扣税后9.18元)",0.03610619469,2.83,25.94,8.310810810811,12.624532224532,-27.08327760092,9620341455,2024-03-29,2024-07-11,2024-07-12,实施分配,2024-07-05
2024-12-31,2025-03-27,,,,10.8,"10派10.80元(含税,扣税后9.72元)",0.028609271523,4.67,30.29,8.310602910603,15.788981288981,64.948453608247,9620341455,2025-03-27,2025-07-17,2025-07-18,实施分配,2025-07-11
2025-12-31,2026-03-27,,,,11.5,"10派11.50元(含税,扣税后10.35元)",0.037060908798,5.56,31.41,8.30893970894,19.693035343035,19.00578291815,9620341455,2026-03-27,2026-07-16,2026-07-17,实施分配,2026-07-09
2026-06-30,2026-08-28,,,,4.2,10派4.20元(含税),0.012338425382,3.2,33.18,8.306964656965,21.831185031185,10.36399497938,9620341455,2026-08-28,,,董事会决议通过,2026-08-28
