报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
1992-12-31,1993-12-31,0.0,0.0,0.0,1.0,10派1.00元(含税),0.008417508418,,2.7477557582,1.610754335572,0.066350782444,,831810000,,1994-01-07,1994-01-10,实施分配,1993-12-31
1993-12-31,1994-04-30,,,,1.5,"10派1.50元(含税,扣税后0.00元)",0.025423728814,,2.9,1.610754335572,0.230874160732,,962382700,,1994-05-13,1994-05-16,实施分配,1994-04-30
1994-12-31,1995-04-21,0.0,0.0,0.0,1.5,"10派1.50元(含税,扣税后0.00元)",0.01708428246,,2.81,1.543864552886,0.210354921066,4.500229705654,962382700,,1995-05-05,1995-05-08,实施分配,1995-04-21
1995-12-31,1996-05-14,0.0,0.0,0.0,1.5,"10派1.50元(含税,扣税后0.00元)",0.017441860465,,2.81,1.590910533834,0.041406435153,13.884879862073,962382700,,1996-05-17,1996-05-20,实施分配,1996-05-14
1996-12-31,1997-06-24,1.0,1.0,0.0,0.6,"10送1.00派0.60元(含税,扣税后0.00元)",0.007042253521,,2.99,1.590910533845,0.153321252928,2.5863771068,962382700,,1997-07-03,1997-07-04,实施分配,1997-06-24
1999-12-31,2000-06-13,1.0,1.0,0.0,,10送1.00,,0.034,2.83,1.447433870689,0.12922444375,7989.96631229341,1058620970,,2000-06-16,2000-06-19,实施分配,2000-06-13
2008-12-31,2009-03-21,0.0,0.0,0.0,0.05,"10派0.05元(含税,扣税后0.045元)",0.000863557858,0.0093,2.324,1.323611875395,-0.007865785739,-80.808078128758,1156399976,2009-03-21,2009-05-14,2009-05-15,实施分配,2009-05-11
2013-12-31,2014-03-21,,,,0.05,"10派0.05元(含税,扣税后0.045元)",0.000691562932,0.0144,2.462989504247,1.377771900447,0.075420162928,-83.788339616913,1156399976,2014-03-21,2014-06-18,2014-06-19,实施分配,2014-06-13
2017-12-31,2018-03-16,,,,0.35,"10派0.35元(含税,扣税后0.315元)",0.00377562028,0.8584,2.523722997639,1.447830354849,0.057388685219,402.538309389189,1156399976,2018-03-16,2018-06-12,2018-06-13,实施分配,2018-06-06
2018-12-31,2019-04-18,,,,1.2,"10派1.20元(含税,扣税后1.08元)",0.01472392638,0.9106,3.385689667102,1.447830354849,0.846603343444,6.09119935702,1156399976,2019-04-18,2019-07-05,2019-07-08,实施分配,2019-07-02
2019-12-31,2020-04-20,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.011764705882,0.7013,4.024870317517,1.446981119723,1.358766068402,-22.993217869799,1156399976,2020-04-20,2020-07-28,2020-07-29,实施分配,2020-07-23
2020-12-31,2021-04-09,,,,0.55,"10派0.55元(含税,扣税后0.495元)",0.005945945946,0.5246,4.445476827526,1.44702366521,1.733277081709,-25.18578264187,1156399976,2021-04-09,2021-07-28,2021-07-29,实施分配,2021-07-22
2021-12-31,2022-03-26,,,,4.0,"10派4.00元(含税,扣税后3.60元)",0.030959752322,1.5321,5.936333275434,1.447026452904,3.052310806464,192.027580465278,1156399976,2022-03-26,2022-07-21,2022-07-22,实施分配,2022-07-15
2022-12-31,2023-03-21,,,,3.6,"10派3.60元(含税,扣税后3.24元)",0.038918918919,1.1851,6.735502159263,1.447047075535,3.713685467441,-22.645129074892,1156399976,2023-03-21,2023-07-12,2023-07-13,实施分配,2023-07-06
2023-12-31,2024-04-16,,,,2.0,"10派2.00元(含税,扣税后1.80元)",0.021810250818,0.6577,7.029427860996,1.44706136515,4.011348024267,-44.508484465344,1156399976,2024-04-16,2024-07-15,2024-07-16,实施分配,2024-07-09
2024-12-31,2025-04-15,,,,2.1,"10派2.10元(含税,扣税后1.89元)",0.019337016575,0.6809,7.515781022629,1.421274211917,4.496164518002,3.533425216592,1156399976,2025-04-15,2025-07-22,2025-07-23,实施分配,2025-07-16
2025-12-31,2026-04-21,,,,2.4,"10派2.40元(含税,扣税后2.16元)",0.022988505747,0.746,8.062914904012,1.421274620097,5.089057680549,9.557325629596,1156399976,2026-04-21,2026-07-23,2026-07-24,实施分配,2026-07-18
