报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2011-12-31,2012-04-11,0.0,0.0,0.0,3.0,"10派3.00元(含税,扣税后2.70元)",0.017814726841,0.87,7.66,4.381795032753,2.03449623906,26.939268861934,73580000,2012-04-11,2012-05-17,2012-05-18,实施分配,2012-05-11
2012-12-31,2013-02-28,6.0,,6.0,2.0,"10转6.00派2.00元(含税,扣税后1.80元)",0.01579778831,0.37,7.759,4.451500318837,2.029391316934,-47.028917364603,73580000,2013-04-20,2013-06-24,2013-06-25,实施分配,2013-06-19
2013-12-31,2014-04-30,,,,0.3,"10派0.30元(含税,扣税后0.27元)",0.00102739726,0.14,4.8404,2.385371696962,1.243150175574,-39.517830307399,117728000,2014-04-30,2014-05-29,2014-05-30,实施分配,2014-05-22
2014-12-31,2014-12-23,15.0,,15.0,2.0,"10转15.00派2.00元(含税,扣税后1.80元)",0.003510619624,0.866,9.0464,6.304277998079,1.563086468491,723.595245145775,202215038,2015-04-01,2015-04-30,2015-05-04,实施分配,2015-04-25
2015-12-31,2016-04-19,,,,1.99615,"10派1.99615元(含税,扣税后1.796535元)",0.00875504386,0.4533,5.219050641446,3.258926592492,0.888636643196,74.082186619357,506512595,2016-04-19,2016-05-25,2016-05-26,实施分配,2016-05-19
2016-12-31,2017-03-22,0.0,0.0,0.0,2.0,"10派2.00元(含税,扣税后1.80元)",0.009722897423,0.6976,8.731554005604,6.470445820868,1.202043530084,148.300357397469,613688411,2017-03-22,2017-05-18,2017-05-19,实施分配,2017-05-13
