报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
1999-12-31,2000-06-12,0.0,0.0,0.0,2.3,"10派2.30元(含税,扣税后1.84元)",0.025274725275,0.35,2.12,1.065033203364,0.008503216182,-13.089227989105,2310000000,,2000-06-19,2000-06-20,实施分配,2000-06-12
2000-12-31,2001-05-22,0.0,0.0,0.0,2.5,"10派2.50元(含税,扣税后2.00元)",0.023969319271,0.33,2.18,1.046001766675,0.037690830455,5.144464754296,2310000000,,2001-05-25,2001-05-28,实施分配,2001-05-22
2001-12-31,2002-06-06,0.0,0.0,0.0,2.3,"10派2.30元(含税,扣税后1.84元)",0.033045977011,0.31,2.16,1.026937024043,0.002876673736,20.61743298653,2310000000,,2002-06-13,2002-06-14,实施分配,2002-06-06
2002-12-31,2003-05-23,0.0,0.0,0.0,2.3,"10派2.30元(含税,扣税后1.84元)",0.034795763994,0.3,2.21,1.007872281411,0.024041908273,-3.77262516572,2310000000,,2003-05-29,2003-05-30,实施分配,2003-05-23
2003-12-31,2004-02-12,0.0,0.0,0.0,3.0,"10派3.00元(含税,扣税后2.40元)",0.050083472454,0.36,2.54,0.98882125745,0.326106928411,20.265458244514,2310000000,,2004-05-28,2004-05-31,实施分配,2004-05-25
2004-12-31,2005-03-19,0.0,0.0,0.0,4.0,"10派4.00元(含税,扣税后3.60元)",0.101265822785,0.47,2.69,0.969789275899,0.426300222446,32.487034321199,2310023216,,2005-06-22,2005-06-23,实施分配,2005-06-17
2005-12-31,2006-02-21,0.0,0.0,0.0,3.0,"10派3.00元(含税,扣税后2.70元)",0.095238095238,0.34,2.62,0.948098800558,0.317891266196,-27.123095497667,2310435455,,2006-04-04,2006-04-05,实施分配,2006-04-05
2006-12-31,2007-04-12,0.0,0.0,0.0,1.6,"10派1.60元(含税,扣税后1.44元)",0.022346368715,0.2063,2.51,0.92910703992,0.230010957962,-39.855967542954,2966526057,2007-04-12,2007-06-15,2007-06-18,实施分配,2007-06-11
2007-12-31,2008-04-12,0.0,0.0,0.0,2.1,"10派2.10元(含税,扣税后1.89元)",0.036206896552,0.222,2.67,1.144389985458,0.211041513225,33.751955207228,2966526057,2008-04-12,2008-06-06,2008-06-10,实施分配,2008-05-31
2008-12-31,2009-04-17,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.90元)",0.015151515152,0.1384,2.59,1.129544487851,0.118484705688,-35.623434807545,2966526057,2009-04-17,2009-07-22,2009-07-23,实施分配,2009-07-16
2009-12-31,2010-03-04,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.90元)",0.02538071066,0.1239,2.6,1.118410364646,0.122705631636,-10.438850249832,2966526057,2010-03-04,2010-05-19,2010-05-20,实施分配,2010-05-12
2010-12-31,2011-04-28,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.90元)",0.022624434389,0.1179,2.65,1.118410364646,0.15291487143,-13.581345143423,2966526057,2011-04-28,2011-07-13,2011-07-14,实施分配,2011-07-07
2014-12-31,2015-06-17,,,,0.1,"10派0.10元(含税,扣税后0.09元)",0.00162601626,0.0118,4.452119188016,2.46326173027,0.145823390718,-36.623031611353,5289389600,2015-03-27,2015-08-18,2015-08-19,实施分配,2015-08-12
2020-12-31,2021-08-20,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.014306151645,0.3377,5.474997581577,3.735640709922,0.352645779625,50.680528768628,6685423610,2021-04-29,2021-12-07,2021-12-08,实施分配,2021-12-02
2022-06-30,2022-08-24,,,,0.8,"10派0.80元(含税,扣税后0.72元)",0.021390374332,0.2442,6.323799296782,3.816089575041,1.264989788483,-48.704601841883,7819869170,2022-08-24,2022-09-26,2022-09-27,实施分配,2022-09-21
2023-12-31,2024-04-22,,,,0.3,"10派0.30元(含税,扣税后0.27元)",0.010791366906,0.0856,6.347178271322,3.894880557086,1.183400328636,-40.975498423486,7794611605,2024-04-22,2024-07-16,2024-07-17,实施分配,2024-07-11
2024-12-31,2025-04-18,,,,0.22,"10派0.22元(含税,扣税后0.198元)",0.006567164179,0.0607,6.382475178666,3.893715494698,1.214868404025,-29.026012552089,7773981020,2025-04-18,2025-06-19,2025-06-20,实施分配,2025-06-13
2025-12-31,2026-04-18,,,,0.4,"10派0.40元(含税,扣税后0.36元)",0.011869436202,0.1284,6.490123064364,3.896682379749,1.321386656242,107.675933097216,7754967370,2026-04-18,2026-07-09,2026-07-10,实施分配,2026-07-03
