报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
1996-12-31,1997-02-28,8.0,3.0,5.0,,10送3.00转5.00,,,3.43,1.732363754727,0.445739172545,214.807895648132,55000000,,1997-03-07,1997-03-10,实施分配,1997-02-28
1997-12-31,1998-03-23,3.42,1.71,1.71,,10送1.71转1.71,,0.66,2.51,0.684646530404,0.537911907576,84.609928146789,115500000,,1998-03-26,1998-03-27,实施分配,1998-03-23
1998-12-31,1999-04-20,3.0,0.0,3.0,,10转3.00,,0.62,3.67,1.665045818995,0.669470168838,55.325944505839,155001100,,1999-04-26,1999-04-27,实施分配,1999-04-20
1999-12-31,2000-04-25,3.0,0.0,3.0,,10转3.00,,,5.27,2.973393078887,0.91282937211,34.868471950463,216501300,,2000-05-08,2000-05-09,实施分配,2000-04-25
2000-12-31,2001-05-22,0.0,0.0,0.0,5.0,"10派5.00元(含税,扣税后4.00元)",0.01624431449,0.58,4.13,2.056456214528,0.588676352414,29.670666686472,281451690,,2001-05-28,2001-05-29,实施分配,2001-05-22
2001-12-31,2002-06-12,0.0,0.0,0.0,2.0,"10派2.00元(含税,扣税后1.60元)",0.012523481528,0.48,4.24,2.056456214564,0.63965788587,5.093959181777,281451690,,2002-06-18,2002-06-19,实施分配,2002-06-12
2004-06-30,2004-08-20,0.0,0.0,0.0,6.0,"10派6.00元(含税,扣税后4.80元)",0.048348106366,0.1,4.74,2.072364863043,0.988989485194,-0.863655612993,281451690,,2004-10-20,2004-10-21,实施分配,2004-10-15
2004-12-31,2005-03-31,0.0,0.0,0.0,6.0,"10派6.00元(含税,扣税后5.40元)",0.076824583867,0.96,5.13,2.072968874339,0.817500452742,335.676252802707,281451690,,2005-06-06,2005-06-07,实施分配,2005-05-31
2008-06-30,2008-08-29,8.0,2.0,6.0,0.25,"10送2.00转6.00派0.25元(含税,扣税后0.025元)",0.001273560876,0.34,5.96,1.964175598609,2.301777608701,7.011999265935,524612925,2008-08-29,2008-10-22,2008-10-23,实施分配,2008-10-17
2009-12-31,2010-03-27,3.0,0.0,3.0,2.0,"10转3.00派2.00元(含税,扣税后1.80元)",0.01210653753,0.68,4.23,0.684489535255,2.038646495626,30.519880540912,944303265,2010-03-27,2010-07-07,2010-07-08,实施分配,2010-07-01
2012-12-31,2013-03-30,,,,1.5,"10派1.50元(含税,扣税后1.35元)",0.016574585635,0.37,4.170219723537,0.290233608907,2.380623708447,9.409701483913,1227594245,2013-03-30,2013-05-31,2013-06-03,实施分配,2013-05-28
2013-12-31,2014-03-29,,,,1.1,"10派1.10元(含税,扣税后0.99元)",0.008023340627,0.33,4.341632079743,0.292859037475,2.522791516508,-9.943851023298,1227594245,2014-03-29,2014-06-18,2014-06-19,实施分配,2014-06-13
2014-12-31,2015-03-27,,,,0.63,"10派0.63元(含税,扣税后0.567元)",0.003242408646,0.21,4.410920237737,0.280363116235,2.491417602728,-37.778560278822,1227594245,2015-03-27,2015-07-24,2015-07-27,实施分配,2015-07-21
2015-12-31,2016-03-26,,,,0.95,"10派0.95元(含税,扣税后0.855元)",0.005484988453,0.31,4.889872927728,0.66402305155,2.665710826578,51.102568298518,1242576745,2016-03-26,2016-06-15,2016-06-16,实施分配,2016-06-08
2016-12-31,2017-03-31,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.006501950585,1.51,6.203305840134,0.552203741328,3.905980675665,379.084451510192,1243197745,2017-03-31,2017-06-28,2017-06-29,实施分配,2017-06-23
2017-12-31,2018-03-31,,,,0.9,"10派0.90元(含税,扣税后0.81元)",0.007009345794,0.86,7.178790322277,0.747841657502,4.554379034817,-42.814615575914,1242678005,2018-03-31,2018-07-04,2018-07-05,实施分配,2018-06-29
2021-12-31,2022-04-29,,,,0.6,"10派0.60元(含税,扣税后0.54元)",0.005454545455,0.98,7.710429092318,0.898059083101,5.134302373191,794.353147809074,1242290295,2022-04-29,2022-08-03,2022-08-04,实施分配,2022-07-29
2023-12-31,2024-04-24,,,,1.3,"10派1.30元(含税,扣税后1.17元)",0.015950920245,0.06,7.797522435416,0.826957017673,4.9336656753,121.556090069515,1203703468,2024-04-24,2024-07-16,2024-07-17,实施分配,2024-07-11
2024-12-31,2025-04-29,,,,1.5,"10派1.50元(含税,扣税后1.35元)",0.01582278481,0.05,7.892119099552,0.986425288757,4.879295022518,-14.699920059571,1207166838,2025-04-29,2025-07-02,2025-07-03,实施分配,2025-06-27
