报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2016-12-31,2017-03-03,,,,1.13,"10派1.13元(含税,扣税后1.017元)",0.006608187135,0.53,3.907568138259,1.205571086741,1.526367979688,42.146196303373,224000000,2017-03-03,2017-05-25,2017-05-26,实施分配,2017-05-22
2017-12-31,2018-04-26,4.0,,4.0,0.17,"10转4.00派0.17元(含税,扣税后0.153元)",0.000644427597,0.48,4.278996900714,1.205571086741,1.873792843438,1.955102377682,224000000,2018-04-26,2018-06-22,2018-06-25,实施分配,2018-06-16
2018-12-31,2019-04-26,4.0,,4.0,0.96,"10转4.00派0.96元(含税,扣税后0.864元)",0.004948453608,0.48,3.522794366996,0.575407919101,1.770967896173,38.289726975281,313600000,2019-04-26,2019-05-30,2019-05-31,实施分配,2019-05-27
