报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2023-12-31,2024-04-24,,,,0.75,"10派0.75元(含税,扣税后0.675元)",0.001859196827,0.92,11.510051181012,8.965547443274,1.42914591131,30.747318903554,168000000,2024-04-24,2024-07-09,2024-07-10,实施分配,2024-07-04
2024-12-31,2025-04-30,,,,1.25,"10派1.25元(含税,扣税后1.125元)",0.001908105633,0.91,12.346837357798,8.965547443274,2.204072832798,28.351190732501,168000000,2025-04-30,2025-08-18,2025-08-19,实施分配,2025-08-12
2025-12-31,2026-03-31,,,,1.25,"10派1.25元(含税,扣税后1.125元)",0.0009037669,0.88,13.104213093036,8.965547443274,2.886655477917,-3.260978124516,168000000,2026-03-31,2026-07-29,2026-07-30,实施分配,2026-07-23
