报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2011-12-31,2012-03-28,0.0,0.0,0.0,1.1,"10派1.10元(含税,扣税后0.99元)",0.007965242578,1.14,7.88,4.40282620435,2.2031097815,6.160064936564,200000000,2012-03-28,2012-07-09,2012-07-10,实施分配,2012-07-03
2012-12-31,2013-03-06,8.0,,8.0,1.8,"10转8.00派1.80元(含税,扣税后1.62元)",0.008007117438,1.36,9.124390009,4.40532620435,3.3296529485,58.879729812448,200000000,2013-04-18,2013-05-29,2013-05-30,实施分配,2013-05-23
2013-12-31,2014-04-11,2.0,2.0,,1.3,"10送2.00派1.30元(含税,扣税后0.97元)",0.013669821241,0.67,5.643987047222,2.002959002417,2.340129361833,-10.375045556747,360000000,2014-04-11,2014-05-21,2014-05-22,实施分配,2014-05-14
2014-12-31,2015-03-20,10.0,3.0,7.0,1.0,"10送3.00转7.00派1.00元(含税,扣税后0.60元)",0.003835826621,0.52,5.115914973958,1.669132502014,2.144964645833,-7.37471169578,432000000,2015-04-22,2015-05-28,2015-05-29,实施分配,2015-05-22
2015-12-31,2016-04-22,,,,0.5,"10派0.50元(含税,扣税后0.45元)",0.006468305304,0.3,2.74207202787,0.838106473611,0.716172454444,34.714629082874,864000000,2016-04-22,2016-05-27,2016-05-30,实施分配,2016-05-21
2016-12-31,2017-04-22,3.0,2.0,1.0,0.5,"10送2.00转1.00派0.50元(含税,扣税后0.25元)",0.007062146893,0.25,2.940738008738,0.838106473611,0.880842363229,-17.179039955831,864000000,2017-04-22,2017-06-08,2017-06-09,实施分配,2017-06-03
2017-12-31,2018-04-21,,,,0.26,"10派0.26元(含税,扣税后0.234元)",0.007602339181,0.17,2.395167327546,0.56777421047,0.637531960897,-10.329705305682,1123200000,2018-04-21,2018-06-28,2018-06-29,实施分配,2018-06-22
2018-12-31,2019-04-25,,,,0.33,"10派0.33元(含税,扣税后0.297元)",0.007764705882,0.22,2.589526708431,0.56777421047,0.807651400748,26.999712536916,1123200000,2019-04-25,2019-06-27,2019-06-28,实施分配,2019-06-21
2019-12-31,2020-04-28,,,,1.38,"10派1.38元(含税,扣税后1.242元)",0.017852522639,0.46,3.011459175027,0.56777421047,1.193011693625,109.964306636163,1123200000,2020-04-28,2020-06-03,2020-06-04,实施分配,2020-05-28
2020-12-31,2021-04-27,,,,1.25,"10派1.25元(含税,扣税后1.125元)",0.018463810931,0.68,3.804873487914,0.99301184207,1.539177660096,49.810297829404,1235383866,2021-04-27,2021-06-29,2021-06-30,实施分配,2021-06-23
2021-12-31,2022-04-12,,,,0.72,"10派0.72元(含税,扣税后0.648元)",0.014814814815,0.47,4.094276246109,0.97298288044,1.851479256246,-25.043878703694,1235153866,2022-04-12,2022-06-23,2022-06-24,实施分配,2022-06-16
2022-12-31,2023-03-31,,,,0.12,"10派0.12元(含税,扣税后0.108元)",0.002281368821,0.07,4.068623215976,0.927416738029,1.845624830631,-85.894183085713,1229093871,2023-03-31,2023-05-30,2023-05-31,实施分配,2023-05-24
2023-12-31,2024-04-26,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.025,0.3,4.373612592825,0.941989320521,2.112599085249,362.521906913456,1229093871,2024-04-26,2024-06-27,2024-06-28,实施分配,2024-06-20
2024-12-31,2025-04-24,,,,0.5,"10派0.50元(含税,扣税后0.45元)",0.011990407674,0.16,4.451037829071,1.003726922286,2.153923381284,-47.52275664654,1229093871,2025-04-24,2025-07-03,2025-07-04,实施分配,2025-06-26
2025-12-31,2026-04-24,,,,0.2,"10派0.20元(含税,扣税后0.18元)",0.004987531172,0.05,4.445906925542,1.003481467609,2.144416038391,-67.186290553524,1229093871,2026-04-24,2026-05-27,2026-05-28,实施分配,2026-05-21
