报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
1993-12-31,1994-08-17,2.5,2.5,0.0,0.4,"10送2.50派0.40元(含税,扣税后0.40元)",0.006420545746,0.358,2.57,1.158706516961,0.372224717851,-20.562101272919,151675000,,1994-08-30,1994-08-31,实施分配,1994-08-17
1994-12-31,1995-11-09,0.0,0.0,0.0,0.5,"10派0.50元(含税,扣税后0.50元)",0.009842519685,,2.3,0.854965213568,0.281677060768,16.598132092344,189593800,,1995-11-21,1995-11-22,实施分配,1995-11-09
1995-12-31,1996-06-07,3.0,3.0,0.0,1.5,"10送3.00派1.50元(含税,扣税后1.50元)",0.008064516129,,2.52,0.856027400481,0.104922383465,121.616848184815,204251800,,1996-06-10,1996-06-11,实施分配,1996-06-07
1996-12-31,1997-06-14,10.0,6.0,4.0,2.0,"10送6.00转4.00派2.00元(含税,扣税后0.55元)",0.003519887364,,2.98,0.75729367259,0.600000000753,132.669939240183,265527300,,1997-06-19,1997-06-20,实施分配,1997-06-14
1997-12-31,1998-06-17,0.0,0.0,0.0,1.2,"10派1.20元(含税,扣税后1.0734元)",0.004074702886,0.601,1.97,0.178646836295,0.240317134885,15.812216438684,531054700,,1998-06-22,1998-06-23,实施分配,1998-06-17
1998-12-31,1999-05-04,3.0,1.0,2.0,3.0,"10送1.00转2.00派3.00元(含税,扣税后2.276元)",0.013574660633,0.856,3.42,1.137208015908,0.357276068503,41.835807953587,563793925,,1999-05-07,1999-05-10,实施分配,1999-05-04
1999-12-31,2000-06-06,0.0,0.0,0.0,0.3,"10派0.30元(含税,扣税后0.285元)",0.001104158999,0.427,3.019,0.722634725792,0.377793408874,-30.289787751109,732932102,,2000-06-12,2000-06-13,实施分配,2000-06-06
2000-12-31,2001-05-17,0.0,0.0,0.0,0.5,"10派0.50元(含税,扣税后0.40元)",0.002925687537,0.2058,3.175,0.722634725792,0.430715619645,-51.816503326182,732932101,,2001-05-24,2001-05-25,实施分配,2001-05-17
2001-12-31,2002-07-05,0.0,0.0,0.0,0.6,"10派0.60元(含税,扣税后0.48元)",0.00399733511,-0.012,3.098,0.722634725792,0.355989515815,-106.171461074079,732932101,,2002-07-10,2002-07-11,实施分配,2002-07-05
2002-12-31,2003-07-11,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.80元)",0.006906077348,0.08,3.116,0.722634725792,0.362658677506,461.846209634769,732932101,,2003-07-17,2003-07-18,实施分配,2003-07-11
2003-12-31,2004-04-26,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.80元)",0.008547008547,0.3,3.4205,0.722647292781,0.521021797693,266.841364276486,732932101,,2004-06-30,2004-07-01,实施分配,2004-06-25
2004-12-31,2005-04-11,0.0,0.0,0.0,1.5,"10派1.50元(含税,扣税后1.35元)",0.019379844961,0.3106,3.6314,0.722647292781,0.635037944136,2.188015832225,732932101,,2005-06-21,2005-06-22,实施分配,2005-06-15
2005-12-31,2006-04-25,2.0,2.0,0.0,1.5,"10送2.00派1.50元(含税,扣税后1.15元)",0.016025641026,0.4303,3.9122,0.722647292781,0.850752891515,38.519917571406,732932101,,2006-06-14,2006-06-15,实施分配,2006-06-09
2006-12-31,2007-04-23,0.0,0.0,0.0,4.0,"10派4.00元(含税,扣税后3.60元)",0.021052631579,0.3787,3.5276,0.964562640973,0.911655239435,5.622238980456,879518521,2007-04-23,2007-06-14,2007-06-15,实施分配,2007-06-11
2007-12-31,2008-04-19,0.0,0.0,0.0,4.0,"10派4.00元(含税,扣税后3.60元)",0.045248868778,0.8064,3.9646,0.602909838916,1.237374853315,112.925875721673,879518521,2008-04-19,2008-06-12,2008-06-13,实施分配,2008-06-06
2008-12-31,2009-04-23,0.0,0.0,0.0,1.5,"10派1.50元(含税,扣税后1.35元)",0.013513513514,0.3598,3.9391,0.611363995904,1.19720766924,-55.375391790507,879518521,2009-04-23,2009-06-23,2009-06-24,实施分配,2009-06-18
2009-12-31,2010-04-24,5.0,2.0,3.0,2.0,"10送2.00转3.00派2.00元(含税,扣税后1.60元)",0.012738853503,0.29,4.1283,0.529754603087,1.465660519524,-19.867064551111,879518521,2010-04-24,2010-06-09,2010-06-10,实施分配,2010-06-03
2010-12-31,2011-03-31,0.0,0.0,0.0,1.5,"10派1.50元(含税,扣税后1.35元)",0.018159806295,0.2913,3.1707,0.434713497642,1.001704161104,48.580161132992,1319277781,2011-03-31,2011-06-17,2011-06-20,实施分配,2011-06-10
2011-12-31,2012-03-30,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.90元)",0.017699115044,0.1906,3.0759,0.323879071742,1.042345587006,-34.546821094591,1319277781,2012-03-30,2012-06-21,2012-06-25,实施分配,2012-06-15
2012-12-31,2013-03-29,,,,0.2,"10派0.20元(含税,扣税后0.18元)",0.003565062389,0.0709,3.015839283835,0.292536768669,1.01326393978,-62.800135137909,1319277781,2013-03-29,2013-06-18,2013-06-19,实施分配,2013-06-07
