报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2020-12-31,2021-04-27,,,,2.0,"10派2.00元(含税,扣税后1.80元)",0.005868544601,0.69,11.06170181843,8.221508583319,1.665749813055,-10.168921031246,234400000,2021-04-27,2021-06-11,2021-06-15,实施分配,2021-06-08
2021-12-31,2022-04-15,,,,2.5,"10派2.50元(含税,扣税后2.25元)",0.009002520706,1.7,12.345773844241,8.274813807466,3.095237708916,194.149924699544,234400000,2022-04-15,2022-06-22,2022-06-23,实施分配,2022-06-16
2022-12-31,2023-03-22,,,,2.5,"10派2.50元(含税,扣税后2.25元)",0.012413108242,0.2,11.402855436385,8.308567889676,3.019858213746,-88.759780455704,234751600,2023-03-22,2023-05-09,2023-05-10,实施分配,2023-04-28
2024-06-30,2024-07-17,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.005624296963,0.24,10.185969831569,8.43431636355,2.400437313316,251.221062666393,240941600,2024-08-09,2024-09-13,2024-09-18,实施分配,2024-09-10
2024-12-31,2025-04-17,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.00243902439,0.22,10.186099012909,8.119605549605,2.310695663246,138.860276985391,238483650,2025-04-17,2025-06-23,2025-06-24,实施分配,2025-06-18
2025-12-31,2026-03-26,,,,3.2,"10派3.20元(含税,扣税后2.88元)",0.001748538331,1.07,12.254802032323,8.185368584405,3.263549873506,377.596947943842,234771002,2026-03-26,2026-05-08,2026-05-11,实施分配,2026-04-28
