报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
1997-12-31,1998-06-13,2.0,2.0,0.0,,10送2.00,,0.574,3.33,1.607883342923,0.540831957179,63.112700074381,195000000,,1998-06-18,1998-06-19,实施分配,1998-06-13
1998-12-31,1999-06-18,0.0,0.0,0.0,2.0,"10派2.00元(含税,扣税后1.60元)",0.011092623405,0.508,3.09,1.34225321312,0.400103037479,34.997707178049,234000000,,1999-06-22,1999-06-23,实施分配,1999-06-18
1999-12-31,2000-07-11,0.0,0.0,0.0,1.48,"10派1.48元(含税,扣税后1.18元)",0.008915662651,0.322,3.06,1.342306365556,0.359042308761,-16.931827215594,252600000,,2000-07-14,2000-07-17,实施分配,2000-07-11
2001-12-31,2002-06-25,0.0,0.0,0.0,2.0,"10派2.00元(含税,扣税后1.60元)",0.005530973451,0.402,3.94,1.965442986936,0.537329579216,107.052647335422,252600000,,2002-06-28,2002-07-01,实施分配,2002-06-25
2007-12-31,2008-04-03,3.0,0.0,3.0,,10转3.00,,0.25,5.13,2.336001004315,1.505452048812,0.525601401498,252600000,2008-04-03,2008-05-20,2008-05-21,实施分配,2008-05-14
2009-12-31,2010-04-10,3.0,0.0,3.0,,10转3.00,,0.1148,3.91,1.381844487971,1.249823986266,60.418181318397,328380000,2010-04-10,2010-06-03,2010-06-04,实施分配,2010-05-27
2016-12-31,2017-04-29,,,,3.0,"10派3.00元(含税,扣税后2.70元)",0.02027027027,2.0,3.008966103436,0.487361738792,1.199820528328,268.433952960814,426894000,2017-04-29,2017-07-13,2017-07-14,实施分配,2017-07-08
2018-12-31,2019-04-16,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.009174311927,0.13,5.915229926177,3.699735473355,0.910339887944,-28.110910814111,556890744,2019-04-16,2019-06-26,2019-06-27,实施分配,2019-06-21
2023-12-31,2024-03-29,,,,3.0,"10派3.00元(含税,扣税后2.70元)",0.007959671,1.48,6.50430114888,3.719806030085,1.592596450481,131.988420220484,556890744,2024-03-29,2024-06-06,2024-06-07,实施分配,2024-06-01
