报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2016-12-31,2017-04-18,,,,1.6,"10派1.60元(含税,扣税后1.44元)",0.004879536444,0.97,4.608721857029,1.367856766131,1.71229418192,18.414800573662,400010000,2017-04-18,2017-06-01,2017-06-02,实施分配,2017-05-24
2017-12-31,2018-04-18,4.0,,4.0,1.97,"10转4.00派1.97元(含税,扣税后1.773元)",0.008060556465,0.98,5.366857604435,1.367856766131,2.504765358841,8.669151295151,400010000,2018-04-18,2018-05-30,2018-05-31,实施分配,2018-05-24
2018-12-31,2019-04-16,,,,1.44,"10派1.44元(含税,扣税后1.296元)",0.012653778559,0.72,4.322681821454,0.691954102862,2.308212397708,2.356627800343,560016164,2019-04-16,2019-05-24,2019-05-27,实施分配,2019-05-20
2019-12-31,2020-04-18,,,,6.99,"10派6.99元(含税,扣税后6.291元)",0.067341040462,0.18,4.354481730142,0.696609822427,2.326130270346,-74.880708140539,560275295,2020-04-18,2020-06-11,2020-06-12,实施分配,2020-06-05
2020-12-31,2021-04-17,,,,1.07,"10派1.07元(含税,扣税后0.963元)",0.013842173351,0.21,3.840034948931,0.687286355959,1.818151164537,18.426832861599,560277264,2021-04-17,2021-06-10,2021-06-11,实施分配,2021-06-04
2023-12-31,2024-04-27,,,,0.7,"10派0.70元(含税,扣税后0.63元)",0.008793969849,0.12,4.708087406807,1.485387332502,1.802704529836,363.640311654867,603467986,2024-04-27,2024-05-30,2024-05-31,实施分配,2024-05-25
2024-12-31,2025-04-26,,,,0.5,"10派0.50元(含税,扣税后0.45元)",0.006218905473,0.13,4.897299338016,1.647375186102,1.824491071028,13.108660835527,603507251,2025-04-26,2025-06-10,2025-06-11,实施分配,2025-06-04
2025-06-30,2025-08-27,,,,3.1,"10派3.10元(含税,扣税后2.79元)",0.035838150289,0.02,4.92159799916,1.647375186102,1.791340570107,-80.65513728414,603507251,2025-08-27,2025-10-21,2025-10-22,实施分配,2025-10-16
2026-03-31,2026-05-01,,,,3.4,"10派3.40元(含税,扣税后3.06元)",0.054574638844,0.0016,4.395909600513,1.647375186102,1.320019063632,-76.138410782616,603507251,2026-04-30,2026-06-12,2026-06-15,实施分配,2026-06-05
