报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2001-12-31,2002-04-10,3.0,1.0,2.0,2.0,"10送1.00转2.00派2.00元(含税,扣税后1.40元)",0.006047777442,0.84,5.65,3.8413748042,0.5513429925,57.013102196633,100000000,,2002-04-15,2002-04-16,实施分配,2002-04-10
2002-12-31,2003-06-04,4.0,2.0,2.0,2.0,"10送2.00转2.00派2.00元(含税,扣税后1.20元)",0.01001001001,0.73,5.08,2.801057541692,0.729016242308,17.647006500162,130000000,,2003-06-09,2003-06-10,实施分配,2003-06-04
2003-12-31,2004-03-17,6.0,3.0,3.0,1.0,"10送3.00转3.00派1.00元(含税,扣税后0.20元)",0.00693481276,0.5993,4.11,1.857898244066,0.909529841044,14.533758134348,182000000,,2004-05-20,2004-05-21,实施分配,2004-05-17
2004-12-31,2005-03-17,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.90元)",0.016891891892,0.42,2.92,0.975143476717,0.577627535234,11.683991044294,291200000,,2005-06-13,2005-06-14,实施分配,2005-06-08
2007-12-31,2008-03-26,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.90元)",0.009267840593,0.2,3.66,0.975231755151,1.124732356216,-19.541172865756,291200000,2008-03-26,2008-05-19,2008-05-20,实施分配,2008-05-14
2012-12-31,2013-04-12,,,,0.35,"10派0.35元(含税,扣税后0.315元)",0.004,0.1,4.14249579169,0.975643279224,1.539031888187,-61.832306385504,291200000,2013-04-12,2013-07-02,2013-07-03,实施分配,2013-06-27
2013-12-31,2014-04-04,,,,0.1,"10派0.10元(含税,扣税后0.09元)",0.00114416476,0.01,4.119877506593,0.975643279224,1.498275040556,-89.117456902408,291200000,2014-04-04,2014-05-20,2014-05-21,实施分配,2014-05-14
2014-12-31,2015-04-03,,,,0.26,"10派0.26元(含税,扣税后0.234元)",0.00318627451,0.09,4.197015646051,0.975643279224,1.556624326408,670.975379672781,291200000,2015-04-03,2015-07-09,2015-07-10,实施分配,2015-07-03
2016-12-31,2017-03-10,,,,0.16,"10派0.16元(含税,扣税后0.144元)",0.001397379913,0.16,3.676910584581,0.979432579087,1.02231227761,124.087025957791,291200000,2017-03-10,2017-05-05,2017-05-08,实施分配,2017-05-02
2017-12-31,2018-03-15,,,,0.33,"10派0.33元(含税,扣税后0.297元)",0.003182256509,0.33,3.992836272905,0.979614178159,1.310257799176,108.186930472819,291200000,2018-03-15,2018-05-23,2018-05-24,实施分配,2018-05-18
2018-12-31,2019-03-08,,,,0.4,"10派0.40元(含税,扣税后0.36元)",0.004314994606,0.4,4.276690165478,1.0697953555,1.607879845359,21.431508068329,298045000,2019-03-08,2019-04-16,2019-04-17,实施分配,2019-04-11
2019-12-31,2020-04-29,,,,0.26,"10派0.26元(含税,扣税后0.234元)",0.003719599428,0.26,4.498853136473,1.07861737449,1.800202798436,-35.497703221118,298045000,2020-04-29,2020-06-08,2020-06-09,实施分配,2020-06-02
2020-12-31,2021-04-09,,,,0.2,"10派0.20元(含税,扣税后0.18元)",0.002277904328,0.19,4.670269902644,1.042801184454,1.93870073222,-26.31322583798,293325000,2021-04-09,2021-06-25,2021-06-28,实施分配,2021-06-18
2021-12-31,2022-04-22,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.004474272931,0.9,5.596327884411,1.029121271799,2.77102700877,377.413377055661,293236600,2022-04-22,2022-06-24,2022-06-27,实施分配,2022-06-17
2022-12-31,2023-04-21,,,,0.8,"10派0.80元(含税,扣税后0.72元)",0.006144393241,0.74,5.916614144039,0.124682611482,3.844173298149,-26.829532934551,293236600,2023-04-21,2023-05-30,2023-05-31,实施分配,2023-05-23
2023-12-31,2024-04-26,,,,0.1,"10派0.10元(含税,扣税后0.09元)",0.000963391137,0.09,6.772345344457,1.630122877053,3.298512196646,-87.688896698261,341130902,2024-04-26,2024-06-17,2024-06-18,实施分配,2024-06-07
2024-06-30,2024-08-28,,,,0.1,"10派0.10元(含税,扣税后0.09元)",0.000980392157,0.07,6.838410596382,1.629246234426,3.357548311967,491.96473300276,341130902,2024-08-28,2024-09-27,2024-09-30,实施分配,2024-09-20
2024-12-31,2025-04-26,,,,0.2,"10派0.20元(含税,扣税后0.18元)",0.001506024096,0.26,7.018192824525,1.630374277878,3.509080571716,236.772400050825,341130902,2025-04-26,2025-06-12,2025-06-13,实施分配,2025-06-05
2025-06-30,2025-08-23,,,,0.3,"10派0.30元(含税,扣税后0.27元)",0.001651982379,0.23,7.197391949147,1.592483621229,3.719029102529,233.084405702301,341130902,2025-08-23,2025-09-10,2025-09-11,实施分配,2025-09-03
2025-12-31,2026-04-25,,,,0.1,"10派0.10元(含税,扣税后0.09元)",0.000234082397,0.27,7.207122891024,1.591352061473,3.706117578759,4.207899110348,341130902,2026-04-25,2026-06-03,2026-06-04,实施分配,2026-05-27
2026-06-30,2026-08-22,,,,0.3,"10派0.30元(含税,扣税后0.27元)",0.000852757248,0.25,7.45359437425,1.591352061473,3.943030069671,7.377285669576,341130902,2026-08-22,2026-09-04,2026-09-07,实施分配,2026-08-29
