报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2021-12-31,2022-04-22,,,,3.3,"10派3.30元(含税,扣税后2.97元)",0.001386438114,2.91,11.196679636529,6.988621376734,2.886448454775,430.659769010244,67376367,2022-04-22,2022-06-27,2022-06-28,实施分配,2022-06-22
2022-12-31,2023-04-20,4.0,,4.0,14.76,"10转4.00派14.76元(含税,扣税后13.284元)",0.008090331068,4.31,42.06970313953,34.772777751285,5.795904407401,93.566467274828,67376367,2023-04-20,2023-06-15,2023-06-16,实施分配,2023-06-08
2023-12-31,2024-04-27,3.0,,3.0,1.7875,"10转3股派1.7875元(含税,扣税后1.6088元)",0.003640529532,1.48,30.342781913124,24.551955263055,4.427113442405,-50.757080978416,94326914,2024-04-27,2024-07-03,2024-07-04,实施分配,2024-06-28
2024-12-31,2025-04-26,,,,0.3955,"10派0.3955元(含税,扣税后0.356元)",0.001024876911,0.33,23.665302457297,18.892785987525,3.566444101949,-71.265734739926,122531446,2025-04-26,2025-06-18,2025-06-19,实施分配,2025-06-13
2025-12-31,2026-04-28,,,,0.754,"10派0.754元(含税,扣税后0.6786元)",0.000761001211,0.38,24.12078206257,18.884774414109,3.852973850494,14.850749128709,122574975,2026-04-28,2026-07-07,2026-07-08,实施分配,2026-06-30
