报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2014-12-31,2015-06-09,,,,1.1,"10派1.10元(含税,扣税后0.99元)",0.002255947498,0.81,3.78,0.570987545833,1.923278065417,3.00450776288,96000000,,2015-08-24,2015-08-25,实施分配,2015-08-18
2015-12-31,2016-04-26,15.0,,15.0,1.2,"10转15.00派1.20元(含税,扣税后1.08元)",0.003316749585,0.69,5.880270163333,2.712493831667,1.890782508438,2.764070735686,96000000,2016-04-26,2016-06-16,2016-06-17,实施分配,2016-06-08
2016-12-31,2017-04-22,,,,0.3,"10派0.30元(含税,扣税后0.27元)",0.001162790698,0.3,7.385197091597,5.780138251697,0.533938589957,29.266526928479,452179983,2017-04-22,2017-07-04,2017-07-05,实施分配,2017-06-27
2017-12-31,2018-04-26,,,,0.5,"10派0.50元(含税,扣税后0.45元)",0.00469924812,0.05,7.404254124137,5.780138251697,0.545433766426,-71.194795130874,452179983,2018-04-26,2018-05-29,2018-05-30,实施分配,2018-05-23
2019-12-31,2020-03-31,,,,0.4,"10派0.40元(含税,扣税后0.36元)",0.00583090379,0.08,6.700949657845,4.766302813405,0.800005843902,-61.258918224142,402152567,2020-03-31,2020-05-08,2020-05-11,实施分配,2020-04-29
2021-12-31,2022-02-22,,,,3.8,"10派3.80元(含税,扣税后3.42元)",0.013610315186,1.85,8.486758417882,4.766302813405,2.585814603939,7011.34392684881,402152567,2022-02-22,2022-03-28,2022-03-29,实施分配,2022-03-22
2022-12-31,2023-03-30,,,,2.7,"10派2.70元(含税,扣税后2.43元)",0.018072289157,1.31,9.327215583888,4.953125579798,3.427895442865,-29.359301130528,408552567,2023-03-30,2023-05-11,2023-05-12,实施分配,2023-05-04
2023-12-31,2024-03-25,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.010893246187,0.09,9.243053365821,5.563051551688,2.602631866788,-93.331684492166,504582605,2024-03-25,2024-05-23,2024-05-24,实施分配,2024-05-17
