报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2017-12-31,2018-04-13,5.0,,5.0,1.25,"10转5.00派1.25元(含税,扣税后1.125元)",0.002611238772,0.58,4.604554486875,2.143963708,1.3138064715,8.769085017813,80000000,2018-04-13,2018-05-24,2018-05-25,实施分配,2018-05-18
2018-12-31,2019-03-08,,,,2.5,"10派2.50元(含税,扣税后2.25元)",0.004638218924,0.72,3.699693959745,1.231811295204,1.452992298038,97.907182373704,121188600,2019-03-08,2019-04-29,2019-04-30,实施分配,2019-04-23
2019-12-31,2020-04-15,8.0,,8.0,4.0,"10转8.00派4.00元(含税,扣税后3.60元)",0.004713646005,1.4,9.710117180877,6.322305539377,2.230200366022,95.945576724295,134198665,2020-04-15,2020-05-19,2020-05-20,实施分配,2020-05-12
2020-12-31,2021-04-17,7.0,,7.0,3.0,"10转7.00派3.00元(含税,扣税后2.70元)",0.005,1.17,6.45652316793,3.150131220565,2.074519883162,66.763983120358,241904234,2021-04-17,2021-05-24,2021-05-25,实施分配,2021-05-17
2021-12-31,2022-03-30,5.0,,5.0,2.0,"10转5.00派2.00元(含税,扣税后1.80元)",0.005856515373,0.97,4.715458679821,1.584858740814,1.923435370622,41.50647698449,414088026,2022-03-30,2022-05-20,2022-05-23,实施分配,2022-05-16
2022-12-31,2023-04-24,2.0,,2.0,1.0,"10转2股派1.00元(含税,扣税后0.90元)",0.00388048118,0.59,3.84297459804,0.996338522503,1.658659856267,-9.19013169609,631407759,2023-04-24,2023-05-31,2023-06-01,实施分配,2023-05-25
2023-12-31,2024-03-26,,,,3.8,"10派3.80元(含税,扣税后3.42元)",0.023413431916,0.74,4.09122130971,0.89994841333,1.969978138269,54.469172031295,765744029,2024-03-26,2024-04-26,2024-04-29,实施分配,2024-04-22
2024-12-31,2025-04-19,,,,3.5,"10派3.50元(含税,扣税后3.15元)",0.01304023845,0.88,4.708072888711,0.901288812663,2.427756576297,18.526901768852,765453542,2025-04-19,2025-07-03,2025-07-04,实施分配,2025-06-27
2025-12-31,2026-03-31,,,,2.34,"10派2.34元(含税,扣税后2.106元)",0.01071919377,0.44,6.960880815028,3.46864138734,2.100739334663,-48.045025531323,899265844,2026-03-31,2026-06-08,2026-06-09,实施分配,2026-06-02
