报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2016-12-31,2017-04-26,5.0,0.0,5.0,1.0,"10转5.00派1.00元(含税,扣税后0.90元)",0.002911208151,0.57,4.730868396,2.197271682,1.4106606445,2.580168189315,80000000,2017-04-26,2017-06-28,2017-06-29,实施分配,2017-06-23
2017-12-31,2018-04-25,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.006188118812,0.31,3.396164459833,1.133384738083,1.157525144333,7.855872903356,120000000,2018-04-25,2018-06-14,2018-06-15,实施分配,2018-06-08
2018-12-31,2019-04-25,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.00555247085,0.35,3.64732887625,1.133384738083,1.386571021417,14.367707671878,120000000,2019-04-25,2019-06-13,2019-06-14,实施分配,2019-06-06
2019-12-31,2020-04-24,3.0,,3.0,0.7,"10转3.00派0.70元(含税,扣税后0.63元)",0.001070991432,0.32,3.8618176205,1.133384738083,1.57952408775,-10.210423749749,120000000,2020-04-24,2020-06-23,2020-06-24,实施分配,2020-06-17
2020-12-31,2021-04-28,2.0,,2.0,0.8,"10转2.00派0.80元(含税,扣税后0.72元)",0.001991535972,0.36,3.28108104641,0.641065183141,1.498623434551,50.197957902941,156753349,2021-04-28,2021-05-27,2021-05-28,实施分配,2021-05-21
2021-12-31,2022-04-28,1.0,,1.0,0.45,"10转1.00派0.45元(含税,扣税后0.405元)",0.001614639397,0.21,3.091112115425,0.585008016628,1.380424078607,-29.611730343035,194049778,2022-04-28,2022-06-15,2022-06-16,实施分配,2022-06-08
2022-12-31,2023-04-26,1.0,,1.0,0.5,"10转1.00派0.50元(含税,扣税后0.45元)",0.001116320607,0.25,3.595969914421,1.062878629384,1.401655994405,31.677410539156,214012484,2023-04-26,2023-06-05,2023-06-06,实施分配,2023-05-30
2023-12-31,2024-04-09,2.0,,2.0,0.75,"10转2股派0.75元(含税,扣税后0.675元)",0.00204248366,0.36,5.050960577666,2.419242952458,1.466831387137,62.249644732591,246423916,2024-04-09,2024-05-15,2024-05-16,实施分配,2024-05-08
2024-12-31,2025-04-24,2.0,,2.0,0.9,"10转2股派0.90元(含税,扣税后0.81元)",0.002196193265,0.41,4.603653475578,1.892628106047,1.54952600292,43.126380939528,304755788,2025-04-24,2025-05-26,2025-05-27,实施分配,2025-05-20
2025-12-31,2026-04-28,1.0,,1.0,0.7,"10转1股派0.70元(含税,扣税后0.63元)",0.001515479541,0.32,4.673310522144,2.038850786445,1.470565604453,-3.449389601612,366367572,2026-04-28,2026-06-09,2026-06-10,实施分配,2026-06-03
