报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2017-12-31,2018-04-04,,,,1.2,"10派1.20元(含税,扣税后1.08元)",0.013636363636,0.43,2.66,0.442299902194,0.761958315264,22.642768703813,2986649968,2018-04-04,2018-06-13,2018-06-14,实施分配,2018-06-07
2018-12-31,2019-04-25,,,,2.0,"10派2.00元(含税,扣税后1.80元)",0.030211480363,0.43,3.69,1.445066363739,0.811591282973,23.787725510563,2986649968,2019-04-25,2019-06-21,2019-06-24,实施分配,2019-06-18
2019-12-31,2020-04-30,,,,2.4,"10派2.40元(含税,扣税后2.16元)",0.044117647059,0.53,4.02,1.445066363739,1.034835238315,26.556647715888,2986649968,2020-04-30,2020-06-19,2020-06-22,实施分配,2020-06-16
2020-12-31,2021-03-25,,,,3.0,"10派3.00元(含税,扣税后2.70元)",0.051813471503,0.63,4.36,1.431591296322,1.295054457148,18.562117702002,2986649968,2021-03-25,2021-05-10,2021-05-11,实施分配,2021-04-30
2021-12-31,2022-04-22,,,,3.5,"10派3.50元(含税,扣税后3.15元)",0.067307692308,0.7,4.87,1.436214009622,1.538615299709,10.403913531131,2986649968,2022-04-22,2022-05-27,2022-05-30,实施分配,2022-05-24
2022-12-31,2023-04-22,4.0,,4.0,3.5,"10转4.00派3.50元(含税,扣税后3.15元)",0.057096247961,0.81,5.35,1.439420290241,1.865908537882,16.363454708927,3031933482,2023-04-22,2023-06-28,2023-06-29,实施分配,2023-06-21
2023-12-31,2024-04-27,,,,3.2,"10派3.20元(含税,扣税后2.88元)",0.061185468451,0.63,4.2,0.775819203238,1.5814389782,10.304825520409,4369857191,2024-04-27,2024-06-13,2024-06-14,实施分配,2024-06-07
2024-12-31,2025-04-26,,,,2.7,"10派2.70元(含税,扣税后2.43元)",0.042993630573,0.62,4.17,1.172849742792,1.338964548775,10.625826750377,5792379763,2025-04-26,2025-06-12,2025-06-13,实施分配,2025-06-06
2025-06-30,2025-08-16,,,,1.3,"10派1.30元(含税,扣税后1.17元)",0.021594684385,0.27,4.17,1.172849742792,1.338995034282,9.040905791767,5791866431,2025-08-16,2025-12-11,2025-12-12,实施分配,2025-12-05
2025-12-31,2026-04-24,,,,1.7,"10派1.70元(含税,扣税后1.53元)",0.025449101796,0.56,4.33,1.172926849937,1.385110437567,10.119829247938,5791866431,2026-04-24,2026-06-12,2026-06-15,实施分配,2026-06-09
