date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio
2015-06-18,IF,q1,IF1509,2015-09-18,4930.549,4945.4,14.850999999999658,29.10495336130076,43.955953361300416,3.5369381206827444,0.9669489116123864
2015-06-18,IF,q2,IF1512,2015-12-18,4930.549,4970.0,39.45100000000002,31.164223244685502,70.61522324468552,2.8565697441099323,0.9072255610912244
2015-06-19,IF,current,IF1506,2015-06-19,4637.052,4768.0,130.94800000000032,0.0,130.94800000000032,,
2015-06-19,IF,next,IF1507,2015-07-17,4637.052,4598.0,-39.05199999999968,21.33574518133673,-17.71625481866295,-4.980406431262776,1.0
2015-06-19,IF,q1,IF1509,2015-09-18,4637.052,4602.6,-34.451999999999316,25.833097562223873,-8.618902437775443,-0.7455237285392465,0.9649794569643171
2015-06-19,IF,q2,IF1512,2015-12-18,4637.052,4608.8,-28.251999999999498,27.769786870308835,-0.4822131296906633,-0.020855400846743463,0.902082845668418
2015-06-23,IF,current,IF1507,2015-07-17,4786.091,4730.8,-55.29100000000017,20.79978251075948,-34.49121748924068,-10.959965714167756,1.0
2015-06-23,IF,next,IF1508,2015-08-21,4786.091,4730.8,-55.29100000000017,24.51361469650704,-30.777385303493126,-3.9782458879901355,0.9978779997840017
2015-06-23,IF,q1,IF1509,2015-09-18,4786.091,4752.0,-34.09100000000035,25.441683820900618,-8.649316179099731,-0.7581836822843627,0.9632977664236404
2015-06-23,IF,q2,IF1512,2015-12-18,4786.091,4775.2,-10.891000000000531,27.44062005608229,16.54962005608176,0.7090550232815246,0.8977233734008421
2015-06-24,IF,current,IF1507,2015-07-17,4880.126,4858.2,-21.926000000000386,21.16046708464919,-0.7655329153511943,-0.24894182089203173,1.0
2015-06-24,IF,next,IF1508,2015-08-21,4880.126,4861.6,-18.52599999999984,24.947267003268273,6.421267003268433,0.8280461922616053,0.9978739186023559
2015-06-24,IF,q1,IF1509,2015-09-18,4880.126,4866.6,-13.52599999999984,25.893570419511356,12.367570419511516,1.0755925114175482,0.9632297577926883
2015-06-24,IF,q2,IF1512,2015-12-18,4880.126,4879.2,-0.9260000000003856,27.931780870096652,27.005780870096267,1.1411567468749941,0.8975476857462042
2015-06-25,IF,current,IF1507,2015-07-17,4706.516,4587.2,-119.3159999999998,20.36753206689298,-98.94846793310683,-34.880260391400114,1.0
2015-06-25,IF,next,IF1508,2015-08-21,4706.516,4586.8,-119.71599999999944,24.0196169527708,-95.69638304722864,-13.020090195908931,0.9978703644409803
2015-06-25,IF,q1,IF1509,2015-09-18,4706.516,4586.0,-120.51599999999962,24.932255718532737,-95.58374428146689,-8.720842404254121,0.9631705391770465
2015-06-25,IF,q2,IF1512,2015-12-18,4706.516,4613.4,-93.11599999999999,26.89795703383625,-66.21804296616374,-2.9178099336896306,0.8973947440825274
2015-06-26,IF,current,IF1507,2015-07-17,4336.195,4212.4,-123.79500000000007,18.42064667591276,-105.37435332408731,-42.23764423185795,1.0
2015-06-26,IF,next,IF1508,2015-08-21,4336.195,4204.6,-131.59499999999935,21.785375962229644,-109.80962403776971,-16.505794651509785,0.9978367058656435
2015-06-26,IF,q1,IF1509,2015-09-18,4336.195,4213.2,-122.99499999999989,22.626205920717638,-100.36879407928225,-10.057811228655654,0.9626100862718162
2015-06-26,IF,q2,IF1512,2015-12-18,4336.195,4227.6,-108.59499999999935,24.437240710552096,-84.15775928944726,-4.047996937492533,0.8959490615276975
2015-06-29,IF,current,IF1507,2015-07-17,4191.549,4014.2,-177.34900000000016,17.80617411204419,-159.54282588795598,-77.18325538827443,1.0
2015-06-29,IF,next,IF1508,2015-08-21,4191.549,3990.6,-200.94900000000007,21.058663374019783,-179.8903366259803,-29.556314684926342,0.9978367058656435
2015-06-29,IF,q1,IF1509,2015-09-18,4191.549,3995.0,-196.54899999999998,21.871445080486026,-174.67755491951397,-18.778910938406344,0.9626100862718162
2015-06-29,IF,q2,IF1512,2015-12-18,4191.549,4008.6,-182.94900000000007,23.62206770292248,-159.32693229707758,-8.066387186321327,0.8959490615276975
2015-06-30,IF,current,IF1507,2015-07-17,4472.998,4381.4,-91.59799999999996,17.391104745116323,-74.20689525488363,-35.61963793047096,1.0
2015-06-30,IF,next,IF1508,2015-08-21,4472.998,4376.2,-96.79799999999977,20.86198817361454,-75.93601182638523,-11.91622242407519,0.9976696838945606
2015-06-30,IF,q1,IF1509,2015-09-18,4472.998,4381.4,-91.59799999999996,21.729345550913504,-69.86865444908645,-7.126668420686907,0.9598385437661076
2015-06-30,IF,q2,IF1512,2015-12-18,4472.998,4375.0,-97.99799999999959,23.597516837689117,-74.40048316231048,-3.5503715596390637,0.8888468529296074
2015-07-01,IF,current,IF1507,2015-07-17,4253.021,4059.0,-194.02099999999973,15.893541423685708,-178.127458576314,-95.544617550023,1.0
2015-07-01,IF,next,IF1508,2015-08-21,4253.021,4046.8,-206.22099999999955,19.193730717299285,-187.02726928270027,-31.47241680318006,0.9975917034848943
2015-07-01,IF,q1,IF1509,2015-09-18,4253.021,4046.0,-207.02099999999973,20.01843243640522,-187.0025675635945,-20.314952702231537,0.9585499694869138
2015-07-01,IF,q2,IF1512,2015-12-18,4253.021,4060.0,-193.02099999999973,21.794729164964835,-171.22627083503488,-8.644040920945335,0.8855711812952368
2015-07-02,IF,current,IF1507,2015-07-17,4107.996,4130.0,22.003999999999905,15.256365620623713,37.26036562062362,22.07083202536001,1.0
2015-07-02,IF,next,IF1508,2015-08-21,4107.996,4109.8,1.8040000000000873,18.444020799708746,20.248020799708833,3.598118202595,0.9975792706470445
2015-07-02,IF,q1,IF1509,2015-09-18,4107.996,4111.2,3.2039999999997235,19.240600775043998,22.44460077504372,2.556702138354689,0.95834484281126
2015-07-02,IF,q2,IF1512,2015-12-18,4107.996,4114.4,6.403999999999542,20.956327044849854,27.360327044849395,1.4384588154375675,0.8850512617276226
2015-07-03,IF,current,IF1507,2015-07-17,3885.917,3931.8,45.883000000000266,9.59341434289831,55.47641434289858,37.22028478580103,1.0
2015-07-03,IF,next,IF1508,2015-08-21,3885.917,3928.4,42.483000000000175,12.6087443117066,55.091744311706776,10.56062903702244,0.9966503956655398
2015-07-03,IF,q1,IF1509,2015-09-18,3885.917,3923.0,37.083000000000084,13.36226103081121,50.445261030811295,6.1535961769448075,0.9432623997837358
2015-07-03,IF,q2,IF1512,2015-12-18,3885.917,3945.6,59.68299999999999,14.985234830976827,74.66823483097681,4.174706491308802,0.8479384786851167
2015-07-06,IF,current,IF1507,2015-07-17,3998.537,4040.6,42.0630000000001,9.82177458835735,51.88477458835745,43.05652684458083,1.0
2015-07-06,IF,next,IF1508,2015-08-21,3998.537,4039.2,40.66300000000001,12.924493572702303,53.587493572702314,10.63401719289501,0.9966375223079342
2015-07-06,IF,q1,IF1509,2015-09-18,3998.537,4036.2,37.66300000000001,13.699848394088963,51.36284839408897,6.33591184078363,0.9430566842625783
2015-07-06,IF,q2,IF1512,2015-12-18,3998.537,4066.0,67.46300000000019,15.369858533264049,82.83285853326424,4.582584165710344,0.8474470490760903
2015-07-07,IF,current,IF1507,2015-07-17,3928.003,3696.8,-231.20299999999997,7.778532815104221,-223.42446718489575,-207.61168085280727,1.0
2015-07-07,IF,next,IF1508,2015-08-21,3928.003,3619.2,-308.80300000000034,10.826519986077987,-297.97648001392236,-61.53051150650097,0.9960567459644988
2015-07-07,IF,q1,IF1509,2015-09-18,3928.003,3610.6,-317.40300000000025,11.588197585777893,-305.81480241422236,-38.92751640136506,0.933867747798042
2015-07-07,IF,q2,IF1512,2015-12-18,3928.003,3649.4,-278.60300000000007,13.228748826571751,-265.3742511734283,-15.036127070897518,0.8258825074847999
2015-07-08,IF,current,IF1507,2015-07-17,3663.038,3463.4,-199.63799999999992,6.827179763951365,-192.81082023604856,-213.47171205418297,1.0
2015-07-08,IF,next,IF1508,2015-08-21,3663.038,3410.8,-252.23799999999983,9.669563751639103,-242.56843624836074,-54.932966490117366,0.9958827582258135
2015-07-08,IF,q1,IF1509,2015-09-18,3663.038,3412.2,-250.8380000000002,10.37986208681083,-240.45813791318938,-33.278092429439006,0.9311494783850659
2015-07-08,IF,q2,IF1512,2015-12-18,3663.038,3433.0,-230.038,11.909749293102438,-218.12825070689757,-13.334469813532,0.8196450075653804
2015-07-09,IF,current,IF1507,2015-07-17,3897.626,3810.0,-87.6260000000002,5.315131760169832,-82.31086823983037,-96.35181424390797,1.0
2015-07-09,IF,next,IF1508,2015-08-21,3897.626,3751.8,-145.82600000000002,8.339547486240763,-137.48645251375925,-29.94223064723401,0.9949204001074541
2015-07-09,IF,q1,IF1509,2015-09-18,3897.626,3753.4,-144.2260000000001,9.0953346931772,-135.13066530682292,-17.82330615111604,0.9163937252932773
2015-07-09,IF,q2,IF1512,2015-12-18,3897.626,3776.2,-121.42600000000039,10.723198819159386,-110.70280118084099,-6.399356376655399,0.7868598979543387
2015-07-10,IF,current,IF1507,2015-07-17,4106.556,4166.6,60.04400000000078,4.14262726038732,64.1866272603881,81.50075478625486,1.0
2015-07-10,IF,next,IF1508,2015-08-21,4106.556,4125.0,18.444000000000415,7.329165051953501,25.773165051953917,5.454231653902165,0.9939103115429837
2015-07-10,IF,q1,IF1509,2015-09-18,4106.556,4067.0,-39.555999999999585,8.125465797424734,-31.43053420257485,-3.990881543679292,0.9013977382240013
2015-07-10,IF,q2,IF1512,2015-12-18,4106.556,4052.0,-54.555999999999585,9.840590643609799,-44.715409356389785,-2.4685757011943723,0.755293250905442
2015-07-13,IF,current,IF1507,2015-07-17,4211.812,4085.4,-126.41199999999981,4.068797905453777,-122.34320209454603,-265.0597223030688,1.0
2015-07-13,IF,next,IF1508,2015-08-21,4211.812,4038.0,-173.8119999999999,7.337010516939396,-166.4749894830605,-36.99203948282804,0.9937609040645512
2015-07-13,IF,q1,IF1509,2015-09-18,4211.812,4030.2,-181.61200000000008,8.153721414193614,-173.45827858580645,-22.435932061140797,0.8992208937044867
2015-07-13,IF,q2,IF1512,2015-12-18,4211.812,4034.6,-177.212,9.91280698581626,-167.29919301418374,-9.17615299485837,0.7508495409938042
2015-07-14,IF,current,IF1507,2015-07-17,4112.149,4001.6,-110.54900000000043,3.799151508017442,-106.74984849198299,-315.84211158669746,1.0
2015-07-14,IF,next,IF1508,2015-08-21,4112.149,3930.8,-181.34900000000016,6.990029263745376,-174.35897073625478,-40.72721581492778,0.9936061612961782
2015-07-14,IF,q1,IF1509,2015-09-18,4112.149,3895.8,-216.34900000000016,7.7874145457648565,-208.5615854542353,-28.048807765534807,0.8969772964431206
2015-07-14,IF,q2,IF1512,2015-12-18,4112.149,3885.8,-226.34900000000016,9.50487533799929,-216.84412466200087,-12.25947942353106,0.7463050739437458
2015-07-15,IF,current,IF1507,2015-07-17,3966.759,3858.4,-108.35899999999992,3.294477402373136,-105.06452259762679,-483.37384182066245,1.0
2015-07-15,IF,next,IF1508,2015-08-21,3966.759,3699.2,-267.5590000000002,6.372537816875038,-261.1864621831252,-64.95401293521151,0.9932345728496922
2015-07-15,IF,q1,IF1509,2015-09-18,3966.759,3650.2,-316.5590000000002,7.14173057810969,-309.4172694218905,-43.80142515454054,0.8916348223144027
2015-07-15,IF,q2,IF1512,2015-12-18,3966.759,3621.2,-345.5590000000002,8.798468467408709,-336.7605315325915,-19.863402211528978,0.7356263921134228
2015-07-16,IF,current,IF1507,2015-07-17,3997.356,4008.0,10.643999999999778,3.0690725950238735,13.713072595023652,125.21455424995003,1.0
2015-07-16,IF,next,IF1508,2015-08-21,3997.356,3859.0,-138.35600000000022,6.1708751664106565,-132.18512483358955,-33.5274189602245,0.9929595909196333
2015-07-16,IF,q1,IF1509,2015-09-18,3997.356,3787.6,-209.7560000000003,6.946000980526891,-202.80999901947342,-28.935395687998124,0.8877218155195091
2015-07-16,IF,q2,IF1512,2015-12-18,3997.356,3748.8,-248.55600000000004,8.61551786880187,-239.94048213119817,-14.134871533613932,0.7279299075042256
2015-07-17,IF,current,IF1507,2015-07-17,4151.496,4124.4,-27.09600000000046,0.0,-27.09600000000046,,
2015-07-17,IF,next,IF1508,2015-08-21,4151.496,4090.4,-61.096000000000004,3.2214095937169342,-57.87459040628307,-14.538115897287094,0.9859934716812155
2015-07-17,IF,q1,IF1509,2015-09-18,4151.496,4018.0,-133.4960000000001,4.026424637861187,-129.4695753621389,-18.06822186629801,0.7988396220034688
2015-07-17,IF,q2,IF1512,2015-12-18,4151.496,3980.0,-171.4960000000001,5.7603189128784775,-165.7356810871216,-9.462012929577797,0.5773825165920597
2015-07-20,IF,current,IF1508,2015-08-21,4160.612,3950.0,-210.61200000000008,3.228483277482093,-207.38351672251798,-56.85385317391337,0.9859934716812155
2015-07-20,IF,next,IF1509,2015-09-18,4160.612,3878.4,-282.212,4.035266001793308,-278.17673399820666,-40.67290577658024,0.7988396220034688
2015-07-20,IF,q1,IF1509,2015-09-18,4160.612,3878.4,-282.212,4.035266001793308,-278.17673399820666,-40.67290577658024,0.7988396220034688
2015-07-20,IF,q2,IF1512,2015-12-18,4160.612,3828.8,-331.8119999999999,5.7729676224544475,-326.0390323775454,-18.942107430827352,0.5773825165920597
2015-07-21,IF,current,IF1508,2015-08-21,4166.006,3969.0,-197.0060000000003,3.1056788226968535,-193.90032117730345,-54.801167128323684,0.9854207501721489
2015-07-21,IF,next,IF1509,2015-09-18,4166.006,3900.2,-265.8060000000005,3.913507495540383,-261.8924925044601,-38.89054333775622,0.7923121381866214
2015-07-21,IF,q1,IF1509,2015-09-18,4166.006,3900.2,-265.8060000000005,3.913507495540383,-261.8924925044601,-38.89054333775622,0.7923121381866214
2015-07-21,IF,q2,IF1512,2015-12-18,4166.006,3841.6,-324.4060000000004,5.653461948847742,-318.75253805115267,-18.61810030817218,0.5678895376646079
2015-07-22,IF,current,IF1508,2015-08-21,4157.16,3945.2,-211.96000000000004,2.560263266810575,-209.39973673318946,-61.28454995526926,0.9823524694569943
2015-07-22,IF,next,IF1509,2015-09-18,4157.16,3876.2,-280.96000000000004,3.366376615086647,-277.59362338491337,-42.02208691854509,0.7590696937445697
2015-07-22,IF,q1,IF1509,2015-09-18,4157.16,3876.2,-280.96000000000004,3.366376615086647,-277.59362338491337,-42.02208691854509,0.7590696937445697
2015-07-22,IF,q2,IF1512,2015-12-18,4157.16,3830.2,-326.96000000000004,5.102636489679055,-321.85736351032097,-18.96589341698672,0.5222601449353876
2015-07-23,IF,current,IF1508,2015-08-21,4250.805,4183.8,-67.00500000000011,2.0195570034612773,-64.98544299653884,-19.24153732807094,0.9771236414717835
2015-07-23,IF,next,IF1509,2015-09-18,4250.805,4142.6,-108.20499999999993,2.8438290188320288,-105.3611709811679,-15.871845041085317,0.7083747693348865
2015-07-23,IF,q1,IF1509,2015-09-18,4250.805,4142.6,-108.20499999999993,2.8438290188320288,-105.3611709811679,-15.871845041085317,0.7083747693348865
2015-07-23,IF,q2,IF1512,2015-12-18,4250.805,4110.4,-140.40500000000065,4.619200223264087,-135.78579977673655,-7.877969969012362,0.4603728907138928
2015-07-24,IF,current,IF1508,2015-08-21,4176.279,4012.2,-164.07900000000063,1.9841497087865148,-162.09485029121413,-50.59580922591375,0.9771236414717835
2015-07-24,IF,next,IF1509,2015-09-18,4176.279,3953.6,-222.67900000000054,2.7939704152363625,-219.88502958476417,-34.31713280378081,0.7083747693348865
2015-07-24,IF,q1,IF1509,2015-09-18,4176.279,3953.6,-222.67900000000054,2.7939704152363625,-219.88502958476417,-34.31713280378081,0.7083747693348865
2015-07-24,IF,q2,IF1512,2015-12-18,4176.279,3912.0,-264.27900000000045,4.538215441360665,-259.7407845586398,-15.442804494503118,0.4603728907138928
2015-07-27,IF,current,IF1508,2015-08-21,3818.731,3647.8,-170.93100000000004,1.282346800022644,-169.6486531999774,-64.86108439478114,0.967634270364487
2015-07-27,IF,next,IF1509,2015-09-18,3818.731,3593.8,-224.93100000000004,2.0228355068743493,-222.9081644931257,-40.1998010570917,0.6316879798399245
2015-07-27,IF,q1,IF1509,2015-09-18,3818.731,3593.8,-224.93100000000004,2.0228355068743493,-222.9081644931257,-40.1998010570917,0.6316879798399245
2015-07-27,IF,q2,IF1512,2015-12-18,3818.731,3557.8,-260.93100000000004,3.617748718577084,-257.31325128142294,-17.07943335352172,0.3810293841470502
2015-07-28,IF,current,IF1508,2015-08-21,3811.093,3654.0,-157.09299999999985,1.262098247392893,-155.83090175260696,-62.1850030289884,1.0
2015-07-28,IF,next,IF1509,2015-09-18,3811.093,3597.8,-213.29299999999967,2.001105872507515,-211.29189412749216,-38.9155175312894,0.6491323164829603
2015-07-28,IF,q1,IF1509,2015-09-18,3811.093,3597.8,-213.29299999999967,2.001105872507515,-211.29189412749216,-38.9155175312894,0.6491323164829603
2015-07-28,IF,q2,IF1512,2015-12-18,3811.093,3565.0,-246.09299999999985,3.592829033088298,-242.50017096691155,-16.241245434121037,0.38951166878446974
2015-07-29,IF,current,IF1508,2015-08-21,3930.379,3821.4,-108.97899999999981,1.301601521529344,-107.67739847847047,-43.4765577974317,1.0
2015-07-29,IF,next,IF1509,2015-09-18,3930.379,3762.0,-168.3789999999999,2.063739850504885,-166.31526014949503,-30.284496464722853,0.6491323164829603
2015-07-29,IF,q1,IF1509,2015-09-18,3930.379,3762.0,-168.3789999999999,2.063739850504885,-166.31526014949503,-30.284496464722853,0.6491323164829603
2015-07-29,IF,q2,IF1512,2015-12-18,3930.379,3719.8,-210.57899999999972,3.45065406596172,-207.128345934038,-13.545954933859722,0.5186922979596372
2015-07-30,IF,current,IF1508,2015-08-21,3815.412,3653.8,-161.61199999999963,1.2635285463466288,-160.348471453653,-69.72580976192842,1.0
2015-07-30,IF,next,IF1509,2015-09-18,3815.412,3589.8,-225.61199999999963,2.003373667143689,-223.60862633285595,-42.78287566925534,0.6491323164829603
2015-07-30,IF,q1,IF1509,2015-09-18,3815.412,3589.8,-225.61199999999963,2.003373667143689,-223.60862633285595,-42.78287566925534,0.6491323164829603
2015-07-30,IF,q2,IF1512,2015-12-18,3815.412,3543.6,-271.8119999999999,3.349719437010817,-268.46228056298906,-18.214430026825767,0.5186922979596372
2015-07-31,IF,current,IF1508,2015-08-21,3816.699,3693.4,-123.29899999999998,1.2286378972737226,-122.07036210272625,-55.589899827916724,1.0
2015-07-31,IF,next,IF1509,2015-09-18,3816.699,3625.2,-191.49900000000025,1.9687325797617523,-189.5302674202385,-36.9902655160576,0.6428381431895703
2015-07-31,IF,q1,IF1509,2015-09-18,3816.699,3625.2,-191.49900000000025,1.9687325797617523,-189.5302674202385,-36.9902655160576,0.6428381431895703
2015-07-31,IF,q2,IF1512,2015-12-18,3816.699,3547.8,-268.8989999999999,3.3155324937700166,-265.58346750622985,-18.141698894361312,0.5135654365518222
2015-08-03,IF,current,IF1508,2015-08-21,3829.235,3638.2,-191.0350000000003,1.232673375229994,-189.8023266247703,-100.51013847419358,1.0
2015-08-03,IF,next,IF1509,2015-09-18,3829.235,3528.8,-300.43499999999995,1.9751989088120374,-298.4598010911879,-61.8456072581892,0.6428381431895703
2015-08-03,IF,q1,IF1509,2015-09-18,3829.235,3528.8,-300.43499999999995,1.9751989088120374,-298.4598010911879,-61.8456072581892,0.6428381431895703
2015-08-03,IF,q2,IF1512,2015-12-18,3829.235,3430.0,-399.2350000000001,3.326422405534581,-395.90857759446556,-27.545787231859176,0.5135654365518222
2015-08-04,IF,current,IF1508,2015-08-21,3948.155,3837.6,-110.55500000000029,1.2709550470997935,-109.2840449529005,-59.430106717469265,1.0
2015-08-04,IF,next,IF1509,2015-09-18,3948.155,3752.0,-196.1550000000002,2.0365403136189837,-194.11845968638121,-39.87980196405614,0.6428381431895703
2015-08-04,IF,q1,IF1509,2015-09-18,3948.155,3752.0,-196.1550000000002,2.0365403136189837,-194.11845968638121,-39.87980196405614,0.6428381431895703
2015-08-04,IF,q2,IF1512,2015-12-18,3948.155,3640.0,-308.1550000000002,3.4297271524268904,-304.7252728475733,-20.714203400695695,0.5135654365518222
2015-08-05,IF,current,IF1508,2015-08-21,3866.9,3762.6,-104.30000000000018,1.2447981580333576,-103.05520184196682,-60.79667930434891,1.0
2015-08-05,IF,next,IF1509,2015-09-18,3866.9,3666.8,-200.0999999999999,1.9946272977462254,-198.10537270225367,-42.498490120299905,0.6428381431895703
2015-08-05,IF,q1,IF1509,2015-09-18,3866.9,3666.8,-200.0999999999999,1.9946272977462254,-198.10537270225367,-42.498490120299905,0.6428381431895703
2015-08-05,IF,q2,IF1512,2015-12-18,3866.9,3550.2,-316.7000000000003,3.3591416562215874,-313.3408583437787,-21.90852722402369,0.5135654365518222
2015-08-06,IF,current,IF1508,2015-08-21,3831.852,3766.8,-65.05199999999968,1.193872451280629,-63.858127548719054,-40.551699378929484,1.0
2015-08-06,IF,next,IF1509,2015-09-18,3831.852,3680.6,-151.25199999999995,1.9369054463586066,-149.31509455364136,-33.076488384109254,0.6355279784022225
2015-08-06,IF,q1,IF1509,2015-09-18,3831.852,3680.6,-151.25199999999995,1.9369054463586066,-149.31509455364136,-33.076488384109254,0.6355279784022225
2015-08-06,IF,q2,IF1512,2015-12-18,3831.852,3573.0,-258.85199999999986,3.289052404788494,-255.56294759521137,-18.166749505736092,0.507702379123609
2015-08-07,IF,current,IF1508,2015-08-21,3906.945,3854.6,-52.345000000000255,1.1533432674116866,-51.19165673258857,-34.160696450980836,1.0
2015-08-07,IF,next,IF1509,2015-09-18,3906.945,3799.4,-107.54500000000007,1.9109375181695263,-105.63406248183054,-23.496883240015475,0.6233354921855001
2015-08-07,IF,q1,IF1509,2015-09-18,3906.945,3799.4,-107.54500000000007,1.9109375181695263,-105.63406248183054,-23.496883240015475,0.6233354921855001
2015-08-07,IF,q2,IF1512,2015-12-18,3906.945,3722.6,-184.34500000000025,3.289582569831975,-181.0554174301683,-12.717901294667008,0.49813569333792646
2015-08-10,IF,current,IF1508,2015-08-21,4084.365,4032.8,-51.5649999999996,1.2057182464564853,-50.359281753543115,-40.91241921113861,1.0
2015-08-10,IF,next,IF1509,2015-09-18,4084.365,3990.4,-93.96499999999969,1.9977159433773644,-91.96728405662233,-21.073519466317038,0.6233354921855001
2015-08-10,IF,q1,IF1509,2015-09-18,4084.365,3990.4,-93.96499999999969,1.9977159433773644,-91.96728405662233,-21.073519466317038,0.6233354921855001
2015-08-10,IF,q2,IF1512,2015-12-18,4084.365,3932.0,-152.36499999999978,3.438967252631346,-148.92603274736842,-10.237539410897876,0.49813569333792646
2015-08-11,IF,current,IF1508,2015-08-21,4066.669,4001.2,-65.46900000000005,1.2004943279062836,-64.26850567209377,-57.6835846987159,1.0
