date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio,calibre
2015-01-12,IM,current,IM1501,2015-01-16,6062.283,,,0.0,,,,p
2015-01-12,IM,next,IM1502,2015-02-20,6062.283,,,0.0,,,,y
2015-01-12,IM,next,IM1502,2015-02-20,6062.283,,,0.0,,,,d
2015-01-12,IM,next,IM1502,2015-02-20,6062.283,,,0.0,,,,p
2015-01-12,IM,q1,IM1503,2015-03-20,6062.283,,,0.058707232133296414,,,0.0,y
2015-01-12,IM,q1,IM1503,2015-03-20,6062.283,,,0.058707232133296414,,,0.0,d
2015-01-12,IM,q1,IM1503,2015-03-20,6062.283,,,0.058707232133296414,,,0.0,p
2015-01-12,IM,q2,IM1506,2015-06-19,6062.283,,,5.871475166098508,,,0.0,y
2015-01-12,IM,q2,IM1506,2015-06-19,6062.283,,,5.8673618554998095,,,0.0,d
2015-01-12,IM,q2,IM1506,2015-06-19,6062.283,,,5.946095858821513,,,0.0,p
2015-01-13,IM,current,IM1501,2015-01-16,6167.117,,,0.0,,,,y
2015-01-13,IM,current,IM1501,2015-01-16,6167.117,,,0.0,,,,d
2015-01-13,IM,current,IM1501,2015-01-16,6167.117,,,0.0,,,,p
2015-01-13,IM,next,IM1502,2015-02-20,6167.117,,,0.0,,,,y
2015-01-13,IM,next,IM1502,2015-02-20,6167.117,,,0.0,,,,d
2015-01-13,IM,next,IM1502,2015-02-20,6167.117,,,0.0,,,,p
2015-01-13,IM,q1,IM1503,2015-03-20,6167.117,,,0.059722446034307305,,,0.0,y
2015-01-13,IM,q1,IM1503,2015-03-20,6167.117,,,0.059722446034307305,,,0.0,d
2015-01-13,IM,q1,IM1503,2015-03-20,6167.117,,,0.059722446034307305,,,0.0,p
2015-01-13,IM,q2,IM1506,2015-06-19,6167.117,,,5.973009559587358,,,0.0,y
2015-01-13,IM,q2,IM1506,2015-06-19,6167.117,,,5.968825118227641,,,0.0,d
2015-01-13,IM,q2,IM1506,2015-06-19,6167.117,,,6.048920654903071,,,0.0,p
2015-01-14,IM,current,IM1501,2015-01-16,6139.29,,,0.0,,,,y
2015-01-14,IM,current,IM1501,2015-01-16,6139.29,,,0.0,,,,d
2015-01-14,IM,current,IM1501,2015-01-16,6139.29,,,0.0,,,,p
2015-01-14,IM,next,IM1502,2015-02-20,6139.29,,,0.0,,,,y
2015-01-14,IM,next,IM1502,2015-02-20,6139.29,,,0.0,,,,d
2015-01-14,IM,next,IM1502,2015-02-20,6139.29,,,0.0,,,,p
2015-01-14,IM,q1,IM1503,2015-03-20,6139.29,,,0.0594529689827455,,,0.0,y
2015-01-14,IM,q1,IM1503,2015-03-20,6139.29,,,0.0594529689827455,,,0.0,d
2015-01-14,IM,q1,IM1503,2015-03-20,6139.29,,,0.0594529689827455,,,0.0,p
2015-01-14,IM,q2,IM1506,2015-06-19,6139.29,,,5.9460584028289185,,,0.0,y
2015-01-14,IM,q2,IM1506,2015-06-19,6139.29,,,5.941892842325478,,,0.0,d
2015-01-14,IM,q2,IM1506,2015-06-19,6139.29,,,6.021626975366265,,,0.0,p
2015-01-15,IM,current,IM1501,2015-01-16,6168.658,,,0.0,,,,y
2015-01-15,IM,current,IM1501,2015-01-16,6168.658,,,0.0,,,,d
2015-01-15,IM,current,IM1501,2015-01-16,6168.658,,,0.0,,,,p
2015-01-15,IM,next,IM1502,2015-02-20,6168.658,,,0.0,,,,y
2015-01-15,IM,next,IM1502,2015-02-20,6168.658,,,0.0,,,,d
2015-01-15,IM,next,IM1502,2015-02-20,6168.658,,,0.0,,,,p
2015-01-15,IM,q1,IM1503,2015-03-20,6168.658,,,0.05973736909954814,,,0.0,y
2015-01-15,IM,q1,IM1503,2015-03-20,6168.658,,,0.05973736909954814,,,0.0,d
2015-01-15,IM,q1,IM1503,2015-03-20,6168.658,,,0.05973736909954814,,,0.0,p
2015-01-15,IM,q2,IM1506,2015-06-19,6168.658,,,5.974502057253825,,,0.0,y
2015-01-15,IM,q2,IM1506,2015-06-19,6168.658,,,5.970316570312495,,,0.0,d
2015-01-15,IM,q2,IM1506,2015-06-19,6168.658,,,6.050432120751571,,,0.0,p
2015-01-16,IM,current,IM1501,2015-01-16,6252.075,,,0.0,,,,y
2015-01-16,IM,current,IM1501,2015-01-16,6252.075,,,0.0,,,,d
2015-01-16,IM,current,IM1501,2015-01-16,6252.075,,,0.0,,,,p
2015-01-16,IM,next,IM1502,2015-02-20,6252.075,,,0.0,,,,y
2015-01-16,IM,next,IM1502,2015-02-20,6252.075,,,0.0,,,,d
2015-01-16,IM,next,IM1502,2015-02-20,6252.075,,,0.0,,,,p
2015-01-16,IM,q1,IM1503,2015-03-20,6252.075,,,0.06054518047735138,,,0.0,y
2015-01-16,IM,q1,IM1503,2015-03-20,6252.075,,,0.06054518047735138,,,0.0,d
2015-01-16,IM,q1,IM1503,2015-03-20,6252.075,,,0.06054518047735138,,,0.0,p
2015-01-16,IM,q2,IM1506,2015-06-19,6252.075,,,6.055293541902501,,,0.0,y
2015-01-16,IM,q2,IM1506,2015-06-19,6252.075,,,6.0510514558168875,,,0.0,d
2015-01-16,IM,q2,IM1506,2015-06-19,6252.075,,,6.132250385958806,,,0.0,p
2015-01-19,IM,current,IM1502,2015-02-20,6109.285,,,0.0,,,,y
2015-01-19,IM,current,IM1502,2015-02-20,6109.285,,,0.0,,,,d
2015-01-19,IM,current,IM1502,2015-02-20,6109.285,,,0.0,,,,p
