date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio,calibre
2015-01-07,IH,next,IH1502,2015-02-20,2635.231,,,0.0,,,,d
2015-01-07,IH,next,IH1502,2015-02-20,2635.231,,,0.0,,,,p
2015-01-07,IH,q1,IH1503,2015-03-20,2635.231,,,0.0,,,,y
2015-01-07,IH,q1,IH1503,2015-03-20,2635.231,,,0.0,,,,d
2015-01-07,IH,q1,IH1503,2015-03-20,2635.231,,,0.0,,,,p
2015-01-07,IH,q2,IH1506,2015-06-19,2635.231,,,21.040440637961833,,,0.0,y
2015-01-07,IH,q2,IH1506,2015-06-19,2635.231,,,21.010560015030855,,,0.0,d
2015-01-07,IH,q2,IH1506,2015-06-19,2635.231,,,20.895830075196596,,,0.0,p
2015-01-08,IH,current,IH1501,2015-01-16,2558.107,,,0.0,,,,y
2015-01-08,IH,current,IH1501,2015-01-16,2558.107,,,0.0,,,,d
2015-01-08,IH,current,IH1501,2015-01-16,2558.107,,,0.0,,,,p
2015-01-08,IH,next,IH1502,2015-02-20,2558.107,,,0.0,,,,y
2015-01-08,IH,next,IH1502,2015-02-20,2558.107,,,0.0,,,,d
2015-01-08,IH,next,IH1502,2015-02-20,2558.107,,,0.0,,,,p
2015-01-08,IH,q1,IH1503,2015-03-20,2558.107,,,0.0,,,,y
2015-01-08,IH,q1,IH1503,2015-03-20,2558.107,,,0.0,,,,d
2015-01-08,IH,q1,IH1503,2015-03-20,2558.107,,,0.0,,,,p
2015-01-08,IH,q2,IH1506,2015-06-19,2558.107,,,20.42466048671051,,,0.0,y
2015-01-08,IH,q2,IH1506,2015-06-19,2558.107,,,20.395654365165914,,,0.0,d
2015-01-08,IH,q2,IH1506,2015-06-19,2558.107,,,20.284282169635578,,,0.0,p
2015-01-09,IH,current,IH1501,2015-01-16,2569.019,,,0.0,,,,y
2015-01-09,IH,current,IH1501,2015-01-16,2569.019,,,0.0,,,,d
2015-01-09,IH,current,IH1501,2015-01-16,2569.019,,,0.0,,,,p
2015-01-09,IH,next,IH1502,2015-02-20,2569.019,,,0.0,,,,y
2015-01-09,IH,next,IH1502,2015-02-20,2569.019,,,0.0,,,,d
2015-01-09,IH,next,IH1502,2015-02-20,2569.019,,,0.0,,,,p
2015-01-09,IH,q1,IH1503,2015-03-20,2569.019,,,0.0,,,,y
2015-01-09,IH,q1,IH1503,2015-03-20,2569.019,,,0.0,,,,d
2015-01-09,IH,q1,IH1503,2015-03-20,2569.019,,,0.0,,,,p
2015-01-09,IH,q2,IH1506,2015-06-19,2569.019,,,20.51178502654836,,,0.0,y
2015-01-09,IH,q2,IH1506,2015-06-19,2569.019,,,20.48265517491808,,,0.0,d
2015-01-09,IH,q2,IH1506,2015-06-19,2569.019,,,20.370807904108396,,,0.0,p
