date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio,calibre
2016-05-12,IH,q1,IH1606,2016-06-17,2084.838,2051.8,-33.03800000000001,7.374843299486155,-25.663156700513856,-12.48038909136606,1.0,y
2016-05-12,IH,q1,IH1606,2016-06-17,2084.838,2051.8,-33.03800000000001,7.374843299486155,-25.663156700513856,-12.48038909136606,1.0,d
2016-05-12,IH,q1,IH1606,2016-06-17,2084.838,2051.8,-33.03800000000001,7.374843299486155,-25.663156700513856,-12.48038909136606,1.0,p
2016-05-12,IH,q2,IH1609,2016-09-16,2084.838,1998.8,-86.03800000000024,34.198849905261234,-51.839150094739004,-7.1461923534033955,0.9552467552124235,y
2016-05-12,IH,q2,IH1609,2016-09-16,2084.838,1998.8,-86.03800000000024,34.77755078584835,-51.26044921415189,-7.066416589329302,0.9393513823086951,d
2016-05-12,IH,q2,IH1609,2016-09-16,2084.838,1998.8,-86.03800000000024,34.582084376081376,-51.45591562391886,-7.093362258003869,0.9446608263610762,p
2016-05-13,IH,current,IH1605,2016-05-20,2076.188,2073.2,-2.9880000000002838,0.0,-2.9880000000002838,,,y
2016-05-13,IH,current,IH1605,2016-05-20,2076.188,2073.2,-2.9880000000002838,0.0,-2.9880000000002838,,,d
2016-05-13,IH,current,IH1605,2016-05-20,2076.188,2073.2,-2.9880000000002838,0.0,-2.9880000000002838,,,p
2016-05-13,IH,next,IH1606,2016-06-17,2076.188,2049.0,-27.188000000000102,7.34424504938684,-19.84375495061326,-9.967402562462468,1.0,y
2016-05-13,IH,next,IH1606,2016-06-17,2076.188,2049.0,-27.188000000000102,7.34424504938684,-19.84375495061326,-9.967402562462468,1.0,d
2016-05-13,IH,next,IH1606,2016-06-17,2076.188,2049.0,-27.188000000000102,7.34424504938684,-19.84375495061326,-9.967402562462468,1.0,p
2016-05-13,IH,q1,IH1606,2016-06-17,2076.188,2049.0,-27.188000000000102,7.34424504938684,-19.84375495061326,-9.967402562462468,1.0,y
2016-05-13,IH,q1,IH1606,2016-06-17,2076.188,2049.0,-27.188000000000102,7.34424504938684,-19.84375495061326,-9.967402562462468,1.0,d
2016-05-13,IH,q1,IH1606,2016-06-17,2076.188,2049.0,-27.188000000000102,7.34424504938684,-19.84375495061326,-9.967402562462468,1.0,p
2016-05-13,IH,q2,IH1609,2016-09-16,2076.188,1993.0,-83.1880000000001,34.0569587599154,-49.1310412400847,-6.855065535334626,0.9552467552124235,y
2016-05-13,IH,q2,IH1609,2016-09-16,2076.188,1993.0,-83.1880000000001,34.63325860856762,-48.55474139143248,-6.7746566302758175,0.9393513823086951,d
2016-05-13,IH,q2,IH1609,2016-09-16,2076.188,1993.0,-83.1880000000001,34.438603189604,-48.7493968103961,-6.801816153463674,0.9446608263610762,p
2016-05-16,IH,current,IH1605,2016-05-20,2082.616,2077.8,-4.8159999999998035,0.0,-4.8159999999998035,,,y
2016-05-16,IH,current,IH1605,2016-05-20,2082.616,2077.8,-4.8159999999998035,0.0,-4.8159999999998035,,,d
2016-05-16,IH,current,IH1605,2016-05-20,2082.616,2077.8,-4.8159999999998035,0.0,-4.8159999999998035,,,p
2016-05-16,IH,next,IH1606,2016-06-17,2082.616,2056.0,-26.615999999999985,7.3669832634490815,-19.249016736550903,-10.542466645376956,1.0,y
2016-05-16,IH,next,IH1606,2016-06-17,2082.616,2056.0,-26.615999999999985,7.3669832634490815,-19.249016736550903,-10.542466645376956,1.0,d
2016-05-16,IH,next,IH1606,2016-06-17,2082.616,2056.0,-26.615999999999985,7.3669832634490815,-19.249016736550903,-10.542466645376956,1.0,p
2016-05-16,IH,q1,IH1606,2016-06-17,2082.616,2056.0,-26.615999999999985,7.3669832634490815,-19.249016736550903,-10.542466645376956,1.0,y
2016-05-16,IH,q1,IH1606,2016-06-17,2082.616,2056.0,-26.615999999999985,7.3669832634490815,-19.249016736550903,-10.542466645376956,1.0,d
2016-05-16,IH,q1,IH1606,2016-06-17,2082.616,2056.0,-26.615999999999985,7.3669832634490815,-19.249016736550903,-10.542466645376956,1.0,p
2016-05-16,IH,q2,IH1609,2016-09-16,2082.616,1999.6,-83.01600000000008,34.162401104688,-48.853598895312075,-6.9610557953319985,0.9552467552124235,y
2016-05-16,IH,q2,IH1609,2016-09-16,2082.616,1999.6,-83.01600000000008,34.74048521152259,-48.27551478847749,-6.878685697466875,0.9393513823086951,d
2016-05-16,IH,q2,IH1609,2016-09-16,2082.616,1999.6,-83.01600000000008,34.54522712794811,-48.47077287205197,-6.906507648049559,0.9446608263610762,p
2016-05-17,IH,current,IH1605,2016-05-20,2075.465,2075.6,0.13499999999976353,0.0,0.13499999999976353,,,y
2016-05-17,IH,current,IH1605,2016-05-20,2075.465,2075.6,0.13499999999976353,0.0,0.13499999999976353,,,d
2016-05-17,IH,current,IH1605,2016-05-20,2075.465,2075.6,0.13499999999976353,0.0,0.13499999999976353,,,p
2016-05-17,IH,next,IH1606,2016-06-17,2075.465,2053.4,-22.065000000000055,7.341687530910331,-14.723312469089723,-8.35259234361666,1.0,y
2016-05-17,IH,next,IH1606,2016-06-17,2075.465,2053.4,-22.065000000000055,7.341687530910331,-14.723312469089723,-8.35259234361666,1.0,d
2016-05-17,IH,next,IH1606,2016-06-17,2075.465,2053.4,-22.065000000000055,7.341687530910331,-14.723312469089723,-8.35259234361666,1.0,p
2016-05-17,IH,q1,IH1606,2016-06-17,2075.465,2053.4,-22.065000000000055,7.341687530910331,-14.723312469089723,-8.35259234361666,1.0,y
2016-05-17,IH,q1,IH1606,2016-06-17,2075.465,2053.4,-22.065000000000055,7.341687530910331,-14.723312469089723,-8.35259234361666,1.0,d
2016-05-17,IH,q1,IH1606,2016-06-17,2075.465,2053.4,-22.065000000000055,7.341687530910331,-14.723312469089723,-8.35259234361666,1.0,p
2016-05-17,IH,q2,IH1609,2016-09-16,2075.465,1995.0,-80.46500000000015,34.04509895666858,-46.41990104333156,-6.691474543672681,0.9552467552124235,y
2016-05-17,IH,q2,IH1609,2016-09-16,2075.465,1995.0,-80.46500000000015,34.621198117911675,-45.84380188208847,-6.608429281070961,0.9393513823086951,d
2016-05-17,IH,q2,IH1609,2016-09-16,2075.465,1995.0,-80.46500000000015,34.42661048465335,-46.03838951534679,-6.636479280428912,0.9446608263610762,p
2016-05-18,IH,current,IH1605,2016-05-20,2078.759,2068.8,-9.958999999999833,0.0,-9.958999999999833,,,y
2016-05-18,IH,current,IH1605,2016-05-20,2078.759,2068.8,-9.958999999999833,0.0,-9.958999999999833,,,d
2016-05-18,IH,current,IH1605,2016-05-20,2078.759,2068.8,-9.958999999999833,0.0,-9.958999999999833,,,p
2016-05-18,IH,next,IH1606,2016-06-17,2078.759,2049.0,-29.759000000000015,7.353339627537745,-22.40566037246227,-13.113699144455465,1.0,y
2016-05-18,IH,next,IH1606,2016-06-17,2078.759,2049.0,-29.759000000000015,7.353339627537745,-22.40566037246227,-13.113699144455465,1.0,d
2016-05-18,IH,next,IH1606,2016-06-17,2078.759,2049.0,-29.759000000000015,7.353339627537745,-22.40566037246227,-13.113699144455465,1.0,p
2016-05-18,IH,q1,IH1606,2016-06-17,2078.759,2049.0,-29.759000000000015,7.353339627537745,-22.40566037246227,-13.113699144455465,1.0,y
2016-05-18,IH,q1,IH1606,2016-06-17,2078.759,2049.0,-29.759000000000015,7.353339627537745,-22.40566037246227,-13.113699144455465,1.0,d
2016-05-18,IH,q1,IH1606,2016-06-17,2078.759,2049.0,-29.759000000000015,7.353339627537745,-22.40566037246227,-13.113699144455465,1.0,p
2016-05-18,IH,q2,IH1609,2016-09-16,2078.759,1993.0,-85.75900000000001,34.099132417104315,-51.6598675828957,-7.496467116077202,0.9552467552124235,y
2016-05-18,IH,q2,IH1609,2016-09-16,2078.759,1993.0,-85.75900000000001,34.6761459135143,-51.08285408648572,-7.41273552899117,0.9393513823086951,d
2016-05-18,IH,q2,IH1609,2016-09-16,2078.759,1993.0,-85.75900000000001,34.481249447457564,-51.27775055254245,-7.441017346525632,0.9446608263610762,p
2016-05-19,IH,current,IH1605,2016-05-20,2073.804,2066.4,-7.403999999999996,0.0,-7.403999999999996,,,y
2016-05-19,IH,current,IH1605,2016-05-20,2073.804,2066.4,-7.403999999999996,0.0,-7.403999999999996,,,d
2016-05-19,IH,current,IH1605,2016-05-20,2073.804,2066.4,-7.403999999999996,0.0,-7.403999999999996,,,p
2016-05-19,IH,next,IH1606,2016-06-17,2073.804,2050.4,-23.403999999999996,7.3358119594172715,-16.068188040582726,-9.752008344639716,1.0,y
2016-05-19,IH,next,IH1606,2016-06-17,2073.804,2050.4,-23.403999999999996,7.3358119594172715,-16.068188040582726,-9.752008344639716,1.0,d
2016-05-19,IH,next,IH1606,2016-06-17,2073.804,2050.4,-23.403999999999996,7.3358119594172715,-16.068188040582726,-9.752008344639716,1.0,p
2016-05-19,IH,q1,IH1606,2016-06-17,2073.804,2050.4,-23.403999999999996,7.3358119594172715,-16.068188040582726,-9.752008344639716,1.0,y
2016-05-19,IH,q1,IH1606,2016-06-17,2073.804,2050.4,-23.403999999999996,7.3358119594172715,-16.068188040582726,-9.752008344639716,1.0,d
2016-05-19,IH,q1,IH1606,2016-06-17,2073.804,2050.4,-23.403999999999996,7.3358119594172715,-16.068188040582726,-9.752008344639716,1.0,p
2016-05-19,IH,q2,IH1609,2016-09-16,2073.804,1993.8,-80.00400000000013,34.01785257604205,-45.98614742395808,-6.744828910922752,0.9552467552124235,y
2016-05-19,IH,q2,IH1609,2016-09-16,2073.804,1993.8,-80.00400000000013,34.593490683638464,-45.41050931636167,-6.660399560611004,0.9393513823086951,d
2016-05-19,IH,q2,IH1609,2016-09-16,2073.804,1993.8,-80.00400000000013,34.39905877936562,-45.604941220634515,-6.6889170599582535,0.9446608263610762,p
2016-05-20,IH,current,IH1605,2016-05-20,2083.117,2077.8,-5.317000000000007,0.0,-5.317000000000007,,,y
2016-05-20,IH,current,IH1605,2016-05-20,2083.117,2077.8,-5.317000000000007,0.0,-5.317000000000007,,,d
2016-05-20,IH,current,IH1605,2016-05-20,2083.117,2077.8,-5.317000000000007,0.0,-5.317000000000007,,,p
2016-05-20,IH,next,IH1606,2016-06-17,2083.117,2061.0,-22.11700000000019,7.368755485795875,-14.748244514204314,-9.22914563622785,1.0,y
2016-05-20,IH,next,IH1606,2016-06-17,2083.117,2061.0,-22.11700000000019,7.368755485795875,-14.748244514204314,-9.22914563622785,1.0,d
2016-05-20,IH,next,IH1606,2016-06-17,2083.117,2061.0,-22.11700000000019,7.368755485795875,-14.748244514204314,-9.22914563622785,1.0,p
2016-05-20,IH,q1,IH1606,2016-06-17,2083.117,2061.0,-22.11700000000019,7.368755485795875,-14.748244514204314,-9.22914563622785,1.0,y
2016-05-20,IH,q1,IH1606,2016-06-17,2083.117,2061.0,-22.11700000000019,7.368755485795875,-14.748244514204314,-9.22914563622785,1.0,d
2016-05-20,IH,q1,IH1606,2016-06-17,2083.117,2061.0,-22.11700000000019,7.368755485795875,-14.748244514204314,-9.22914563622785,1.0,p
2016-05-20,IH,q2,IH1609,2016-09-16,2083.117,2001.8,-81.31700000000023,34.17061930859763,-47.146380691402605,-6.941935890231023,0.9552467552124235,y
2016-05-20,IH,q2,IH1609,2016-09-16,2083.117,2001.8,-81.31700000000023,34.74884248098128,-46.56815751901895,-6.8567970495805195,0.9393513823086951,d
2016-05-20,IH,q2,IH1609,2016-09-16,2083.117,2001.8,-81.31700000000023,34.553537425569516,-46.76346257443072,-6.885554191779428,0.9446608263610762,p
2016-05-23,IH,current,IH1606,2016-06-17,2082.412,2064.2,-18.21199999999999,7.366261639978531,-10.845738360021457,-7.604056260543701,1.0,y
2016-05-23,IH,current,IH1606,2016-06-17,2082.412,2064.2,-18.21199999999999,7.366261639978531,-10.845738360021457,-7.604056260543701,1.0,d
2016-05-23,IH,current,IH1606,2016-06-17,2082.412,2064.2,-18.21199999999999,7.366261639978531,-10.845738360021457,-7.604056260543701,1.0,p
2016-05-23,IH,next,IH1607,2016-07-15,2082.412,2040.4,-42.011999999999716,27.811897493165365,-14.200102506834352,-4.696148445815808,1.0,y
2016-05-23,IH,next,IH1607,2016-07-15,2082.412,2040.4,-42.011999999999716,27.811897493165365,-14.200102506834352,-4.696148445815808,1.0,d
2016-05-23,IH,next,IH1607,2016-07-15,2082.412,2040.4,-42.011999999999716,27.811897493165365,-14.200102506834352,-4.696148445815808,1.0,p
2016-05-23,IH,q1,IH1609,2016-09-16,2082.412,2000.6,-81.8119999999999,34.15905477016192,-47.652945229837975,-7.200422249449057,0.9552467552124235,y
2016-05-23,IH,q1,IH1609,2016-09-16,2082.412,2000.6,-81.8119999999999,34.73708225150348,-47.07491774849642,-7.113081542230006,0.9393513823086951,d
2016-05-23,IH,q1,IH1609,2016-09-16,2082.412,2000.6,-81.8119999999999,34.541843294186094,-47.270156705813804,-7.142582403623712,0.9446608263610762,p
2016-05-23,IH,q2,IH1612,2016-12-16,2082.412,1972.4,-110.01199999999972,34.732878864802096,-75.27912113519761,-6.374269209417406,0.9394650629835304,y
2016-05-23,IH,q2,IH1612,2016-12-16,2082.412,1972.4,-110.01199999999972,35.449764069434316,-74.56223593056541,-6.3135668630341755,0.9204666684497155,d
2016-05-23,IH,q2,IH1612,2016-12-16,2082.412,1972.4,-110.01199999999972,35.19472932891791,-74.81727067108181,-6.335161962303279,0.9271367290644221,p
2016-05-24,IH,current,IH1606,2016-06-17,2066.643,2052.8,-13.842999999999847,7.310480853178983,-6.5325191468208645,-4.807251600360294,1.0,y
2016-05-24,IH,current,IH1606,2016-06-17,2066.643,2052.8,-13.842999999999847,7.310480853178983,-6.5325191468208645,-4.807251600360294,1.0,d
2016-05-24,IH,current,IH1606,2016-06-17,2066.643,2052.8,-13.842999999999847,7.310480853178983,-6.5325191468208645,-4.807251600360294,1.0,p
2016-05-24,IH,next,IH1607,2016-07-15,2066.643,2026.8,-39.843000000000075,27.60129276577726,-12.241707234222815,-4.157823488932133,1.0,y
2016-05-24,IH,next,IH1607,2016-07-15,2066.643,2026.8,-39.843000000000075,27.60129276577726,-12.241707234222815,-4.157823488932133,1.0,d
2016-05-24,IH,next,IH1607,2016-07-15,2066.643,2026.8,-39.843000000000075,27.60129276577726,-12.241707234222815,-4.157823488932133,1.0,p
2016-05-24,IH,q1,IH1609,2016-09-16,2066.643,1988.8,-77.84300000000007,33.90038639201645,-43.942613607983624,-6.748627338872973,0.9552467552124235,y
2016-05-24,IH,q1,IH1609,2016-09-16,2066.643,1988.8,-77.84300000000007,34.4740367782619,-43.36896322173818,-6.660527147243321,0.9393513823086951,d
2016-05-24,IH,q1,IH1609,2016-09-16,2066.643,1988.8,-77.84300000000007,34.28027626186684,-43.562723738133236,-6.690284537866538,0.9446608263610762,p
2016-05-24,IH,q2,IH1612,2016-12-16,2066.643,1958.0,-108.64300000000003,34.46986522157537,-74.17313477842467,-6.359263442549805,0.9394650629835304,y
2016-05-24,IH,q2,IH1612,2016-12-16,2066.643,1958.0,-108.64300000000003,35.18132183532747,-73.46167816467255,-6.298266424582188,0.9204666684497155,d
2016-05-24,IH,q2,IH1612,2016-12-16,2066.643,1958.0,-108.64300000000003,34.92821833743894,-73.71478166256108,-6.319966354430267,0.9271367290644221,p
2016-05-25,IH,current,IH1606,2016-06-17,2071.907,2057.0,-14.907000000000153,7.329101568615145,-7.577898431385008,-5.804215795768421,1.0,y
2016-05-25,IH,current,IH1606,2016-06-17,2071.907,2057.0,-14.907000000000153,7.329101568615145,-7.577898431385008,-5.804215795768421,1.0,d
2016-05-25,IH,current,IH1606,2016-06-17,2071.907,2057.0,-14.907000000000153,7.329101568615145,-7.577898431385008,-5.804215795768421,1.0,p
2016-05-25,IH,next,IH1607,2016-07-15,2071.907,2033.8,-38.1070000000002,27.67159673463838,-10.435403265361817,-3.604638087517558,1.0,y
2016-05-25,IH,next,IH1607,2016-07-15,2071.907,2033.8,-38.1070000000002,27.67159673463838,-10.435403265361817,-3.604638087517558,1.0,d
2016-05-25,IH,next,IH1607,2016-07-15,2071.907,2033.8,-38.1070000000002,27.67159673463838,-10.435403265361817,-3.604638087517558,1.0,p
2016-05-25,IH,q1,IH1609,2016-09-16,2071.907,1995.6,-76.30700000000024,33.98673494566968,-42.32026505433056,-6.539825110533459,0.9552467552124235,y
2016-05-25,IH,q1,IH1609,2016-09-16,2071.907,1995.6,-76.30700000000024,34.56184649169609,-41.745153508304156,-6.450952110205302,0.9393513823086951,d
