product,view_date,contract,expire,dpv_truth_pts,v0_pts,v1_pts,v2_pts,v0_err,v1_err,v2_err,announced_coverage
IM,2024-10-31,IM202412,2024-12-20,2.79,2.79,2.79,2.79,0.0,0.0,0.0,1.0
IM,2024-10-31,IM202503,2025-03-21,4.91,4.91,4.91,4.91,0.0,0.0,0.0,1.0
IM,2024-11-29,IM202412,2024-12-20,1.04,1.04,1.04,1.04,0.0,0.0,0.0,1.0
IM,2024-11-29,IM202501,2025-01-17,2.02,2.02,2.02,2.02,0.0,0.0,0.0,1.0
IM,2024-11-29,IM202503,2025-03-21,3.19,3.19,3.19,3.19,0.0,0.0,0.0,1.0
IM,2024-11-29,IM202506,2025-06-20,41.38,43.82,43.11,54.27,2.44,1.72,12.89,0.124
IM,2024-12-31,IM202501,2025-01-17,0.73,0.73,0.73,0.73,0.0,0.0,0.0,1.0
IM,2024-12-31,IM202502,2025-02-21,1.72,1.72,1.72,1.72,0.0,0.0,0.0,1.0
IM,2024-12-31,IM202503,2025-03-21,1.86,1.86,1.86,1.86,0.0,0.0,0.0,1.0
IM,2024-12-31,IM202506,2025-06-20,38.63,40.97,40.29,51.03,2.35,1.66,12.41,0.076
IM,2025-01-27,IM202502,2025-02-21,0.06,0.06,0.06,0.06,0.0,0.0,0.0,1.0
IM,2025-01-27,IM202503,2025-03-21,0.19,0.19,0.19,0.19,0.0,0.0,0.0,1.0
IM,2025-01-27,IM202503,2025-03-21,0.19,0.19,0.19,0.19,0.0,0.0,0.0,1.0
IM,2025-01-27,IM202506,2025-06-20,36.27,38.57,37.9,48.45,2.3,1.63,12.17,0.018
IM,2025-02-28,IM202503,2025-03-21,0.14,0.14,0.14,0.14,0.0,0.0,0.0,1.0
IM,2025-02-28,IM202504,2025-04-18,0.44,0.58,0.56,0.51,0.14,0.12,0.07,0.8
IM,2025-02-28,IM202506,2025-06-20,38.84,41.23,40.51,51.76,2.39,1.67,12.92,0.024
IM,2025-02-28,IM202509,2025-09-19,62.57,70.66,70.06,83.46,8.08,7.49,20.89,0.014
IM,2025-03-31,IM202504,2025-04-18,0.29,0.29,0.29,0.29,0.0,0.0,0.0,1.0
IM,2025-03-31,IM202505,2025-05-16,5.56,5.49,5.49,5.46,-0.07,-0.07,-0.1,0.897
IM,2025-03-31,IM202506,2025-06-20,38.43,39.66,39.01,47.53,1.23,0.58,9.1,0.306
IM,2025-03-31,IM202509,2025-09-19,61.99,68.55,67.94,78.13,6.56,5.94,16.14,0.237
IM,2025-04-30,IM202505,2025-05-16,3.61,3.61,3.61,3.61,0.0,0.0,0.0,1.0
IM,2025-04-30,IM202506,2025-06-20,35.02,35.02,35.02,35.02,0.0,0.0,0.0,1.0
IM,2025-04-30,IM202506,2025-06-20,35.02,35.02,35.02,35.02,0.0,0.0,0.0,1.0
IM,2025-04-30,IM202509,2025-09-19,57.54,59.66,59.84,60.04,2.13,2.31,2.51,0.932
IM,2025-05-30,IM202506,2025-06-20,18.61,18.61,18.61,18.61,0.0,0.0,0.0,1.0
IM,2025-05-30,IM202507,2025-07-18,34.67,34.67,34.67,34.67,0.0,0.0,0.0,1.0
IM,2025-05-30,IM202509,2025-09-19,41.42,43.57,43.75,43.96,2.15,2.34,2.54,0.909
IM,2025-05-30,IM202512,2025-12-19,47.95,55.66,55.91,56.53,7.71,7.95,8.58,0.718
IM,2025-06-30,IM202507,2025-07-18,9.9,9.9,9.9,9.9,0.0,0.0,0.0,1.0
IM,2025-06-30,IM202508,2025-08-15,13.06,13.08,13.08,13.08,0.01,0.02,0.02,0.99
IM,2025-06-30,IM202509,2025-09-19,17.02,19.3,19.49,19.7,2.27,2.46,2.68,0.788
IM,2025-06-30,IM202512,2025-12-19,23.92,32.05,32.31,32.97,8.13,8.39,9.05,0.487
IM,2025-07-31,IM202508,2025-08-15,1.36,1.36,1.36,1.36,-0.01,-0.0,-0.0,0.957
IM,2025-07-31,IM202509,2025-09-19,5.51,7.73,7.93,8.21,2.21,2.42,2.7,0.409
IM,2025-07-31,IM202509,2025-09-19,5.51,7.73,7.93,8.21,2.21,2.42,2.7,0.409
IM,2025-07-31,IM202512,2025-12-19,12.74,20.98,21.3,22.13,8.24,8.56,9.39,0.149
IM,2025-08-29,IM202509,2025-09-19,2.96,3.02,3.0,2.98,0.07,0.05,0.02,0.959
IM,2025-08-29,IM202510,2025-10-17,6.81,6.96,7.02,7.1,0.16,0.21,0.29,0.934
IM,2025-08-29,IM202512,2025-12-19,11.03,12.5,12.48,12.76,1.47,1.45,1.73,0.776
IM,2025-08-29,IM202603,2026-03-20,12.89,15.68,15.95,16.28,2.8,3.07,3.39,0.661
IM,2025-09-30,IM202510,2025-10-17,1.59,1.59,1.59,1.59,0.0,0.0,0.0,1.0
IM,2025-09-30,IM202511,2025-11-21,4.13,4.5,4.44,4.51,0.37,0.31,0.39,0.906
IM,2025-09-30,IM202512,2025-12-19,5.89,7.01,7.05,7.31,1.12,1.16,1.42,0.708
IM,2025-09-30,IM202603,2026-03-20,7.78,10.18,10.52,10.82,2.39,2.74,3.04,0.548
IM,2025-10-31,IM202511,2025-11-21,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
IM,2025-10-31,IM202512,2025-12-19,2.74,2.74,2.74,2.74,0.0,0.0,0.0,1.0
IM,2025-10-31,IM202512,2025-12-19,2.74,2.74,2.74,2.74,0.0,0.0,0.0,1.0
IM,2025-10-31,IM202603,2026-03-20,4.62,4.62,4.62,4.62,0.0,0.0,0.0,1.0
IM,2025-11-28,IM202512,2025-12-19,1.27,1.27,1.27,1.27,0.0,0.0,0.0,1.0
IM,2025-11-28,IM202601,2026-01-16,2.43,2.43,2.43,2.43,0.0,0.0,0.0,1.0
IM,2025-11-28,IM202603,2026-03-20,3.11,3.11,3.11,3.11,0.0,0.0,0.0,1.0
IM,2025-11-28,IM202606,2026-06-19,39.74,42.47,42.99,49.94,2.73,3.25,10.2,0.112
IM,2025-12-31,IM202601,2026-01-16,0.82,0.82,0.82,0.82,0.0,0.0,0.0,1.0
IM,2025-12-31,IM202602,2026-02-20,1.51,1.51,1.51,1.51,0.0,0.0,0.0,1.0
IM,2025-12-31,IM202603,2026-03-20,1.52,1.52,1.52,1.52,0.0,0.0,0.0,1.0
IM,2025-12-31,IM202606,2026-06-19,39.46,42.29,42.83,50.02,2.83,3.37,10.56,0.06
