product,view_date,contract,expire,dpv_truth_pts,v0_pts,v1_pts,v2_pts,v0_err,v1_err,v2_err,announced_coverage
IF,2025-08-29,IF202510,2025-10-17,8.83,8.79,9.15,9.16,-0.04,0.33,0.34,0.885
IF,2025-08-29,IF202512,2025-12-19,22.96,29.65,31.36,29.87,6.69,8.4,6.91,0.696
IF,2025-08-29,IF202603,2026-03-20,32.4,43.31,46.04,43.22,10.92,13.64,10.82,0.604
IF,2025-09-30,IF202510,2025-10-17,3.38,3.38,3.38,3.38,0.0,0.0,0.0,1.0
IF,2025-09-30,IF202511,2025-11-21,11.34,11.33,11.3,11.32,-0.01,-0.04,-0.02,0.951
IF,2025-09-30,IF202512,2025-12-19,17.96,19.5,19.46,19.61,1.54,1.5,1.64,0.845
IF,2025-09-30,IF202603,2026-03-20,27.7,31.92,32.07,31.23,4.22,4.37,3.52,0.748
IF,2025-10-31,IF202511,2025-11-21,2.9,2.9,2.9,2.9,0.0,0.0,0.0,1.0
IF,2025-10-31,IF202512,2025-12-19,9.52,9.52,9.52,9.52,0.0,0.0,0.0,1.0
IF,2025-10-31,IF202512,2025-12-19,9.52,9.52,9.52,9.52,0.0,0.0,0.0,1.0
IF,2025-10-31,IF202603,2026-03-20,19.26,19.27,19.27,19.27,0.0,0.0,0.0,0.987
IF,2025-11-28,IF202512,2025-12-19,6.09,6.09,6.09,6.09,0.0,0.0,0.0,1.0
IF,2025-11-28,IF202601,2026-01-16,10.95,10.95,10.95,10.95,0.0,0.0,0.0,1.0
IF,2025-11-28,IF202603,2026-03-20,15.6,15.6,15.6,15.6,0.0,0.0,0.0,0.982
IF,2025-11-28,IF202606,2026-06-19,41.19,35.57,36.57,40.36,-5.62,-4.61,-0.82,0.312
IF,2025-12-31,IF202601,2026-01-16,4.05,4.05,4.05,4.05,0.0,0.0,0.0,1.0
IF,2025-12-31,IF202602,2026-02-20,8.8,8.8,8.8,8.8,0.0,0.0,0.0,1.0
IF,2025-12-31,IF202603,2026-03-20,8.8,8.81,8.81,8.8,0.0,0.0,0.0,0.971
IF,2025-12-31,IF202606,2026-06-19,34.98,29.23,30.26,34.14,-5.75,-4.72,-0.84,0.222
IH,2024-06-28,IH202407,2024-07-19,27.34,27.34,27.34,27.34,0.0,0.0,0.0,1.0
IH,2024-06-28,IH202408,2024-08-16,34.91,35.55,35.33,35.14,0.65,0.42,0.23,0.957
IH,2024-06-28,IH202409,2024-09-20,39.03,39.78,39.54,39.3,0.75,0.51,0.27,0.821
IH,2024-06-28,IH202412,2024-12-20,47.41,55.0,54.78,55.33,7.59,7.37,7.92,0.59
IH,2024-07-31,IH202408,2024-08-16,2.09,2.73,2.51,2.32,0.64,0.42,0.23,0.75
IH,2024-07-31,IH202409,2024-09-20,6.18,6.92,6.69,6.45,0.74,0.51,0.27,0.444
IH,2024-07-31,IH202409,2024-09-20,6.18,6.92,6.69,6.45,0.74,0.51,0.27,0.444
IH,2024-07-31,IH202412,2024-12-20,14.49,22.02,21.8,22.35,7.53,7.31,7.86,0.2
IH,2024-08-30,IH202409,2024-09-20,2.31,2.31,2.31,2.31,0.0,0.0,0.0,1.0
