date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio
2015-08-03,IC,q1,IC1509,2015-09-18,7540.205,6767.4,-772.8050000000003,1.4550129855366996,-771.3499870144636,-81.17145969081719,0.9893570936288
2015-08-03,IC,q2,IC1512,2015-12-18,7540.205,6410.0,-1130.205,2.1130145808127465,-1128.0919854191873,-39.85966621723037,0.7281340009188381
2015-08-04,IC,current,IC1508,2015-08-21,7942.095,7657.6,-284.4949999999999,1.3177841145773677,-283.1772158854225,-76.55387400796508,1.0
2015-08-04,IC,next,IC1509,2015-09-18,7942.095,7290.8,-651.2950000000001,1.4278094550152312,-649.8671905449849,-66.3697045927553,0.9885762476035463
2015-08-04,IC,q1,IC1509,2015-09-18,7942.095,7290.8,-651.2950000000001,1.4278094550152312,-649.8671905449849,-66.3697045927553,0.9885762476035463
2015-08-04,IC,q2,IC1512,2015-12-18,7942.095,6957.0,-985.0950000000003,2.120882279936293,-982.974117720064,-33.21704242948337,0.7147059262258463
2015-08-05,IC,current,IC1508,2015-08-21,7839.338,7486.4,-352.9380000000001,1.256846077122291,-351.6811539228778,-102.33933431452567,1.0
2015-08-05,IC,next,IC1509,2015-09-18,7839.338,7140.0,-699.3379999999997,1.36544787957586,-697.9725521204239,-73.85827196237591,1.0
2015-08-05,IC,q1,IC1509,2015-09-18,7839.338,7140.0,-699.3379999999997,1.36544787957586,-697.9725521204239,-73.85827196237591,1.0
2015-08-05,IC,q2,IC1512,2015-12-18,7839.338,6802.0,-1037.3379999999997,2.049553538494701,-1035.2884464615051,-35.70598955038838,0.7164520952783132
2015-08-06,IC,current,IC1508,2015-08-21,7792.028,7545.4,-246.6280000000006,1.2219610098116094,-245.406038990189,-76.6366207713995,1.0
2015-08-06,IC,next,IC1509,2015-09-18,7792.028,7235.8,-556.2280000000001,1.3299074059956597,-554.8980925940044,-60.448723793687364,1.0
2015-08-06,IC,q1,IC1509,2015-09-18,7792.028,7235.8,-556.2280000000001,1.3299074059956597,-554.8980925940044,-60.448723793687364,1.0
2015-08-06,IC,q2,IC1512,2015-12-18,7792.028,6895.0,-897.0280000000002,2.009884522590716,-895.0181154774095,-31.28739371477849,0.7126006916450657
2015-08-07,IC,current,IC1508,2015-08-21,8013.319,7851.2,-162.1190000000006,0.7969857440044674,-161.32201425599612,-52.486309002227216,1.0
2015-08-07,IC,next,IC1509,2015-09-18,8013.319,7637.6,-375.71900000000005,0.907997781887696,-374.8110022181124,-40.648401626155454,1.0
2015-08-07,IC,q1,IC1509,2015-09-18,8013.319,7637.6,-375.71900000000005,0.907997781887696,-374.8110022181124,-40.648401626155454,1.0
2015-08-07,IC,q2,IC1512,2015-12-18,8013.319,7285.6,-727.719,1.6072860221219945,-726.111713977878,-24.86750619201255,0.6304054283572638
2015-08-10,IC,current,IC1508,2015-08-21,8394.086,8330.0,-64.08599999999933,0.7621798594650959,-63.32382014053424,-25.031903252854015,1.0
2015-08-10,IC,next,IC1509,2015-09-18,8394.086,8143.0,-251.08599999999933,0.878466830322874,-250.20753316967645,-27.89685365812583,1.0
2015-08-10,IC,q1,IC1509,2015-09-18,8394.086,8143.0,-251.08599999999933,0.878466830322874,-250.20753316967645,-27.89685365812583,1.0
2015-08-10,IC,q2,IC1512,2015-12-18,8394.086,7780.0,-614.0859999999993,1.6109829859027731,-612.4750170140966,-20.486344718462433,0.6137319557487048
2015-08-11,IC,current,IC1508,2015-08-21,8435.327,8200.6,-234.72699999999895,0.7659245267920926,-233.96107547320685,-101.23590057352907,1.0
2015-08-11,IC,next,IC1509,2015-09-18,8435.327,7968.0,-467.3269999999993,0.8827828273890639,-466.44421717261025,-53.113761380218286,1.0
2015-08-11,IC,q1,IC1509,2015-09-18,8435.327,7968.0,-467.3269999999993,0.8827828273890639,-466.44421717261025,-53.113761380218286,1.0
2015-08-11,IC,q2,IC1512,2015-12-18,8435.327,7620.0,-815.3269999999993,1.6188979094955998,-813.7081020905038,-27.294168701272444,0.6137319557487048
2015-08-12,IC,current,IC1508,2015-08-21,8336.337,8082.2,-254.13699999999972,0.7569362719316528,-253.38006372806805,-123.26720058454777,1.0
2015-08-12,IC,next,IC1509,2015-09-18,8336.337,7832.2,-504.1369999999997,0.8724232204546506,-503.26457677954505,-59.55417878624173,1.0
2015-08-12,IC,q1,IC1509,2015-09-18,8336.337,7832.2,-504.1369999999997,0.8724232204546506,-503.26457677954505,-59.55417878624173,1.0
2015-08-12,IC,q2,IC1512,2015-12-18,8336.337,7445.6,-890.7369999999992,1.5998998666146338,-889.1371001333846,-30.414197651787646,0.6137319557487048
2015-08-13,IC,current,IC1508,2015-08-21,8534.429,8345.8,-188.62900000000081,0.7321795672372998,-187.89682043276352,-100.44951375475542,1.0
2015-08-13,IC,next,IC1509,2015-09-18,8534.429,8060.0,-474.4290000000001,0.8504107714935792,-473.57858922850653,-56.26106557737584,1.0
2015-08-13,IC,q1,IC1509,2015-09-18,8534.429,8060.0,-474.4290000000001,0.8504107714935792,-473.57858922850653,-56.26106557737584,1.0
2015-08-13,IC,q2,IC1512,2015-12-18,8534.429,7665.0,-869.4290000000001,1.595174063309937,-867.8338259366901,-29.224779799755453,0.6033817352230799
2015-08-14,IC,current,IC1508,2015-08-21,8625.242,8397.0,-228.2420000000002,0.7254398852594246,-227.51656011474077,-137.54238422176672,1.0
2015-08-14,IC,next,IC1509,2015-09-18,8625.242,8070.0,-555.2420000000002,0.8449291620068017,-554.3970708379934,-67.03080856194862,1.0
2015-08-14,IC,q1,IC1509,2015-09-18,8625.242,8070.0,-555.2420000000002,0.8449291620068017,-554.3970708379934,-67.03080856194862,1.0
2015-08-14,IC,q2,IC1512,2015-12-18,8625.242,7662.0,-963.2420000000002,1.5976173177853201,-961.6443826822149,-32.297248824651184,0.599774413714951
2015-08-17,IC,current,IC1508,2015-08-21,8820.457,8659.0,-161.45700000000033,0.7418587575879829,-160.71514124241236,-166.26413618217433,1.0
2015-08-17,IC,next,IC1509,2015-09-18,8820.457,8338.8,-481.65700000000106,0.8640524337203557,-480.7929475662807,-62.17415444775581,1.0
2015-08-17,IC,q1,IC1509,2015-09-18,8820.457,8338.8,-481.65700000000106,0.8640524337203557,-480.7929475662807,-62.17415444775581,1.0
2015-08-17,IC,q2,IC1512,2015-12-18,8820.457,7819.0,-1001.4570000000003,1.633776171611272,-999.823223828389,-33.63720377640868,0.599774413714951
2015-08-18,IC,current,IC1508,2015-08-21,8161.269,7802.0,-359.26900000000023,0.6864166880107595,-358.5825833119895,-534.5681858580087,1.0
2015-08-18,IC,next,IC1509,2015-09-18,8161.269,7450.2,-711.0690000000004,0.7994783424142868,-710.2695216575861,-102.46998131683614,1.0
2015-08-18,IC,q1,IC1509,2015-09-18,8161.269,7450.2,-711.0690000000004,0.7994783424142868,-710.2695216575861,-102.46998131683614,1.0
2015-08-18,IC,q2,IC1512,2015-12-18,8161.269,7000.0,-1161.2690000000002,1.5116775493956554,-1159.7573224506045,-42.51502750112443,0.599774413714951
2015-08-19,IC,current,IC1508,2015-08-21,8340.983,8151.2,-189.78300000000036,0.3770173891029492,-189.4059826108974,-414.41868214440404,1.0
2015-08-19,IC,next,IC1509,2015-09-18,8340.983,7710.6,-630.3829999999998,0.49256870071045733,-629.8904312992894,-91.87966111597822,1.0
2015-08-19,IC,q1,IC1509,2015-09-18,8340.983,7710.6,-630.3829999999998,0.49256870071045733,-629.8904312992894,-91.87966111597822,1.0
2015-08-19,IC,q2,IC1512,2015-12-18,8340.983,7251.0,-1089.9830000000002,1.2204507835146237,-1088.7625492164855,-39.375259760667504,0.4933555547036045
2015-08-20,IC,current,IC1508,2015-08-21,8049.512,8003.0,-46.511999999999716,0.3638427266657729,-46.14815727333394,-209.25588290031607,1.0
2015-08-20,IC,next,IC1509,2015-09-18,8049.512,7557.0,-492.5119999999997,0.4753561621206079,-492.0366438378791,-76.93478809682473,1.0
2015-08-20,IC,q1,IC1509,2015-09-18,8049.512,7557.0,-492.5119999999997,0.4753561621206079,-492.0366438378791,-76.93478809682473,1.0
2015-08-20,IC,q2,IC1512,2015-12-18,8049.512,7050.0,-999.5119999999997,1.171628609116838,-998.3403713908829,-37.72425744128674,0.5284450188013844
2015-08-21,IC,current,IC1508,2015-08-21,7612.902,7749.4,136.4979999999996,0.0,136.4979999999996,,
2015-08-21,IC,next,IC1509,2015-09-18,7612.902,7207.4,-405.5020000000004,0.10546488480307681,-405.3965351151973,-69.41680589320931,1.0
