date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio,calibre
2015-01-06,IC,q2,IC1506,2015-06-19,5479.864,,,31.57341193935317,,,0.001748328194445863,pq
2015-01-07,IC,current,IC1501,2015-01-16,5488.242,,,0.0,,,,y
2015-01-07,IC,current,IC1501,2015-01-16,5488.242,,,0.0,,,,d
2015-01-07,IC,current,IC1501,2015-01-16,5488.242,,,0.0,,,,p
2015-01-07,IC,current,IC1501,2015-01-16,5488.242,,,0.0,,,,pq
2015-01-07,IC,next,IC1502,2015-02-20,5488.242,,,0.05528508096495771,,,1.0,y
2015-01-07,IC,next,IC1502,2015-02-20,5488.242,,,0.05528508096495771,,,1.0,d
2015-01-07,IC,next,IC1502,2015-02-20,5488.242,,,0.05528508096495771,,,1.0,p
2015-01-07,IC,next,IC1502,2015-02-20,5488.242,,,0.05528508096495771,,,1.0,pq
2015-01-07,IC,q1,IC1503,2015-03-20,5488.242,,,0.20588365035404071,,,0.26852584394092793,y
2015-01-07,IC,q1,IC1503,2015-03-20,5488.242,,,0.20588365035404071,,,0.26852584394092793,d
2015-01-07,IC,q1,IC1503,2015-03-20,5488.242,,,0.20588365035404071,,,0.26852584394092793,p
2015-01-07,IC,q1,IC1503,2015-03-20,5488.242,,,0.20588365035404071,,,0.26852584394092793,pq
2015-01-07,IC,q2,IC1506,2015-06-19,5488.242,,,31.481188599289485,,,0.0017561306743737583,y
2015-01-07,IC,q2,IC1506,2015-06-19,5488.242,,,31.49269452945144,,,0.0017554890678933817,d
2015-01-07,IC,q2,IC1506,2015-06-19,5488.242,,,31.621683583545057,,,0.001748328194445863,p
2015-01-07,IC,q2,IC1506,2015-06-19,5488.242,,,31.621683583545057,,,0.001748328194445863,pq
2015-01-08,IC,current,IC1501,2015-01-16,5444.037,,,0.0,,,,y
2015-01-08,IC,current,IC1501,2015-01-16,5444.037,,,0.0,,,,d
2015-01-08,IC,current,IC1501,2015-01-16,5444.037,,,0.0,,,,p
2015-01-08,IC,current,IC1501,2015-01-16,5444.037,,,0.0,,,,pq
2015-01-08,IC,next,IC1502,2015-02-20,5444.037,,,0.05483978773553088,,,1.0,y
