product,view_date,contract,expire,dpv_truth_pts,announced_coverage,固定股息率_pts,固定股息率_err,固定分红_pts,固定分红_err,固定派息率_pts,固定派息率_err,派息率x季报EPS_pts,派息率x季报EPS_err
IC,2025-10-31,IC202512,2025-12-19,4.26,1.0,4.26,0.0,4.26,0.0,4.26,0.0,4.26,0.0
IC,2025-10-31,IC202603,2026-03-20,7.34,0.993,7.38,0.03,7.39,0.05,7.37,0.03,7.37,0.03
IC,2025-11-28,IC202512,2025-12-19,1.78,1.0,1.78,0.0,1.78,0.0,1.78,0.0,1.78,0.0
IC,2025-11-28,IC202601,2026-01-16,2.88,1.0,2.88,0.0,2.88,0.0,2.88,0.0,2.88,0.0
IC,2025-11-28,IC202603,2026-03-20,4.74,0.989,4.77,0.03,4.79,0.05,4.77,0.03,4.77,0.03
IC,2025-11-28,IC202606,2026-06-19,45.12,0.145,50.69,5.57,49.02,3.9,44.1,-1.02,44.1,-1.02
IC,2025-12-31,IC202601,2026-01-16,0.69,1.0,0.69,0.0,0.69,0.0,0.69,0.0,0.69,0.0
IC,2025-12-31,IC202602,2026-02-20,2.67,1.0,2.67,0.0,2.67,0.0,2.67,0.0,2.67,0.0
IC,2025-12-31,IC202603,2026-03-20,2.95,0.98,2.95,0.0,2.95,0.0,2.95,0.0,2.95,0.0
IC,2025-12-31,IC202606,2026-06-19,46.12,0.087,52.93,6.81,50.34,4.22,45.34,-0.78,45.34,-0.78
IM,2024-06-28,IM202407,2024-07-19,11.91,1.0,11.91,0.0,11.91,0.0,11.91,0.0,11.91,0.0
IM,2024-06-28,IM202408,2024-08-16,17.44,0.996,17.44,0.0,17.44,0.0,17.44,0.0,17.44,0.0
IM,2024-06-28,IM202409,2024-09-20,19.91,0.884,20.21,0.29,20.65,0.74,20.5,0.58,20.5,0.58
IM,2024-06-28,IM202412,2024-12-20,26.47,0.556,28.93,2.47,30.63,4.16,30.8,4.33,30.8,4.33
IM,2024-07-31,IM202408,2024-08-16,2.36,0.982,2.36,0.0,2.36,0.0,2.36,0.0,2.36,0.0
IM,2024-07-31,IM202409,2024-09-20,5.75,0.574,5.7,-0.05,6.3,0.55,6.12,0.38,6.12,0.38
IM,2024-07-31,IM202409,2024-09-20,5.75,0.574,5.7,-0.05,6.3,0.55,6.12,0.38,6.12,0.38
IM,2024-07-31,IM202412,2024-12-20,12.65,0.179,15.99,3.34,17.65,5.0,18.27,5.62,18.27,5.62
IM,2024-08-30,IM202409,2024-09-20,1.81,0.982,1.81,0.0,1.81,0.0,1.81,0.0,1.81,0.0
IM,2024-08-30,IM202410,2024-10-18,4.8,0.971,4.88,0.08,4.82,0.02,4.85,0.05,4.85,0.05
IM,2024-08-30,IM202412,2024-12-20,8.34,0.753,9.23,0.89,9.63,1.29,9.38,1.04,9.38,1.04
IM,2024-08-30,IM202503,2025-03-21,9.78,0.634,11.87,2.09,12.74,2.97,12.29,2.51,12.29,2.51
IM,2024-09-30,IM202410,2024-10-18,1.88,1.0,1.88,0.0,1.88,0.0,1.88,0.0,1.88,0.0
IM,2024-09-30,IM202411,2024-11-15,4.66,0.937,4.89,0.24,4.92,0.26,4.95,0.3,4.95,0.3
IM,2024-09-30,IM202412,2024-12-20,6.22,0.693,7.04,0.82,7.43,1.21,7.13,0.91,7.13,0.91
IM,2024-09-30,IM202503,2025-03-21,8.0,0.542,10.26,2.26,11.23,3.23,10.7,2.7,10.7,2.7
IM,2024-10-31,IM202411,2024-11-15,1.06,1.0,1.06,0.0,1.06,0.0,1.06,0.0,1.06,0.0
IM,2024-10-31,IM202412,2024-12-20,2.58,1.0,2.58,0.0,2.58,0.0,2.58,0.0,2.58,0.0
IM,2024-10-31,IM202412,2024-12-20,2.58,1.0,2.58,0.0,2.58,0.0,2.58,0.0,2.58,0.0
IM,2024-10-31,IM202503,2025-03-21,4.35,1.0,4.35,0.0,4.35,0.0,4.35,0.0,4.35,0.0
IM,2024-11-29,IM202412,2024-12-20,1.09,1.0,1.09,0.0,1.09,0.0,1.09,0.0,1.09,0.0
IM,2024-11-29,IM202501,2025-01-17,1.67,1.0,1.67,0.0,1.67,0.0,1.67,0.0,1.67,0.0
IM,2024-11-29,IM202503,2025-03-21,2.88,1.0,2.88,0.0,2.88,0.0,2.88,0.0,2.88,0.0
IM,2024-11-29,IM202506,2025-06-20,42.51,0.111,43.93,1.41,49.56,7.05,43.13,0.62,43.13,0.62
IM,2024-12-31,IM202501,2025-01-17,0.43,1.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,0.0
IM,2024-12-31,IM202502,2025-02-21,1.39,1.0,1.39,0.0,1.39,0.0,1.39,0.0,1.39,0.0
IM,2024-12-31,IM202503,2025-03-21,1.49,1.0,1.49,0.0,1.49,0.0,1.49,0.0,1.49,0.0
IM,2024-12-31,IM202506,2025-06-20,40.88,0.058,41.86,0.98,47.71,6.83,41.2,0.31,41.2,0.31
IM,2025-01-27,IM202502,2025-02-21,0.03,1.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0
IM,2025-01-27,IM202503,2025-03-21,0.13,1.0,0.13,0.0,0.13,0.0,0.13,0.0,0.13,0.0
IM,2025-01-27,IM202503,2025-03-21,0.13,1.0,0.13,0.0,0.13,0.0,0.13,0.0,0.13,0.0
IM,2025-01-27,IM202506,2025-06-20,38.78,0.011,39.74,0.96,45.48,6.7,39.09,0.31,39.09,0.31
IM,2025-02-28,IM202503,2025-03-21,0.1,1.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0
IM,2025-02-28,IM202504,2025-04-18,0.42,0.75,0.47,0.05,0.52,0.1,0.45,0.03,0.45,0.03
IM,2025-02-28,IM202506,2025-06-20,39.96,0.015,40.87,0.91,46.87,6.91,40.51,0.55,40.51,0.55
IM,2025-02-28,IM202509,2025-09-19,64.51,0.009,69.94,5.43,78.65,14.14,69.78,5.27,69.78,5.27
IM,2025-03-31,IM202504,2025-04-18,0.33,1.0,0.33,0.0,0.33,0.0,0.33,0.0,0.33,0.0
IM,2025-03-31,IM202505,2025-05-16,6.73,0.825,6.43,-0.3,6.6,-0.14,6.52,-0.21,6.52,-0.21
IM,2025-03-31,IM202506,2025-06-20,40.35,0.279,40.15,-0.2,44.62,4.27,40.42,0.06,40.42,0.06
IM,2025-03-31,IM202509,2025-09-19,65.15,0.222,68.92,3.78,75.95,10.81,69.24,4.1,69.24,4.1
IM,2025-04-30,IM202505,2025-05-16,4.24,1.0,4.24,0.0,4.24,0.0,4.24,0.0,4.24,0.0
IM,2025-04-30,IM202506,2025-06-20,36.56,1.0,36.56,0.0,36.56,0.0,36.56,0.0,36.56,0.0
IM,2025-04-30,IM202506,2025-06-20,36.56,1.0,36.56,0.0,36.56,0.0,36.56,0.0,36.56,0.0
IM,2025-04-30,IM202509,2025-09-19,60.43,0.94,61.93,1.5,61.9,1.48,62.42,2.0,62.42,2.0
IM,2025-05-30,IM202506,2025-06-20,20.02,1.0,20.02,0.0,20.02,0.0,20.02,0.0,20.02,0.0
IM,2025-05-30,IM202507,2025-07-18,37.33,1.0,37.33,0.0,37.33,0.0,37.33,0.0,37.33,0.0
IM,2025-05-30,IM202509,2025-09-19,44.2,0.919,45.72,1.52,45.69,1.5,46.22,2.02,46.22,2.02
IM,2025-05-30,IM202512,2025-12-19,52.04,0.725,60.36,8.32,59.98,7.94,61.44,9.4,61.44,9.4
IM,2025-06-30,IM202507,2025-07-18,9.79,1.0,9.79,0.0,9.79,0.0,9.79,0.0,9.79,0.0
IM,2025-06-30,IM202508,2025-08-15,13.64,0.995,13.71,0.07,13.68,0.04,13.69,0.04,13.69,0.04
IM,2025-06-30,IM202509,2025-09-19,17.37,0.81,19.07,1.71,18.98,1.62,19.58,2.21,19.58,2.21
IM,2025-06-30,IM202512,2025-12-19,25.21,0.498,34.15,8.94,33.62,8.41,35.06,9.85,35.06,9.85
IM,2025-07-31,IM202508,2025-08-15,1.34,0.977,1.37,0.03,1.34,-0.0,1.35,0.01,1.35,0.01
IM,2025-07-31,IM202509,2025-09-19,5.25,0.411,7.0,1.75,6.95,1.69,7.57,2.32,7.57,2.32
IM,2025-07-31,IM202509,2025-09-19,5.25,0.411,7.0,1.75,6.95,1.69,7.57,2.32,7.57,2.32
IM,2025-07-31,IM202512,2025-12-19,13.35,0.139,22.45,9.1,21.99,8.64,23.42,10.07,23.42,10.07
IM,2025-08-29,IM202509,2025-09-19,3.37,0.948,3.41,0.04,3.4,0.03,3.42,0.05,3.42,0.05
IM,2025-08-29,IM202510,2025-10-17,7.16,0.903,7.45,0.29,7.43,0.27,7.45,0.29,7.45,0.29
IM,2025-08-29,IM202512,2025-12-19,12.41,0.753,14.74,2.32,14.61,2.2,14.41,1.99,14.41,1.99
IM,2025-08-29,IM202603,2026-03-20,14.42,0.644,18.36,3.95,17.97,3.56,17.87,3.46,17.87,3.46
IM,2025-09-30,IM202510,2025-10-17,1.67,1.0,1.67,0.0,1.67,0.0,1.67,0.0,1.67,0.0
IM,2025-09-30,IM202511,2025-11-21,4.45,0.894,4.92,0.47,4.82,0.37,4.89,0.43,4.89,0.43
IM,2025-09-30,IM202512,2025-12-19,6.68,0.725,8.41,1.73,8.25,1.57,8.01,1.33,8.01,1.33
IM,2025-09-30,IM202603,2026-03-20,8.56,0.565,11.82,3.26,11.41,2.86,11.26,2.7,11.26,2.7
IM,2025-10-31,IM202511,2025-11-21,1.12,1.0,1.12,0.0,1.12,0.0,1.12,0.0,1.12,0.0
IM,2025-10-31,IM202512,2025-12-19,3.35,1.0,3.35,0.0,3.35,0.0,3.35,0.0,3.35,0.0
IM,2025-10-31,IM202512,2025-12-19,3.35,1.0,3.35,0.0,3.35,0.0,3.35,0.0,3.35,0.0
IM,2025-10-31,IM202603,2026-03-20,5.3,0.99,5.3,0.0,5.3,0.0,5.3,0.0,5.3,0.0
IM,2025-11-28,IM202512,2025-12-19,1.26,1.0,1.26,0.0,1.26,0.0,1.26,0.0,1.26,0.0
IM,2025-11-28,IM202601,2026-01-16,2.33,1.0,2.33,0.0,2.33,0.0,2.33,0.0,2.33,0.0
IM,2025-11-28,IM202603,2026-03-20,3.16,0.984,3.16,0.0,3.16,0.0,3.16,0.0,3.16,0.0
IM,2025-11-28,IM202606,2026-06-19,42.64,0.102,46.85,4.21,45.7,3.06,42.2,-0.44,42.2,-0.44
IM,2025-12-31,IM202601,2026-01-16,0.74,1.0,0.74,0.0,0.74,0.0,0.74,0.0,0.74,0.0
IM,2025-12-31,IM202602,2026-02-20,1.37,1.0,1.37,0.0,1.37,0.0,1.37,0.0,1.37,0.0
IM,2025-12-31,IM202603,2026-03-20,1.38,0.972,1.38,0.0,1.38,0.0,1.38,0.0,1.38,0.0
IM,2025-12-31,IM202606,2026-06-19,41.26,0.06,46.37,5.11,45.43,4.17,41.3,0.04,41.3,0.04
