product,view_date,contract,expire,dpv_truth_pts,announced_coverage,固定股息率_pts,固定股息率_err,固定分红_pts,固定分红_err,固定派息率_pts,固定派息率_err,派息率x季报EPS_pts,派息率x季报EPS_err
IF,2025-06-30,IF202508,2025-08-15,29.78,1.0,29.78,0.0,29.78,0.0,29.78,0.0,29.78,0.0
IF,2025-06-30,IF202509,2025-09-19,37.29,0.869,39.04,1.75,38.99,1.7,39.6,2.31,39.6,2.31
IF,2025-06-30,IF202512,2025-12-19,57.6,0.505,75.32,17.71,72.86,15.25,79.22,21.61,79.22,21.61
IF,2025-07-31,IF202508,2025-08-15,2.76,1.0,2.76,0.0,2.76,0.0,2.76,0.0,2.76,0.0
IF,2025-07-31,IF202509,2025-09-19,10.39,0.674,11.11,0.71,10.93,0.54,11.56,1.17,11.56,1.17
IF,2025-07-31,IF202509,2025-09-19,10.39,0.674,11.11,0.71,10.93,0.54,11.56,1.17,11.56,1.17
IF,2025-07-31,IF202512,2025-12-19,31.21,0.238,47.59,16.39,45.05,13.84,51.54,20.33,51.54,20.33
IF,2025-08-29,IF202509,2025-09-19,3.95,0.897,4.13,0.18,4.0,0.05,3.99,0.04,3.99,0.04
IF,2025-08-29,IF202510,2025-10-17,9.7,0.9,10.27,0.57,9.96,0.26,10.14,0.44,10.14,0.44
IF,2025-08-29,IF202512,2025-12-19,26.92,0.723,36.2,9.28,34.48,7.56,37.49,10.57,37.49,10.57
IF,2025-08-29,IF202603,2026-03-20,39.19,0.621,54.97,15.79,51.82,12.64,56.6,17.41,56.6,17.41
IF,2025-09-30,IF202510,2025-10-17,3.47,1.0,3.47,0.0,3.47,0.0,3.47,0.0,3.47,0.0
IF,2025-09-30,IF202511,2025-11-21,11.72,0.933,11.51,-0.21,11.52,-0.19,11.65,-0.07,11.65,-0.07
IF,2025-09-30,IF202512,2025-12-19,19.27,0.835,20.85,1.59,21.05,1.79,21.62,2.35,21.62,2.35
IF,2025-09-30,IF202603,2026-03-20,29.76,0.716,33.83,4.07,33.94,4.18,35.36,5.6,35.36,5.6
IF,2025-10-31,IF202511,2025-11-21,3.29,1.0,3.29,0.0,3.29,0.0,3.29,0.0,3.29,0.0
IF,2025-10-31,IF202512,2025-12-19,11.02,1.0,11.02,0.0,11.02,0.0,11.02,0.0,11.02,0.0
IF,2025-10-31,IF202512,2025-12-19,11.02,1.0,11.02,0.0,11.02,0.0,11.02,0.0,11.02,0.0
IF,2025-10-31,IF202603,2026-03-20,21.73,0.992,21.73,0.0,21.73,0.0,21.73,0.0,21.73,0.0
IF,2025-11-28,IF202512,2025-12-19,7.11,1.0,7.11,0.0,7.11,0.0,7.11,0.0,7.11,0.0
IF,2025-11-28,IF202601,2026-01-16,12.48,1.0,12.48,0.0,12.48,0.0,12.48,0.0,12.48,0.0
IF,2025-11-28,IF202603,2026-03-20,17.55,0.988,17.55,0.0,17.55,0.0,17.55,0.0,17.55,0.0
IF,2025-11-28,IF202606,2026-06-19,44.79,0.264,44.07,-0.71,42.13,-2.65,38.51,-6.28,38.51,-6.28
IF,2025-12-31,IF202601,2026-01-16,4.31,1.0,4.31,0.0,4.31,0.0,4.31,0.0,4.31,0.0
IF,2025-12-31,IF202602,2026-02-20,9.38,1.0,9.38,0.0,9.38,0.0,9.38,0.0,9.38,0.0
IF,2025-12-31,IF202603,2026-03-20,9.38,0.979,9.39,0.01,9.4,0.01,9.39,0.01,9.39,0.01
IF,2025-12-31,IF202606,2026-06-19,37.26,0.167,36.72,-0.54,34.62,-2.65,31.04,-6.22,31.04,-6.22
IH,2024-06-28,IH202407,2024-07-19,28.73,1.0,28.73,0.0,28.73,0.0,28.73,0.0,28.73,0.0
IH,2024-06-28,IH202408,2024-08-16,39.89,0.982,40.32,0.43,40.08,0.19,40.2,0.31,40.2,0.31
IH,2024-06-28,IH202409,2024-09-20,43.98,0.882,44.93,0.95,44.51,0.53,44.89,0.91,44.89,0.91
IH,2024-06-28,IH202412,2024-12-20,55.31,0.619,63.37,8.05,63.08,7.76,63.58,8.27,63.58,8.27
IH,2024-07-31,IH202408,2024-08-16,2.66,0.929,3.06,0.4,2.84,0.18,2.95,0.29,2.95,0.29
IH,2024-07-31,IH202409,2024-09-20,7.33,0.692,8.1,0.76,7.71,0.38,8.25,0.92,8.25,0.92
IH,2024-07-31,IH202409,2024-09-20,7.33,0.692,8.1,0.76,7.71,0.38,8.25,0.92,8.25,0.92
IH,2024-07-31,IH202412,2024-12-20,17.48,0.327,24.85,7.37,24.64,7.16,25.24,7.76,25.24,7.76
