product,view_date,contract,expire,dpv_forecast_pts,dpv_truth_pts,err_pts,err_pct,announced_coverage
IH,2024-06-28,IH202407,2024-07-19,27.34,27.34,0.0,0.0,1.0
IH,2024-06-28,IH202408,2024-08-16,35.55,34.91,0.65,1.8,0.957
IH,2024-06-28,IH202409,2024-09-20,39.78,39.03,0.75,1.9,0.821
IH,2024-06-28,IH202412,2024-12-20,55.0,47.41,7.59,16.0,0.59
IH,2024-07-31,IH202408,2024-08-16,2.73,2.09,0.64,,0.75
IH,2024-07-31,IH202409,2024-09-20,6.92,6.18,0.74,12.0,0.444
IH,2024-07-31,IH202409,2024-09-20,6.92,6.18,0.74,12.0,0.444
IH,2024-07-31,IH202412,2024-12-20,22.02,14.49,7.53,51.9,0.2
IH,2024-08-30,IH202409,2024-09-20,2.31,2.31,0.0,,1.0
IH,2024-08-30,IH202410,2024-10-18,5.52,5.52,0.0,0.0,1.0
IH,2024-08-30,IH202412,2024-12-20,12.22,10.48,1.73,16.5,0.733
IH,2024-08-30,IH202503,2025-03-21,23.26,16.06,7.21,44.9,0.583
IH,2024-09-30,IH202410,2024-10-18,3.78,3.78,0.0,,1.0
IH,2024-09-30,IH202411,2024-11-15,5.13,5.13,0.0,0.0,1.0
IH,2024-09-30,IH202412,2024-12-20,10.87,9.64,1.22,12.7,0.727
IH,2024-09-30,IH202503,2025-03-21,17.68,16.22,1.46,9.0,0.75
IH,2024-10-31,IH202411,2024-11-15,0.08,0.08,0.0,,1.0
IH,2024-10-31,IH202412,2024-12-20,4.39,4.39,0.0,,1.0
IH,2024-10-31,IH202412,2024-12-20,4.39,4.39,0.0,,1.0
IH,2024-10-31,IH202503,2025-03-21,10.68,10.68,0.0,0.0,1.0
IH,2024-11-29,IH202412,2024-12-20,4.3,4.3,0.0,,1.0
IH,2024-11-29,IH202501,2025-01-17,7.7,7.7,0.0,0.0,1.0
IH,2024-11-29,IH202503,2025-03-21,10.56,10.56,0.0,0.0,1.0
IH,2024-11-29,IH202506,2025-06-20,27.78,26.45,1.33,5.0,0.394
IH,2024-12-31,IH202501,2025-01-17,3.24,3.24,0.0,,1.0
IH,2024-12-31,IH202502,2025-02-21,6.17,6.17,0.0,0.0,1.0
IH,2024-12-31,IH202503,2025-03-21,6.17,6.17,0.0,0.0,1.0
IH,2024-12-31,IH202506,2025-06-20,23.78,22.42,1.36,6.1,0.286
IH,2025-01-27,IH202502,2025-02-21,0.0,0.0,0.0,,
IH,2025-01-27,IH202503,2025-03-21,0.0,0.0,0.0,,
IH,2025-01-27,IH202503,2025-03-21,0.0,0.0,0.0,,
IH,2025-01-27,IH202506,2025-06-20,16.95,15.64,1.31,8.4,0.0
IH,2025-02-28,IH202503,2025-03-21,0.0,0.0,0.0,,
IH,2025-02-28,IH202504,2025-04-18,1.32,1.37,-0.05,,0.0
IH,2025-02-28,IH202506,2025-06-20,17.31,15.97,1.34,8.4,0.0
IH,2025-02-28,IH202509,2025-09-19,47.61,51.3,-3.7,-7.2,0.0
IH,2025-03-31,IH202504,2025-04-18,1.38,1.38,0.0,,1.0
IH,2025-03-31,IH202505,2025-05-16,2.36,2.43,-0.07,,0.8
IH,2025-03-31,IH202506,2025-06-20,15.79,16.13,-0.34,-2.1,0.65
IH,2025-03-31,IH202509,2025-09-19,48.37,51.82,-3.45,-6.7,0.592
IH,2025-04-30,IH202505,2025-05-16,0.19,0.19,0.0,,1.0
IH,2025-04-30,IH202506,2025-06-20,13.73,13.73,0.0,0.0,1.0
IH,2025-04-30,IH202506,2025-06-20,13.73,13.73,0.0,0.0,1.0
IH,2025-04-30,IH202509,2025-09-19,48.92,48.98,-0.07,-0.1,0.935
IH,2025-05-30,IH202506,2025-06-20,10.06,10.06,0.0,0.0,1.0
IH,2025-05-30,IH202507,2025-07-18,41.43,41.43,0.0,0.0,1.0
IH,2025-05-30,IH202509,2025-09-19,45.86,45.93,-0.07,-0.1,0.919
